,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600027.SH,X000708.SZ,X600803.SH,X600160.SH,X600010.SH,X600111.SH,X601991.SH,X000983.SZ,X002460.SZ,X600426.SH,X601699.SH,X000301.SZ,X002128.SZ,X000807.SZ,X000933.SZ,X000630.SZ,X600219.SH,X601168.SH,X000786.SZ,X002466.SZ,X000877.SZ,X600985.SH,X600176.SH,X000883.SZ,X000408.SZ,X600096.SH,X000027.SZ,X600348.SH,X002353.SZ,X002409.SZ,X600282.SH,X600863.SH,X600483.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.487007425194272,0,0,0.0319014935734017,0,0.139501276233121,0,0.12404803735026,0,0,0,0,-0.191063763451032,0,0.00928108051787223,0,0,0,0,0,0,0,0,-0.00654788881590773,0,0,0,0,0,0,0,0,0,0,0,0,0.03957131693421,0,0,0,-0.028198752988587,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0142103281998244,0,0
X601088.SH,0.419718692883263,0,0,0,0,0.0174991930516193,0,0,0,0,0,0,0,-0.0136097119729609,0.0472351574466355,0.0140096263867287,0,0,0,0,0,0,0,0,0,0,0,0.190383106619314,0,0,0,0,0,0,-0.0491466687625549,0,0,0,0,0,0,0,0,0,0,0.0412236078317402,0.0725804751905262,0,0,0,0,0.0374949487211207,0,0,0,0,0.0760301892450275,0,0
X600028.SH,0.387835242041015,0.174222569776072,0,0,0,0,0.0174387987941023,0,0,0.0854676139450915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183641446950513,0,0,0,0,0.0188647942337949,0.0144329055154352,0,0,0,0,0,0,0,0,0,0,0.0157087933263128,0,0,0,0,0,0,0,0,0,1.58964926542722e-05,0,0,0,0.00857115038554273,0,0
X600309.SH,-0.149812944213438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986470904171481,0,0,0,0,0,0,0,0,0,0,0,0.0418564816778995,0,0,0,0,0,0,0,0.0688472931324645,0,0,0,0,0,0,0.120048356285367,0,0,0,0,0,0,0,0,-0.0348891631598301,0,0,0,0,0.0497782712841126,0,0
X601898.SH,0,0,0.0527507638486537,0,0,0.0579548360715258,0,0,0,0,0,0,0,0,0,0,0,0,0.0500758449537331,0,0.0826297489594645,0,0,0,0.029931133156025,-0.0222218254607296,0,0.182770986377744,0,0.0854622346747332,0,0,0,0,0,0,0,0,0.296651383975281,0,0,0,0,0,0.0289862811695615,0,0,0.0229843824038265,0,0,0,0.0110180498421976,-8.67361737988404e-19,0,0,0,-0.00355539209645888,0,0
X600188.SH,0.15640589373997,-4.33680868994202e-19,0,0,0.314828468028848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101876305781934,0,0,0,0.0852092708735646,0,0,0.249025115534299,0,0,0,0,0,0,0,-0.189423771556071,0,0,0.169191379849786,0,-0.327946427233337,0,0,0,0.144645811056182,0,0,0,0,0,0,-0.00470840461693584,0,0,0,0,0.0308748467927038,0,0
X600019.SH,0,0,0.260622569803949,0,0.235565480848187,0,0,0,0,0,0,0,0,0,0,0,0,0.178951633296563,0,0,0,0,0,0,0,0,0,0,0.0761445314229085,0.0239245882618884,0,0,0,0,0,0,0,0.0614813358014246,0,0,0,0,0,0,0,-0.0660596115573153,0,0.0210279033083615,0,0,0,0.0510561199846554,0.0603985554242593,0,0,0,0.0571418712067727,0,0
X600011.SH,0.0882601595398753,0,0,0,0,0,0,0,0,0,0,0,0,0.209969597395256,0,0,0,0.220943475167498,0,0.0355994148458293,0,0,0,0.240464969547995,0,0,0,-0.150428250906692,0,0,0,0,0,0,-6.93889390390723e-18,-0.130193689855622,0,0,0,0,0.139340175858767,0,0,0,0,0.0639538769835395,0,0,0,0.038611407610834,0,0.019767341186451,0.0432149453291871,0,0,0,-0.00799735645002498,0,0
X600886.SH,0,0,0,0,0.0287962651562335,0,0,0,0,0,0,0,0,0,0,0,0,0.274687307558764,0,0,-0.0813790765517648,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.127381978978975,0,0,0,-0.102299382203312,0,0.033852896075951,0.0564078518249131,0,0,0,0,0,0.158344153263642,0,0,0,0.0474403923566044,0,-0.14244928008484,-0.00532665757033596,0.0177867626455948,0,0,0,0.0448046291769694,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264178933714,0,0.111024798496846,0,0.0385134998340207,0,0,0,0,0,0,0.0434489822933934,0.376725445039583,0.13994752379,0.258173229733454,0.0935939746922018,0,0,0,0,0,0,0,0,0,0,0.00386068837062642,0.0940323747843521,0,0,0,0,0,0,0.0212009911250315,0,0,0,0,0,0
