,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X002466.SZ,X600547.SH,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600027.SH,X600426.SH,X002271.SZ,X600795.SH,X600362.SH,X601991.SH,X600803.SH,X600176.SH,X601699.SH,X600489.SH,X000983.SZ,X000807.SZ,X000786.SZ,X000539.SZ,X300037.SZ,X000408.SZ,X000629.SZ,X600995.SH,X600219.SH,X600160.SH,X002409.SZ,X002080.SZ,X600612.SH,X000932.SZ,X600688.SH,X600378.SH,X000723.SZ,X000831.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.373079365955549,0,0,0.0165298102294433,0,-0.0299851913990088,0,0,0,0,0,0.0700668857750348,0.344901916315328,0,0,0,0,0,0,0,0,-0.144230682294878,0,0,0,0,0,0,0,0,0,0.130638274912528,0,0,0,0,0,0,0,0,0,0,0.0969733442956868,0,0,0,0.0730360616249728,-0.123852725005256,0,0,0.0669416735276834,0,0,0,0,0,0,0
X600028.SH,0.707948260965916,0,0,0,0,0,0.0313879522570782,0.0667477376134273,0,0,-0.0295561668987643,0.104309341252012,0,0,0,0,0,0,0,0,0,0,0,-0.0146703855135136,0,0,0,0,0,0,0,0,0.0568304020427798,-0.0960508633414986,0,-0.0203353450509644,0,0,-0.127157811989628,0,0,-0.00641405473173501,-0.0716468232669133,-0.0177644528986948,0,0,0,0,0,0.0344280201850855,0,0.0205354301256299,0,0,0,0,0,0,0
X601088.SH,0.129816221571885,0,0,0,0.200924274670554,0,0,0,0,0.154251868792322,0,0,0,0.00199769591938113,0,0.0412868561852121,0,0,0,0,0,0,0,0,0,0,0,0.00718513061717451,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00344534056037531,0,0.0313200881419809,0,0,0.0644022196845652,0,0,0,0.0527932924914476,0.0304772557130682,-0.0143233738763978,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.219531247200395,0,0,0,0,0,-0.00610609417694809,0,0,0,0,0,0,0,0,0,-0.030200841781354,0.133940817442962,0,0,0,-1.73472347597681e-18,0,0.136764606939642,0,0,0,0.0572890139371658,0,0,-0.0419635903733401,0,0,0,0,0.0303089009629484,0,0.0137501097179771,0,0,0,0,0,-0.0038694229846977,0,0,0.0100790496600585,-0.00951460664678924,0,0,0,0,0,0
X600188.SH,0,0,0.261997550784178,0,0,0,0.124266732922296,0,0,0.278901520298734,0,0,0,0,0,0,0,0,0.383988730717711,0,0,0,0.0870210165791378,0,0,0,0,0,0,0.32205346964706,-0.336334692976506,0,0.067287718223838,0,-0.0424307932303095,0.24503140421978,0,0,0,0,0,0.0860731765312526,0,0,0,0,0,0,0,0.0635061049931982,0,0,-0.0772373487438332,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.211491176014137,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.318845325190749,0,0,0,0,0,0.411953207444005,0,0,0.325299023253539,0,0.224472108464011,0,0,0,0,0,0,-0.285021242893313,-0.122733720651175,0,-0.106393138033213,0.307580306924624,0,0,-0.0689145505667335,0,0,0,-0.0188985902368431,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
X600019.SH,0,0.0786340751922462,0,0,0.0734764098815338,0,0,0.141743990884151,0,0,-0.0085250183169449,0,0,0.0597571119361116,0,0,0,0,0,0,0,0,0.0755743893396727,0.0108207625951925,0,0,0.0169360971714269,0,0,0,0,0,0.0651220102728955,0,0,-0.100740604532757,0,0,0,0,0,0,0,-0.0373365860912257,0,0,0,0,0,0.0814211306406786,0,0.0365826906053505,0.0607766829784026,0,0,0,0,0,0
X600585.SH,0,0,0,0.0756415985020429,0,0,0.236291130154596,0,0,0,0.00823697287285488,0,0,0,0,0,0,0,0,0,0,-0.0669554873195907,0,0,0,0,0,0,0,0,0.0444574537335879,0.161100218613609,0,0.0341308452944806,0.0700961082287362,0.0799750056508202,0.0636028941403724,0.111769371714299,0,0,-0.17589310106915,0,0,0,0,0,0,0,0,0,0,-0.0341273936375883,0,0.0180540287943538,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.565350301071278,-0.0950171891546346,0,0,0,0,0,0,0,0,0.108989024963174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128584025139235,0.0895600562091432,0.0130456472951764,0,0.0319117165237493,0,0,-0.0183619942645297,0.00233096956876433,0,0,0,0,0,0.210651708534548,0.0280287744095355,0.00834698905304726,0,0,0,0,0,0
X601898.SH,0.233634205948219,0,0.193772294003722,0,0.355887520964968,0,0,0,0,0,0,-0.00775005140565475,0.116122558531998,0,0,0,0,0,0,0,0,-0.0713612131961389,-0.0483160435487037,0,0,0,0,0,0,0.207264194700577,0,0,-0.0732862284121793,0,0,0,0,-0.0125395082886519,0,0,0,0.0560829490139459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
