,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600795.SH,X600362.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600299.SH,X600339.SH,X000709.SZ,X601158.SH,X000959.SZ,X600583.SH,X000792.SZ,X000630.SZ,X002466.SZ,X000408.SZ,X600352.SH,X600219.SH,X600098.SH,X000883.SZ,X000539.SZ,X000723.SZ,X600021.SH,X002092.SZ,X000825.SZ,X000983.SZ,X000027.SZ,X601699.SH,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.373706723999659,0,0.0766459699469013,0,0,0,0,0.0200681529979933,0,0,0,0,-0.00426471227263545,0,0,0,0,0,0,0,0.0287916445641137,0,0,0.0535200400943484,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111253665140927,0,0.00493951371436377,-0.00805567445264299,0,0,0,0,0,0
X600028.SH,0.704191356655958,0,0,0,0,0.171581624381295,0,0,0,0,0.0226996408580746,0,0,0,0,0,0,0,0,0,0.0130419558826399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471751154306381,0,-0.0252555147826917,0,0,0,0.0048431016345701,0,-0.0799360198755253,0.0458363836030611,-0.0245694809489484,0.0768381367942271,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0845657596968466,0.297743105888769,0.0196910659770701,0,0.115173807625158,0.036637845084731,0,0,0,0,0,0,0,0,0,0,0,0,0.0537609943044116,0,0,0,0,0,0,0,4.33680868994202e-19,0.152231887029534,0,0,-0.0098043959981655,0,0,0,0,0.0503343708918473,0,0.0699100726692302,0,0,0,0.0772163344386901,-0.123911780956431,8.67361737988404e-19,-0.0176026904105443,0.00445926883166956,0,0,0,0,0,0
X600019.SH,0,0,0.0504919648720926,0,0,0,0,0,0,0,-0.0688219945557948,0,0,-0.0405016434179221,0,0,0,0,0,0,0,0,0,0,0.210269365297696,0,0,0,0,0,0,0,0,0,0,-0.0380613755547757,0,-0.0177935974407224,0,0,0,0.0774471834537481,0,0,0,0,0,0,-0.0864440738444238,0,-0.0146367155283575,0.00970793357086941,-0.00743358649552747,0,0,-0.439747681165538,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.04091571708425,0.189876278363147,0,-0.0879215331211989,0,0,0,0,0,0,0,0,0,0,-0.043815212718913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808541278870104,0.152070899658485,-0.0285901882698929,0,0,0,0,0,0.0550850878551227,-0.012517884018256,0.0119600016862207,0.101414483760001,0,0,0,0,0
X600585.SH,0,0,0,0.191797920742005,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.114206105423795,0,0,0,0,0,0.04714600924255,0,0,0,0.00584535913618403,0,0,0,0,0,0,0,0,0,-0.276928451894181,0,0,0.0494664163023096,0,0,-0.0291665316385652,0.0291048678590648,0.049021901418054,0,0,0,0,0,0,-0.27752479094548,-0.0412419969042156,0.0380704392509856,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0610368382638524,0,0,0,0.00743836734182974,0,0.0473099670932099,0,0,0,0,0,0,0.0317931007070842,0,0,0.187627449637932,0.0264241097897363,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0929735749516866,0,0,-0.0128893623831258,0,0,0,0,0,0,0.0633894206949746,0.0722324338438161,0,-0.0251393899365503,0.00830038774509628,0,0,0,0,0,0
X601898.SH,0,0,0.246290658723148,0,0,0,0,0,0,0,0,0,0,0,0,0.0979553844821044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139098337413138,0.212169785908398,0,0,0,0,-0.00174624353003749,0,0,0.0602592953685144,0.376020541748831,0,0,0,0,-0.025446287885191,-0.00789684120538497,-0.00518712652223327,0,0,0,0,0,0
X601600.SH,0,-0.0468831185171827,0,0,0,0,0,0,0,0,0,0,0.249036123730095,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308820532853467,0,0,0,0.180043790930994,0,0,0,0,0,0,0,0,0,0.0266974852679085,0,0,0,-0.0408220538249136,0.0363659130572282,0,0,0,0,0,0
X600688.SH,0,0.30441396601107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007893238524062,0,0.0163194113502855,0,0,0,0.149826244714528,0,0.0248016292475717,0,0,0,0,0,0,0,0,0,0,0.0850781116498063,0.121099771415587,0,0,0.0333000353453267,0,0.0143245982568484,0,0,0,0.00101200028562915,0,0,0,0,0,0
