,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X002466.SZ,X600011.SH,X000877.SZ,X601600.SH,X600010.SH,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X000301.SZ,X600547.SH,X600362.SH,X600426.SH,X600886.SH,X000723.SZ,X600176.SH,X600219.SH,X000408.SZ,X000807.SZ,X601991.SH,X600803.SH,X000786.SZ,X600795.SH,X002080.SZ,X601699.SH,X000983.SZ,X002353.SZ,X000630.SZ,X600688.SH,X600801.SH,X600141.SH,X000959.SZ,X600096.SH,X000825.SZ,X600489.SH,X000960.SZ,X000932.SZ,X600027.SH,X600157.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.146542699601267,0,-0.00374253786394777,0,0,0,-0.0411740770368704,0,0,0,0,0,0,0,0.116660807352609,0,0,0,0,0,0,0,0,0,0.00847695563344948,0,0,0,0,0,0,0,0,0,0.0669398884576578,0.144163007839057,0,0,0,0,0,0.112852431155711,0,0.0620767924479736,0,0,0,0,-0.000967665926616294,0,0,0,0.0581764511965323,0,0
X600028.SH,0.248449954822822,0,0.00507748103405199,0,0,0,0,0.01390157488627,0,-0.0493157255806898,0,0.00535396527055951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153019909394425,0,0,0,0,0,0,0.0781319818364803,0,0.0204576723932439,2.16840434497101e-19,0.0269517782656795,0,0.0329794091249579,0,0,0,0,0,0,0,0,0,0,-0.000232006294140462,0,0,0,0.0101096423617513,0,0
X601088.SH,0,0,0,0,0,0,0,0.109218282819953,0,0,0,0,0,0,0,0,0,0,0,-0.288615381934447,0,0,0,0,0,0,0,0,0,-0.0624661809898319,0,0,0,-0.0652127599230252,0.0524327442300371,0.317303342516376,0,-0.0159511775182501,0,0,0,0,0,0,0,0.0463912584653949,0,0,0,0,0,-0.0500780956278216,0.0460083191701628,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0338985127961698,0,0,0,0,0.0803226358776128,0,0,0,0.0369231605085866,0,0,0,0,0.00607453993060125,0,0,0.081362736681908,0,0,0.120437124754918,0,0,0,0,0,0,0.0286315721568983,0,0,0,0,0,0,0,0,0,0,0,0.0823696347626323,0,0,-0.010411366626923,0,0,0,-0.00233396792221091,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0997155673439667,0,0.0622521466863743,0,0,0,0,0.00101650110915578,0,0,0.0704818314514986,0,0,0,0,-0.014186218900783,0,0,0,0.105449532264379,0,0,-0.00587353909522518,-0.0048366575185856,0,0,0,0.370820002552721,0,0,0,0,0,0,0,0,0,0,0,-0.0114770475228647,-1.73472347597681e-18,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0877649891964591,0.503259155455668,0,0,0,0,0,0,0.0808705420448139,0,0,0,0,0,0,-0.129795602166037,0,0,0,0,0,0,0,0,0.170695120677454,0,-0.0143545901581157,0,0,0,0,0.109833336986645,0,0,0,0,0,0,0,0,0.128206830057027,0.238132094491281,-0.000102929027360285,-0.0265516573247565,0,0,0,-0.0315085393063356,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.339519259280301,0.430364399183527,0,0,0,0,-0.0514209846899853,0,-0.116865518647938,-0.0387548018734101,0,0,0,-0.0637033235816504,0,0.119429850921584,0,0,0,0.199416161881083,0,0,0,0,0,-0.125199017385779,0,0,0,0,0,0,0,0.0746387346917636,-0.363873938268835,0,-0.0521998763786399,0,0,0,0,0,0,-0.0074007059852623,0,0,0,-0.0393065064826991,0,0
X600188.SH,0,0,0.116927822002027,0,0,0,-0.0270123925334392,0,0,0,0,0.129726420971413,0,0.032095748943797,-0.102391509548498,0,0,0,0.0474314055621638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285946107369168,0.195736296291005,0,0,0,0,0,0.00455626298703908,0,0,0,0,0,0,0,0.190589954749881,0,-0.0248766463784344,0.0760320390653943,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403215729543013,-3.3881317890172e-21,0,0,0,0,0,0,0.199911474031599,0,0.065685617588628,-3.46944695195361e-18,0.104863702228785,0,-3.46944695195361e-18,0.00492870684395924,0.162565834973309,0,0.0788879774126716,0,0,-0.00324188582489091,0,0,0,-0.0121721378751608,0,0
X600111.SH,0,0,0,0,0,0,0.0473181840640438,0.0368046275126329,0,0,0.0651292671040316,0,0,0,0.0802019606355803,0,0.16823343529558,0,0,0,0,0,0,0,0.0237523720280544,0,0,0.0409103230458294,0.106793608599284,0,0,0,0,0,0,0.0023476725828363,0,0,0,0,0.211834886053412,0,0,0,0,0,0,0,0,0,0,0.0241803188056773,0,0,0,0,0,0,0
