,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X600111.SH,X600886.SH,X600623.SH,X600157.SH,X600299.SH,X600547.SH,X600660.SH,X000709.SZ,X600489.SH,X601158.SH,X000792.SZ,X600583.SH,X600352.SH,X002466.SZ,X600309.SH,X000898.SZ,X000539.SZ,X000629.SZ,X000883.SZ,X000027.SZ,X000630.SZ,X002075.SZ,X000060.SZ,X000959.SZ,X000983.SZ,X600021.SH,X300072.SZ,X002470.SZ,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X000012.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.10288836406754,0,0.0462606876955963,0,0,0,0,0,0,0,0.029004262722807,0,0,0,0,0,0,0,0,0,0.0756289667500252,0.0288811758973103,0,0,0.0858751600455527,0.039485797256608,0,0.108184383726221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268936547430965,0,0,0,-0.001753920200594,0.0104726737877863,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.137204670154886,0,0,0,0,0,0,0,0.0693408722994962,0,0,0,0,0,0,0,0,0,0,0.0538116751015642,0.0293114061656495,0,0,0,0,0.0896437779953625,0,0,0,0,0,0,0,0,0,0,0,0,0.0481878787192391,0,0,0,0,0.000710121533883136,0.00597999137289578,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,1.73472347597681e-18,0,0.403473332494585,0,0,0,0,0,0.0117083249173885,0,0.012317385212138,0,0,0,0.036379004841414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186437406299771,0,0,0,0,0,0,0,0,0,0,0.30256898079825,0,0,0,0.0403060181949576,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.166160471118425,0,0,0,0,0.0389436360540064,0.0180456659405068,0,0,0,0,0,0,0.136834735598283,0,0,0,0,0,0,0,0,0,0,0.0525003112656314,0,0,0,0,0.0470828682481725,0,-6.93889390390723e-18,0,0.117530701505349,0,0,0,0,0,0,0,0,0,0,0,0,0.0302233963408252,0,0,-0.00328517031563834,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0536464892205557,0,0,0,0,0,0,0,0,0.289415928538239,0,0,0.0628840974291554,0,0,0,0.0673032784840069,0,0,0,0,0,3.46944695195361e-18,0,0.0600933206111089,0,0.130080821604311,0,0,0,0.020215639104029,0.132938340084261,0.0172216555352883,0,0.0865109761453085,0,0,0,0,0,0,0,0,0,0,-0.00609680796622498,0,0,0,0,0,0
X600019.SH,0,0,0.0867892726762511,0,0,0,0,0.119437536762413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264687913763572,0,0,0,0,0,0.0183158596856671,0,0.149640188135613,0.142519556113891,0,0,0,0.199241360666275,0,0,0,0.0462141007674828,0.0890021298598671,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.011660145659054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433866412447525,0.168204711226477,0.0113961961260586,0,0.0646956364727683,0,0.105544371345153,0,0,0,0,0,0.0893001811783776,0.0274727924868366,0,0,0,0.0890940045229781,0,0,0,0,0,0,-0.0335610762148568,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0628725149495828,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0.130278896741043,0.138687852645326,0,0,0,0,0,0.0357270316306261,0,0,0,0,0.171266356870457,0,0.0846538482402663,0,0,0.0570451216683278,0,0,0,0,0,0,0,0.0341192379948984,0,0,0,0.138910055980162,0,0,-0.00412822372595682,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0490799391256696,0,0,0,0,0.0533980098888526,0,0,0.128953123302088,0,0,0.00264076678736541,0,0,0,0,0,0,0,0,0.347974369651007,0.00705856608054472,0.0504458415770038,0,0,0,0,0,0,0,0.129790417103629,0,0,0,0.0362769715028739,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445996403421932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933885923911253,0,0,0,0,0,0,0,0,0,0.113776317378345,0,0,0.199170599922307,0,0,0.29874878677723,0.0366522589079585,0.0561933853001036,0,0,-0.0578536019310179,0,-0.0373799456491217,-0.0305342554446068,0,0,0,0,0,0
