,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600027.SH,X601991.SH,X600688.SH,X600886.SH,X600362.SH,X601992.SH,X600157.SH,X600111.SH,X600299.SH,X600188.SH,X601158.SH,X600623.SH,X002466.SZ,X600352.SH,X000027.SZ,X600583.SH,X600309.SH,X000539.SZ,X600160.SH,X000792.SZ,X600660.SH,X000630.SZ,X000060.SZ,X600098.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600547.SH,X002470.SZ,X600489.SH,X600578.SH,X002004.SZ,X600863.SH,X600315.SH,X000629.SZ,X300072.SZ,X601918.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.413600069156586,0,0,0,0,0,0,0,0,0,0,0,0.016973659653219,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0845317731542653,0.0455587115099023,0,0,0.0554173166940997,0,0.030093254052538,0.052031731366333,0,0,0.0327823346213057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538182949962915,0,0,0,0,0,0,0
X600028.SH,0.303635989686359,0,0,0,0,0,0,0,0,0,0,0,0.0344336508416597,0,0,0,0,0,-1.73472347597681e-18,0.177828343999014,0,0,0.0200405668013438,0,0,0.037409126915624,0,0,0,0,0,0,0.00346217063539303,0,0,0.00523149762239759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117177453317096,-0.00130633478085597,0.0854814918143141,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.231698384166855,0.101368460838686,0,0,0,0,0,0.0109827953783923,0,0,0,0,0,0,0,0,0,0,0,0.00974457676619587,0,0,0,0.0721083357834782,0,0,0.0999268036129727,0,0,0.0947665382082567,0,0,0,0,0.0203966801420254,0,0,0,0,0,0,0,0,0,0,-0.0167159085616702,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0358094557234254,0,0.0439914777220925,0,0,0,0.0415166264110167,0,0.183753535565148,0,0,0,0,0,0,0.101978882014364,0,0,0,0,-0.000465580750818209,0,0.0840854510206168,0,0,0,0,0,0.00113469572837296,0,0,0,0,0,0,0,0,0,0,-0.0123401685594967,0.0164220407153154,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752320209984127,0,0,0.0883062729334629,0,0.140264143653556,0,0,0.0682876287626513,0,0,0,0,0,0,0,0,0,0.143726021414977,0,0,0.0238950624355975,0,0,0,0,0,0,0.0929042763642019,0,0,0.236936769374856,0,3.46944695195361e-18,0,0,0,-0.0112363004616591,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0414957550852244,0,0,0,0.00446616514343031,0,0.0972477316719091,0,0,0,0.0234458808269141,0,0,0,0,0,0.205586853856192,0,0,0,0.0166412374801507,0,0,0,0,0,0.260967047407059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00106199768159633,0,0,0,0,0,0,0
X600585.SH,0,0.103131856764078,0.00440811634444098,0,0,0,0,0,0,0,0,0,0,0.0945910687042549,0,0,0,-1.73472347597681e-18,-0.0222462208980525,0,0,0,0,0,0,0.112950705934884,0.107116747385212,0,0,0,0,0,0.0282677251473528,0,0,0.172151691235845,0,0,0,0,0,0,0,0,0,0,0,0.0415109746469696,0,0,-0.0222731651477455,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0416228850275574,0,0,0,0,0.218920252570363,0.103157739209643,0.0295081016085827,0.0200281012938748,0,0.0252362863106199,0,0,0,0,0,0,0,0,0,0.0987903560299953,0,0,0.0172777307889189,0,0.0363170117898036,0.0587212715710997,0,0.131580172326431,0,0.0215814819079825,0,0,0.0423204745566408,0,0,0,0,0.060799405351256,0,0,-0.000363482812272672,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675944128836557,0,0,0,0,0,0,0.0113789852224735,0.0452042179974835,0,0,0,0,0.00810287607211092,0,0,0,0.0223611057983415,0,0.0519958047566882,0.0228083761603735,0,0.243943314914892,0,0,0,0,0,0.109447046590175,0,0,0,0,0,0,-0.0050178598978869,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170542542026603,0.0768996517562947,0.139496723951922,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.00327265838345664,0,0,0,0.0981167756080381,0,0,0.179791789667178,0,0,0.0562634374286902,0,0.109914542735817,0,0,0,0,0,0,0,0,0,-0.00200202073095515,0.00097700170795263,0,0,0,0,0,0
