,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X000708.SZ,X600489.SH,X600160.SH,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X600426.SH,X600219.SH,X000786.SZ,X600176.SH,X000983.SZ,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600157.SH,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X002353.SZ,X600688.SH,X600352.SH,X600995.SH,X600378.SH,X002271.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0143175323450648,0,0.0375348706686352,0,0,0,0,0.342272316073729,0,0,0,0,0.0704528453835004,0,0,0,0.187021478984268,0,0,0,0.054217117196243,0,0,0,0,0,0,0,0,0,0,0.0220144193406831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106031464932456,0,0
X601088.SH,0,0,0,0,0.461389300009465,0,0,0,0,0,0,0,0,0,0,0,-0.102054022694957,0,0,0,0,0,0,0.00101970502549607,0,0,0,0,0,0,0,0,0,0,0.147001314693838,0,0,0,0.0470631954304891,0,0,0,0,0.0150371663665656,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244498167632283,0,0
X600028.SH,0.655342701174325,0,0,0,0.048337951642629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100194332250097,0,0,0,0,0,0,0,0,0.0639774098072112,0,-0.0577654015493282,6.93889390390723e-18,0,0,0,0.011522340887033,0,0,0,0,-0.0132150259307455,0,0,0,0,0.0302215976235836,0,0,0,-0.0179533447109902,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987473877000846,0,0.0667977048029494,0,0,0,0,0.146566449099834,0,0,0,0,0,0,0,0.249608086305988,0.119719956843814,0,0,0,0,1.6940658945086e-21,0,0,0,0,0,0,0,0,0,0,0.110738161328715,0,0,0,0,0,0,0,0,0
X601898.SH,0.00366345338781263,0,0,0,0,0.119752393145126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876165505158776,0,0,0.161367996546582,0,0,0,0,0,0,0,0.0216644368185721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414492529963489,0,0,0,0,0,0,0,-0.0473498081434723,0,0
X600019.SH,0.236176335108055,0,0,0,0,0,0,0,0,0.133233568368818,0,0,0,0,0,0,0,0,0,0.0963419677673574,0,0,0,0,0.226210082618471,0,0,0,0,0,0,0,0,0.043155170498433,0,0,0,0,0.0490830933050523,0,0,0,0.0120718515210003,0,0,0,0,0,0,0.0189523110441778,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0426973920904872,0,0,0,0,0,0,0,0,0,0,0,0,0.286962515647486,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.229020693839434,0,0,0,0,0,0,0,0.0603417439713015,0,0,0,0.159581289100599,0,0,0,0,0,0,0,0,-0.103256909222205,0,0
X600660.SH,0.124776625716655,0,0,0,0,0,0.0278598608870046,0,0,0,0,0,0,0,0,0.0908223952263237,0.00319398774933971,0,0,0.0438260621157194,0,0,0.0469029869423515,0.352022248195673,0,0,0,0.131940600705591,-0.072822521977644,0,0,0,0,0,-0.106478799119492,0,0,0.0614729482362341,0,0,0,0,-0.452103971980589,0.080788326031954,0,0,0,0,0,0,0,-0.0681645131185269,0,0,0,0,-0.00909306154237294,0,0
X600585.SH,0,0,0,0,0.158191432981178,0,0.199338835349035,0,0,0,0,0,0,0,0.00155966601137697,0,0,0,0,0,0.022766008065741,0.0345306169128358,0,0,0,0,0,0,0,0,0,0,0,0.292658244239582,0,0,0,0,0,0,0,0.0415012467367739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377171829036419,0,0
X601600.SH,0,0,0,0,0,0.373688147917848,0,0.119498751422376,-0.128575818299667,0,0,0,0,0,0,0,-0.234380350923551,0,1.22330416389146,0,0,0,0,0,0,0,0,0.157115451828102,0,0.0549308680533857,0,0,0,-0.175142596501503,0,0,0,0.136892340215682,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0250711476868708,0,0,0,0,-0.0333403374517875,0,0
