,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X600795.SH,X000792.SZ,X002466.SZ,X601699.SH,X002460.SZ,X000708.SZ,X000301.SZ,X600010.SH,X600362.SH,X000983.SZ,X600111.SH,X600027.SH,X000877.SZ,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X600985.SH,X601991.SH,X000786.SZ,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X601168.SH,X000807.SZ,X600176.SH,X000932.SZ,X600348.SH,X002128.SZ,X600612.SH,X600219.SH,X600096.SH,X601666.SH,X300037.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.323627308687849,0,0.280677875667995,0,0,0,0,0,0,0,0,0,0,-0.370902015896461,-0.00732703802652188,-1.38777878078145e-17,0,0.22620051993004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233533426414316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702281473771846,0.159370165069664,0.145033761231648,0,0,0,0
X601088.SH,0.0477951793070225,0,0,0,0.156256622302389,0.161899257647723,0,0,0,0,0,0,0,0,0,0,0,-0.0408296401534063,0,0.00291043239374945,0,0,0.0837433887817859,0,0.00485675420290548,-0.0452895023907135,0,0,0,-0.203591807967529,0.0421641881779007,0,0,0,0,0,0.0760047646327854,0.00930002420431791,0,-0.0645469924211268,0,0,0,0,0,0,0.112582467989354,0,0,0,-0.0290052100553374,-0.00170014557336246,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0965829650880063,0,0,0,0,-0.110428391309261,0,0.186645760791983,0,0,-0.0384872864807925,-0.0657648802687362,0,0,0,0,0,0,0,0.0882712873842054,0,0.00727358910577273,-0.0748482313884856,0,0,0,0,0,-0.143610289235372,0,0,0,0.0944179031978825,0,0,0.347407022195911,0,0,0,0,0,0,0,0,0,0,-0.021116114089135,0.0171888843599323,0,0,0,0,0,0
X600309.SH,0.256602227267692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676355144422148,0,0.0363462031933488,0,0.0991159185356564,0,0,0,0.0946072444865048,0,0,0.232999338287226,0,0.124025581504772,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.024347151129588,0.0338399430408573,0,0,0,-0.0124658560876496,0,0,0,0,0,0
X600188.SH,0,0.0774233943824844,0,0,0,0.173479877730763,0,0,0,0,0,0,0,0,0,0,0,-0.0695100994447977,0,0,0,0,0.169368883840617,0,0,0,0,0,0.0195885363077554,0,-4.33680868994202e-19,0,0,0,0,0.0112327181297717,0,0,0,0,0,0.281089931412399,0.0473604624205648,0,0,0,0,0,0,0,0,0.00317278303844824,0,0,0,0,0,0,0
X601898.SH,0,0.0646423035001688,0.226805626115765,0,0.195726157250228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039916288767425,0,0.0605586564667598,0,0,0,-0.00347896129042078,0,0.139672754911298,0,0.129668198560342,0,0,0,0,0,0,0,0,0.154943316012891,0,0.0607988384410064,0,-0.245667202688982,0,0,0,0,0,0.0227509004106224,-0.0294054191667254,0.160740667614931,0,0,0,0,0
X600019.SH,0,0,0,0,0.0150007162512965,0,0,0.242285183598339,0,0.0141733848956528,0,0,0,0,0,0,0.0251035680484208,0.0462064074457391,0.0640302011780498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117367645124292,0,0.173967948064822,0,0,0.0211320118754954,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00986287284529,0,0,0,0,0,0,0
X600011.SH,0.21406518947569,0,0,0,0.0501287787853751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398627719664102,-0.0281665418044149,0,0,0,0,0,0.120396774073162,0,0,0,-0.0189477218714274,0,0,0,-0.0199360647704352,0,0.0406536853157671,-6.93889390390723e-18,0,0,0,0,0,0.0394507265703535,0,0,-0.0048799312076866,0,0.0862561668135764,0,0,0,0,0
X600585.SH,0.0189472600358738,0,0,0.146949709281715,0,0,0,0,0,0,0,0.0689521976778106,0,0,0,0,-0.0195103862095081,0.0687857278491917,0,0,0,0,0,0,0.0183443993899847,0,0,0,0,0,0,0,0.0344887484827857,0,0.0283426422648473,0.0639777762294113,0.0872868019164799,0,0,0,0,0,0,0,0,0,-0.0624721046261945,0.0212136401459018,0,0,0,0.0125284192679766,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.106996320047372,0.0623372975402902,0,0,0,0,0,0,0,0.256884687396342,0,-0.0354962484994936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192872928010668,0,0,0,0,0,0,0,0,0.0733463705714811,0,0,0,0,0.0383627722583137,0,0,0,0.125451416618851,-0.0217658404338811,0.0215743316447362,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0246702795006768,0,0,0,0,0,0,0,0,0,-0.0659509500618291,-0.0105446093593658,0,0,0,0,0,0,0,0.0153331844779298,0,0,0,0.0630577521541842,0,0,0,-1.73472347597681e-18,0,0.229527945378151,-0.171159643690718,0,0,-0.059702047652797,0,0,0,0,-0.0345401836567386,0,0,0,0.0213043234385708,0.116632912447834,0,0,0.020307961539612,-0.0107190692009678,0,0.173395519679744,0,0,0,0
