,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600299.SH,X600583.SH,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000792.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X600352.SH,X600021.SH,X002466.SZ,X000883.SZ,X600623.SH,X600660.SH,X600098.SH,X002470.SZ,X601918.SH,X600863.SH,X000060.SZ,X600489.SH,X600307.SH,X600808.SH,X002004.SZ,X300072.SZ,X000629.SZ,X600022.SH,X600547.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.603152958983098,0.00368970809328466,0,0,0,0,0.13552570598275,0,0,0,0,0,0,0,0,0,0,0,0,0.0978352318310654,0,0,0,0,0,0.00661829401938548,0.0602345157485358,-0.043724587433088,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387551904455552,0,-0.0154501006219777,0.0100495724938211,0,0.0560499269871161,0,0,0,0
X600028.SH,0.250123163940254,0,0.22728631772437,0,0,0,0,0,0,0,0,0,0,0,0.148525459649426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106142547772295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722760977345014,0,0,0.0521690092568218,0,-0.00330789227852133,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.00636811222625923,0,0,0,0,0.543778112765552,0.0270394911543372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143226963447019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203478789274067,0,0,0,0,0,0,0
X600011.SH,0,0,0.0468193477858297,0,0,0,0,0,0,0,0,0.391854845039575,0.0869097861185923,0,0,0,0,0,0,-0.0195834467434337,0,0.257900941195074,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.120592435656739,0,0,0,0.0709390952788044,-0.0711533711870348,0,0,0,0,0,0,0.000434668753395731,0,0,0,0,0,-0.00278748531559045,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.142682294963462,0,0,0,0,0.155371489298949,0,0,0,0,0,0,0,0,0.00983516093191298,0.192699661922103,-3.46944695195361e-18,0,0,0,0,0,0.144984768144717,0,0,0,0,0,0,0,0.0177947338774926,0,0,-0.0388152810530911,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0143054380885505,0,0,0,0,0,0,0.21249096387738,0.163557832962684,0,0,0,0,0,0.0134990963490381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459290735272558,0,0,0,0,0,0,0.193871169269242,0,0.00638665706010851,0.0667231894840343,0,0,0,0,0,0,0,0,-0.0354395585942268,0,0,0,0,0,0,0
X600585.SH,0,0.0434515993271589,0.246744717630091,0,0,0,0,0,0.443975037377992,0,0,0,0,0.112592856492537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285499256095833,-0.00276251659825063,0,0,0,0,0,0
X601898.SH,0.355575116162164,0,0,0,0,0,0,0,0,0.120265460190428,0.26137083063166,0,0,0,0,0,0,0,0,0,0,0,0.152270222745403,0,0,0,0,0,0,0,0,0.0463610399613455,0,0,0,0,0,0.241066239061548,0,0,0.0574972847040717,0.0801552097159122,0,0,0,0,-0.0528802335649577,0.0131957148199069,0,0,-0.00961714859136979,0,0,0.0650306998296706,0,0,0,0
X600795.SH,0,0,0.0911691952723375,0,0,0,0,0,0,0.0124069318933617,0,0.130066815601809,0.291471467791059,0,0,0,0,0,0,0,0,0,0.0188470254817105,0.101180548634424,0,0,0,0,0,0,0,0.044343662969764,0.0161905667325655,0,0,0,0,0.065783865266609,0,0,0,0,0,0.0363995686229869,0,0,0,0,0,0,-0.0234821352908032,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0404150825715785,0,1.73472347597681e-18,0,0,0.236445006031492,0.0569642770125144,0,0,0.0169879884077311,0,0.304734326711243,0,0,0,0.122075784109389,0.0577142502707564,0,0,0.137266104571554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00365852244968626,0,0,0,0,0,0,0
