,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X601600.SH,X600547.SH,X600660.SH,X600886.SH,X000792.SZ,X600795.SH,X002466.SZ,X002460.SZ,X600362.SH,X600010.SH,X000708.SZ,X600111.SH,X000301.SZ,X601699.SH,X600027.SH,X600160.SH,X000983.SZ,X600803.SH,X000877.SZ,X600489.SH,X600426.SH,X601991.SH,X000630.SZ,X000408.SZ,X000786.SZ,X601168.SH,X000807.SZ,X000933.SZ,X002271.SZ,X600985.SH,X600176.SH,X600219.SH,X600612.SH,X000932.SZ,X002128.SZ,X600096.SH,X600348.SH,X000027.SZ,X000883.SZ,X600995.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.289419515623874,0,0,0,0,0,0,0.196730708580449,0.0133577173884464,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.0150247405537349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461074603413841,0,0,0,0,0,0,0,0,0,0,0,-0.040472353030812,0,0,-0.035853102045998,0.0243453501319989,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.171645146352071,0,0,0,0,0,0,0,0,0,-0.113810820104084,0,0,0,0,0,0,0,0,0.0234633696771122,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.236850362467652,0,0,-0.0934798217223128,0.0149741906080474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0702655913412698,0,0,0,0.18414861413833,0.0779907716908861,0,0.127038778361229,0,0,0,0,0,0,0,0,-0.00175789036367184,0,0,0,0,0,0,0,0,0.114618424559373,0,0,0,0,0,0,0,0,0,0,0,0,0.127448208003972,-0.193949436433323,0,0,0,0,0,0.0431359015667073,0,0,0,-0.00711253113893433,0,0,-0.0117994219059962,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657291323363057,0,0,0,0,0.0197014152975172,0.258547732464432,0,0,0,0,0.17916390420608,0,0,0,0.0389282472537977,0,0,0,0,0.0124142179547887,0,0.082388474398243,-0.0993954510806205,0,0,0,0,0,0,0,0.104136984547649,0,-0.0260951503572431,-0.0374821078362822,0,0,0,0,0,0
X600188.SH,0,0,0.0404596491069094,0,0,0.143854615831667,0,0,0,0,0,0,0,0,0.0634564007990876,0,0,0,0,0,0,0,0.235893203088621,0,0.0383944750496164,0.243052491485153,0,0,0.0282649868436427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364660743624476,0.107286813597336,0,0,0,0,0,0,0,0,-0.0254334504185789,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.117569453486493,0,0,0.190723182193845,0.530103370932753,0,0,0,0,0,0,0,-0.132140347704254,0,0,0,0,0,0.0954538647710035,0.122058754577471,-0.13596594890811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438395782598048,0,0,0,0,0,0,0,0,0,-0.0156416876821304,0,0.0694909231809778,0,0,0,0,0
X600019.SH,0,0,0,0,0.0387699215697835,0.112311686123342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146073079248016,0,0,0,0,0.0265896896799189,0,0,0,0,0,0.087300365172522,0,0,0,0,0,0,0,0.107009269608997,0,0,0,0,0,-0.0167471828580069,0,0,-0.00616764460207658,0,0,0,0,0,0,0
X600011.SH,0.139335861758285,0,0.0163265241473993,0,0,0.178423824412464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267915418179511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102302607619517,0,0.00631358647152967,0,0.0378160777243828,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0831342022849073,0,0,0,0,0,0,0,0,0,0,0,0,0.0932606937106244,0,0,0.113233662168541,0,0,0,-0.0551693861919897,0,0,0,0,0,0,0,0,0,0,0,0.0795523611301015,0,0.205642709825063,0,0,0.0392594572838343,0,0,-0.0249954937378067,0,-0.124711828795113,0,0,0,-0.0832762448513584,0.0866047612626622,-0.0237239867615502,0,0,0,0,0
X601600.SH,0.153875254653083,0,0,0,0.0756765349667475,0,0,0,0,0,0.0266160944610277,0,0,0,0.0405552446011454,0,0,0,0,0.00929555987042394,0,0,0,0,0,0,0.0165264891939743,0,0,0,0,0.193457297161266,0,0,0.0175036556175851,0.287870819575797,0.0264761271224555,0,0,0,0,0,0,0,0,0,0,0,0.0722078573174462,0,0,-0.0125000403917391,0,0.072736781151478,0,0,0,0,0
