,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600111.SH,X600362.SH,X600886.SH,X600623.SH,X002466.SZ,X601992.SH,X000792.SZ,X600489.SH,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X601158.SH,X002075.SZ,X600583.SH,X000883.SZ,X000709.SZ,X600549.SH,X600352.SH,X000723.SZ,X000898.SZ,X002407.SZ,X000983.SZ,X000539.SZ,X002470.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X000761.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0727904417750602,0,0,0,1.73472347597681e-18,0,0,0,0.0590647926184663,0,0,4.33680868994202e-19,0,0,0,0,0.144204867513072,0,0,0,0,0,0,0,0,-0.0365052949508821,0,-0.0494439828533263,0,0,0,0,0,0,0,-0.0257519028742049,0,0.00995931334689827,0.0417966403909923,0,0,0,0,0,0.00868132161739549,0,0,0,0.0415699624690651,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.185247270944011,0,-0.001870161774449,0,0.000186362404332313,0,-0.0356501627240368,0,0,0,0,0,0,0,0.0258953902140951,0,0.0653453132116129,0,0,0,0,-6.93889390390723e-18,0.110554437459629,0,0,-8.67361737988404e-19,0.00720729255411021,-0.0836065297231871,0,-0.011341004015004,0,0,0.0128758213363248,0,0,0,0,0,0.000457749235421954,0,0,0,0,0,0.00918783049620591,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.228928868091015,0,0,0,0,0,0,0.0532416759222862,0,0.036344273521177,0,0,0,0,0,0,-0.0403040803935951,0,0,0,0,0,0,0,0,0,0.0344091741617791,0,0.0533156192148009,0,-0.0136113653157079,0.0465603192055682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192618041554887,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.066188631054654,0,0.0852374851058039,0,-0.0107617350297505,0,0.0366377742959994,0,0,0,0.0426091411163855,0,0,0.0153028636852325,0.0174711924507763,0,0,0,0,0,0,0,0.0531192055661698,-0.0376746284539978,0,0,0,0.00910645901449981,0,0,0,0.0157586776910432,0,0,0.0149469225010563,0.191462264125614,0,0,0,0.083104617302092,0,0,0,0,0,-0.0250688059555517,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415801663368014,0,0,0.0148249227161116,0,0,0,0,0,0.0233612320644107,0,0,0,0,0,0,0,0,0,0.165684523699518,0,0.00536421338104554,0.0174416147159301,0,0.0465032458073742,0,0,0,0,0,0,0,0,0.0377489888573841,0,-0.0227113604340477,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347142616480756,0,0.023910569871163,0,0,0.0496332813480619,0,0,0.0251285163113255,0,0,0,0,0.0745479481742229,0.0384196116984772,0,0,0,0,0.058438456774463,0.11399762567258,0,0.1109767890186,-0.036750059283657,0.0298195580804463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282632063132692,0,0,0,0,0,0
X600585.SH,0,0,0.0465280290755225,0,0,0,0,0,0,0,0.0404379298781106,0,0.0396357626217551,0,0.00311895628838029,0,0.274931236251871,0,0,0,-0.150060994398624,0,0,0,0.0786227209864875,0.208203513699537,0,0,0,-0.000566935691699633,0,0,0,0.0702671288733465,0,0,0,-0.0815996086789391,0,0,0,0,0,0.249566522687266,0,-0.0739143169080388,0,0,-0.114966455850978,0,0,0,0,0.233876943588667,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0662203086448711,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,-8.67361737988404e-19,0,0.124482910898709,0,0,0,0,0.126710708432405,0,0.0127586168597253,0,0,0,0.0424253451364861,0.0136046493798116,0.0865914739961376,0,0,0.179097333968922,0,0,0,0,0.0198979643763873,6.7762635780344e-21,0,0.0119236986512018,0,0.140091410546666,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0506208838649533,0,0,0,0,0.0271223919660716,0,0,0,0,0,0,0.00149338287118004,0,0,0.144656879701883,0,0,0.13105934312462,0,0.236582072495971,0,0,0,0.132048993255967,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.175092415802059,0.063308171246121,0,0,0,0,-0.0353190863759619,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0877405168765152,0,0.0352226752132808,0,0.0497313683262852,0,0,0,0.00459922052964578,0,0,0,0,0.024715303418403,0,0.000713484981006665,0,0,0.0786283990188772,0,0,0,5.42101086242752e-20,0,0,0,0.0115753519665424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224232834263117,0,0,0,0,0,0
