,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600660.SH,X600188.SH,X600019.SH,X601600.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X600803.SH,X000708.SZ,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600160.SH,X600426.SH,X600219.SH,X000807.SZ,X000983.SZ,X002466.SZ,X000786.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600176.SH,X600985.SH,X601168.SH,X002128.SZ,X600096.SH,X000933.SZ,X000877.SZ,X000883.SZ,X600352.SH,X600995.SH,X600378.SH,X002353.SZ,X600612.SH,X600299.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.411651294344545,0,0,0.309533212741924,0,0,0,0,0.0945014058234904,0,0,0,0,0,0,0,0.0326597651315188,0,0,0,0.0353377886483968,0,0,0,0,0,0.193854670018665,0,0,-0.023942662039216,0,0,0.419105614328083,0,0,0,0,0,0,0,0,0,0,0,-0.177230881187589,0.0940031624260486,0,0,0,0,-0.0146204380242966,-0.0309518342995981,0,0,0,1.73472347597681e-18,0,0
X600028.SH,0.373524981945813,0,1.73472347597681e-18,0,0.264506973245707,0,0,0,0,0,0.130074080720321,0,0,0.0521082764219516,-0.0978491726833114,0,0,0,0,0,0,0,0,0,0,-0.0315635921650618,0,0,0,0,-0.10030403574854,0,0,0,0,0,0,-0.0769645080800873,0,0,0,0.096567813627938,0,0,0,0,0,0,0,0.0702662475390357,0,0.0402000620726702,-0.0129866599017641,0,0,0,0,0,0
X601088.SH,0.0680736511260757,0,0,0,0.0842510076516015,0,-3.46944695195361e-18,0,0,0,0,0,0,0.16275587751384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0827756636923338,0,0,0,0,0,0.0922928811719847,0,0,0,0.136638907687904,-0.00807291819647394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113748997928862,0,0
X600309.SH,0,0,0,0,0,0,-0.0625072294874957,0,0.07592723541298,-0.0340034331217544,0,0,0,0,0,0,0,0,0,0,0,-0.111028609671153,0,0,0,0,0.456099295088917,0,0,0,0,0.038490704762553,0,0,0,0,0,0,0.0506001162211061,0,0,-0.0569972347264266,0,0,0,0,0,0.28195985019018,0,0,0,-0.0641297924231453,-0.0504925294780659,0.0428290080291198,0,0,-0.0144091479457702,0,0
X601898.SH,0,0.266580134502825,0.165043329219521,0,0,0,0.313149811972766,0,0,0,0,0,0,0,0,0,0,0.0841296054869809,0,0.142927294719583,0,0,0,0,0,0.017812919132339,0,0,0,0,0,0,0,0,0,-0.0865301684096638,0,0,0,0.0783014010504809,0,0,0.0519631126170483,0,0,0,-0.0128224560230907,0,0,0,0,0.0272965344254782,-0.0610763683169426,0,0,0,-0.00481999484907375,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228720907756922,0,0,0,0.25493986930062,0.00267404799895972,0,0,0,0.0171934941756289,0,-0.28478610410492,0,0,0,-0.136687375475374,0,0,-0.0509459509009642,0,0,0,0,0,0,-0.169516769265594,0,-0.151086994865821,0,0,-0.105807814826866,0,0
X600188.SH,0,0.184043586961388,0,0,0.0945486054458854,0,0,0.260241614180155,0,0.0898080471814464,0,0.00687452390186609,0,0.102515478215785,0,0,0,0,0,0,0,0,0,0.079996401655428,0,0,-0.029584513600355,0,0,0,0,0,0.432583118933416,0,0,0,0.391751888959157,0,0,0,0,0,0,0,0,0.0245961541209626,0,0.0774898190501317,0,0,0,0.00558463207519249,0,0,0,0,0,0,0
X600019.SH,0,0.195624083285143,0,0,0,0,0,0,0,0,0,0,0.204237223533055,0,0,0,0,0.0676881394141551,0,0,0.0575601130709297,0,-0.0180180536714734,0,0,0,0,0,0,0,0,0,0,0,0.134633820412655,0,0,0,0,0,0,-0.107943020470187,0,0,-0.0708192762298532,0,0,0,0.0620170197560047,0,-0.118876846156392,8.67361737988404e-19,0,0,0,0,-0.0543850726795011,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102972609315386,0,0.0236505988360274,0,0,0,0,0,0.141405994816965,0,0,0,0.0484028203377781,0,0,0.442889339606066,0,0,-0.0485078245867113,0,0,0.161308958185639,0,0,0.300681083999083,0.110723284605451,0,0,-0.047545784833511,0.103183336017449,0,0,0,0,-0.0637473445006042,0,0,0,-0.0405299687270846,0,-0.0248902926361716,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.1409347835388,0,0,0,0,0,0,0,-0.0682654359852501,0,0,0.633139940419519,0.0652047775730432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12278105676849,0.00389068486992828,0,0,0,0,0,0,0.0561776252792856,0,0,-0.361955373489071,0,0,0,0.0375986342796824,0,0,0,-0.00591255345616437,0,0
