,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X600019.SH,X601898.SH,X600188.SH,X601600.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X600160.SH,X002460.SZ,X600489.SH,X600803.SH,X000708.SZ,X000807.SZ,X000301.SZ,X600027.SH,X000786.SZ,X601991.SH,X002466.SZ,X000408.SZ,X600219.SH,X002128.SZ,X600176.SH,X600426.SH,X002353.SZ,X600096.SH,X000983.SZ,X000630.SZ,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X601699.SH,X600378.SH,X600157.SH,X000883.SZ,X600352.SH,X600299.SH,X600995.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.118145939812766,0.562447812273025,0,0,0,0,0,0,0,0,0,0,0,0.0243549355722283,0.025367386011485,0,0,0,0,0,0,0,0.0420670914972012,0,0,0,0,0,0.0277576173454944,0,0.040527350220015,0.0726266671237265,0,-0.0148006987718696,0,0,0,0,0,0,0,0.0811102554213572,0,0,0,0,-0.0153251297654225,-0.082781091473186,0,0,0.0132954498169078,0.00833017001233791,0,0,0,0,0,0
X601088.SH,0,0,0.108833114434486,0,0,0,0.445001207715026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518736412271661,0.0807693009868374,0,0.164508403734126,0,0,0.0601387562200214,0.00737310580331262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357842153736341,0,0.00539354606304449,-0.0163915066943522,0,0,0,0,0,0
X600028.SH,0.0909182414570618,0.368903607326274,0,0,0,0,0,0,0,0,0,0.0158610475845431,0.0596785138604623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337069080774258,0,0,0,0,0,0,0,0,-0.0142962680772524,0,0,0,0,0,0.0124142166200034,-0.0337134422631676,0.01221734336916,-0.000874992911751167,0.101942933757131,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146167744501277,0.0494887976019899,0,0,0.139594266343276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122158793333822,0,0,0.0253406566753559,0,0,0,0,0.0359289063870836,-0.0436587208806411,-0.0178993502050403,0.00938904863603924,0,0,0,0,0,0
X600660.SH,0.0094930586243827,0,0,0,0,0,0,0,0,0,0,0.226588064084732,0,0,0,0,0.036866337915858,0,0.108722297672811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126874185973017,0,0.104185150352227,0,-0.0235477934449006,0,0.0263549571588496,0,0.0682149595496077,0,0,0,0,0.00870234658601056,0,0,0,-0.0148120238874997,0.0206939249060506,-0.0481610825798163,0.133429291003499,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.162792380779073,0,0.22198362365122,0,0,0.0997601575559637,0,0,0,0,0,0,0,0,0,0.159148584890689,0.0340902147838142,0,0,0.0661623677823009,0,0,0,-0.157568397920606,0,0,0,0,0,0,0,0,0,0,0,0.0865194122331713,0,0,0,0,0,0,0,0.147154548897829,0,0.00739493668418833,0,0,0,0,0,0,0
X601898.SH,0.041594165204481,0.224607803974943,0,0,0,0.206721870235806,0,0.0717569427286857,0,0,0,0.0683646340129023,0,0,0,0,0,0,0,0,0,0.091792511432239,0,0,0,0.0164124314125719,0,0,0,0,0,0,0,0,0,0,0,0,0.0898253097441851,0.0478742992299848,0,0,-1.73472347597681e-18,0,-0.0266740396047935,0,0,0,0,0.173178212264467,0.0897822927721329,0.0207020280646636,-0.018663263318204,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363846586974531,0,0.020728160281727,0.0233223098168409,0,0,0,0,0,0,0,0,0.138314900137151,0,0,0,0,0,0,0,0.0208071501562093,0,0,0,0,0,0.153121793956432,0.0877107625695142,0,0.100000662162154,0,0.0390140530497689,0,0,0,0,0.0853887166207579,0,1.0842021724855e-19,-0.0191299107251665,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067270784430203,0,0,0.902367003656364,-0.214785356464714,0,0,0,0,0.203858213460739,0,0,0,0,0,0,0,0,-0.0154742943831963,0,0,0,0,0,0,0,0,-0.0752034697213488,0,0,0,0,0,0,0,0,-0.108006025239208,0,0.00779733585489392,0.0587290427807615,0,0,-0.529566795054721,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0552378504223557,0,0,0,0,0,0,0,0.207727319745925,0,0.0417341663977131,-0.340527985503682,0,0,0,0,0,0,0.0370522701231255,0,0,0,0,0,0,0,0,0,-0.01110212740092,0,0.146159706276062,0.329555897930308,0,0,-0.0608400784632116,0,0,0,0,0,0,0.000776661006510918,0,0,0.0359193429044185,0,0,0,0
