,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X600660.SH,X002460.SZ,X600795.SH,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000786.SZ,X000408.SZ,X600176.SH,X600339.SH,X600219.SH,X000723.SZ,X600489.SH,X000959.SZ,X002271.SZ,X000553.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0410348524254649,0,0,0,0,0,0,0.0370176140775762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0085608795053811,0,0,0,0,0,0,0.0535457270399211,0.0570566009217976,0,0,-0.0552876994532636,0,0,0.0591170025961684,0,0,0,0,0,-0.0104905665172898,0.0204298562203644,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0720807432038909,0,0,0,0,0,0.00810322574080216,0,0,0,0,0,0,0,0,0,0,0.0654923359358432,0,0,-0.078552438645,0,0,0,0,0,0,-0.0409268727371628,-0.0589149168913521,0,0,0,-0.0472712680993373,0.0471230394986005,0,0.053308890458006,0,0,0,0,0,0,0,0,0,0,-0.0117307379752465,0.00640044359284447,0,0,0,0,0,0
X601088.SH,0,0,0,0.0363987930724592,0,0,0,-0.0596028833566255,0,0,0,0,0,0,-3.46944695195361e-18,0.959538147115962,0,0,0,0,0,0.0398902398292484,0,0,0,0,-0.0689292506675295,0,0,0,0,0,0,-0.0093182019934984,0,0,0,0,0,0,0,0.00713118374645642,0,0,0,0,0.0491942690961355,0.0963435440599114,0,0,0.0646209828138656,-0.0488263327930799,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0482304613946827,0,0.215923827654532,-0.0132953686171412,0.186838856642239,0,0,0,0,0,0,0,0,0,0,0,0.0748147066601643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339124819886469,0,0,0,0.0563407861561167,0,0,0,-0.0727173288009903,-0.010128423398231,-0.0196264027817173,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.000305779431026593,0,0.0785966578924716,0,0,0,0,0,0,0.0216292170162145,0,4.33680868994202e-19,0,0,0,0,0.0117050013001442,0,0,-0.103408601249544,0,-0.108947495633389,0,0,0.134593918923125,0,0,0,0,0,0,0,0,0,0,0,0.00528483855020409,0,0.111875774018739,0,0,0,0,0,-0.106575151287052,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.248842046009321,0,0,0.374546319306994,0.065387159434018,0,0,0.0767401039249169,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512961863506099,0,0,0,0,0,0,0,0,0,0,0.0636346219114446,0,0.115533861563077,0,0,0.0199103028254983,0.0219212773778612,0,0,-0.0127317408154407,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0375810561433143,0,0,0,0,0,0,0,0,0,0,0,0.0918829103816695,0.110039278193341,0,0,0,0,0.0789592595069549,0,0.142471845629672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106424674163463,0,0,0,0.132252756699123,0.067668808453062,0.0551271731241765,0,0,0,0.00670687342215494,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.43046563512023,0,0,0,0,-0.193563372427593,0,0.437872743943254,0,0,0.207009197764935,0,0,0,0,0,0,0,0.044859948503074,0,0,0,0,-0.065643705912296,0,0,0,0,0,0,0,-0.312756684108079,0,0,0,-0.083203625682535,0,-0.16204295219181,0,0,0,0.240266234462037,0,0,0,0.0430051106277386,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0797372191092632,0.0724223323877331,0,-0.0115998569346944,0,0,-0.000407839767268895,0,0,0,0,0.0271710565282337,0.0139282895564081,0,0,-0.0246831144506324,0,0.0343898306963058,0,0.0340270453169828,0.0517854807869948,0.134960796733841,0,0,0,0,0,0,0,0,0.0238221008062067,0,-0.0282273380800793,0.0304769114062055,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138347875144439,0.309248724853873,0,0,0,0,0.191255959647833,-0.0346525553666972,0,0,0,0,0,0,0,0,0.0495702281007573,0.0111302234718095,0,0,0,0,0,0,0,0,0,0,0.0446486237907707,0,0,0,0,0,0.011050365448514,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,-0.00314351665334862,0,0,0,0,0,0,0,0.612009170171717,-0.0394309074674057,0.082009223711596,0,0,0,0,0,0,0.0480919898647248,0.0224037640670975,-0.0406417358805132,0.0205411004633157,0,0,0.0460187511140732,0.0649103595470154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828265672976397,-0.0253753113798841,0,0,0,-0.00470779677207214,-0.000451780056750888,0,0,0,0,0,0
X300072.SZ,0,0,0,0.169705128911537,0,0,0,0,0,0,0,0,0,0.000948431290696159,0.0684648512543652,0,0,0,0,0,0,0,0,0,0.0169307304789775,-0.141505123546216,-0.12959145994835,0,0,-0.0310866667344509,0,-0.0499737100918679,-0.186241257365208,0,0,0,0,0,0,0,0,0,0,-0.0416167023102201,0,0,0,-0.0365114579146283,0,0.00821628382802708,-0.012256601439752,0.0351573535491798,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0638585072306446,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114297285265399,-0.0270095367858833,0.15264816573531,0,0,0,-0.184918365749342,0,0,0,0,0,0,0,0,0,0,0,0,0.0638055194096768,0,0,0,0,0.24340020805274,0,-0.0301884855174732,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.102945584061267,0,0.0767430803824891,0,0,0,0.215753888615164,0,0,0,-0.0133957843827821,0,-0.0741057109022173,0,0,0,0,0,0,0.0128927220092397,0,0.0284411347251945,0,0,0.0681747336642588,0,0,0,0,0,0,0,0,0.0429518987535346,-0.0970099575537224,0,0,0,0.0281052382986757,0,0,0,0,0,0,-0.105809663686525,0.093597666872552,0,0,0,0,0,0
X002460.SZ,0,0,0,0.027585970944425,0,0,0,1.73472347597681e-18,0,0,0.569706000637455,0.145838692782902,0,0,0,0,0,0,0,0,-0.0696032914718845,0.00399418186085243,0,0,0,0,0.0780488910161915,0,0,0,0.112745083764089,0,0,0,0,0,0,0,0,0.407862455110964,0,0,0,-0.0724566998940116,0,0.162561425017415,0,-0.0956462342073884,0,-0.450694292431317,0,-0.000631029838432974,0,0,0,0,0,0
