,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X000708.SZ,X601600.SH,X600111.SH,X600547.SH,X000301.SZ,X600660.SH,X600010.SH,X002271.SZ,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X600160.SH,X600489.SH,X000786.SZ,X600995.SH,X000807.SZ,X000629.SZ,X600378.SH,X000408.SZ,X600219.SH,X600096.SH,X000933.SZ,X000932.SZ,X000723.SZ,X002080.SZ,X600688.SH,X300037.SZ,X000831.SZ,X000630.SZ,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0453997726707323,0,0,0,0,0,0,-0.0146398581724326,0,0,0,0,0,0,0,-0.0182104511055616,0,0,0.0753618593856006,0,0,0,0,0,0.0940008607265642,8.67361737988404e-19,0,0,0,0,0,0,0.0621779619542399,0,0,0.103663668068112,0,0,0,0,3.46944695195361e-18,0.00268180147727519,0,0,0.0980161200100695,0,0,-0.098369658785302,0,0,0.0327421093924509,-0.0356855422919397,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.116135089051931,0,0.0556360566653228,0,0,0,0,0,0.0595213034362404,0,0,0,0,0,0,0,0.0149071523338962,0,0,0.0996126993519783,0,0,0,0,0,0,0,0,0,0,0,0.0422685161840887,0,0,0.0800632746923351,0,0,0,0,0,0,0.00822874919722783,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0748032134389176,0,0,0,0.0601740359472654,0,0,0.142015457139107,0,0,0,0,0,0,0,0,0,0.0194756179810898,0,0,0,0.103629079312345,0,0,0,0.0104552923474009,0,-0.0297360353554232,0,0.128218585232221,0,0,0,-0.0383689200743052,0,0,0,0.027078700678902,0,0,0,0,-0.0193057708158838,-0.0111461588378018,0,0,0,-0.0160656213984695,0.00924489969474803,0,0,0,0,0,0
X600309.SH,0,0.00978809224542224,0,0,-0.0626344690329522,0,0,0,-0.0748148282386979,0,0,0,0,0,0,0,0.197757517882712,0,0,0,0,0.0479062644616572,0.265720695156338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212189526189364,0,0,0,0,0.488822153191049,0,0,0,0.0289786567526186,0,0,0,0,0.00438446909792168,0,0,0,0,0,0,0
X600188.SH,0,0,0.217739775656271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141825913435903,0,0,0,0,0,0.254352756128013,0,0.111750775455674,0.0692087361480259,0,0,0.0088334206868574,0,0,0,0.0458403934729504,0,0,0,0,0,0,0.0381831800856768,0,0,0,0,0,0,0,0,0.294054933023031,0,-0.0388500437508495,-0.00397600493403609,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826705492981562,0,0,0,-0.039156083886497,0.443127332983082,0,0,0,0,0.0359024358664993,0,0,0,0,0,0,0.204688068288797,0,0,0,0,0,0,0.0187890727822391,0.0555845857787667,0,0,0,0,0,0,0,0,0.0343642240963617,0.00587450224899626,0.0104891944375897,0,0,0,0,0,0
X600019.SH,0,0.0958996803104341,0,0,0,0.0839305997145302,0,0,-0.0458933258955453,0,0,0.199239378474226,0,0,0,0,0.0189906974748198,0,0,0.108823551305428,0,-6.93889390390723e-18,0,0,0,0,0,0,0.20169486434236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330511995509712,0,0,0,-0.00305395730341932,0,0.0914304974874988,0,0,0.00152720942679465,-0.0109246952529973,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.608931053905398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00443759033221834,0,-0.00124359168099756,0,0,0,-0.0838171194454815,0,-0.0263233542917687,0,0.0519493214176314,0,0,0.156733545034269,0,0,0.0367696350771015,0,0,0,0,0,0,0,0,0,0.00888440606537362,-0.0097729976659761,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.119935694739106,0,0,0.0385719873937695,0,0.0395457973600401,0,0,0,0,0,0,0.0311217273542332,0.0330543815556596,0,-0.024980727442039,0,-0.029174081351911,0,0,0,0,0,0.548840043500735,0,0.0935476650145647,0,0,0,0.125137924546804,0,0,-0.167139905097819,0.10307246038286,0,0,0,-0.154700274378377,0,0,0,0,0,0,0,0,0,0,0.00602813133244313,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0192965770060374,0,0,0.57331387125976,0,0,0,0,0,0,0.126079845733087,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622864141743816,0,0,0,0,0,0,0,0.0806240782108198,0,0.05878259063144,0,0,0,0,0,0,0,0,0.0547547594929816,0,0,0,0,-0.0423696819675838,0.0648161763354978,-0.0492323661051218,0,0,0,0,0
