,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600660.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X600160.SH,X600489.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000877.SZ,X000807.SZ,X600219.SH,X600426.SH,X600176.SH,X000983.SZ,X002128.SZ,X000408.SZ,X000630.SZ,X601699.SH,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600157.SH,X002353.SZ,X002271.SZ,X000831.SZ,X600378.SH,X600995.SH,X600688.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.059477429045838,0,0,0,0,0,0,0.310615964475945,0,0,0,0,0.0607349082495751,0,0,-1.73472347597681e-18,0.207642723941769,0,0,0,0.0464375724429645,0,0,0,0,0,0,0,0,0,0.0587212210074497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101855046542218,0,0
X601088.SH,0,0,0,0,0.432690825636722,0,0,0,0,0,0,0,0,0,0,-0.104391980578974,0,0,0,0,0,0.00549035395935977,0,0,0,0,0,0,0,0,0,0,0,0,0.162069865659487,0,0,0,0,0,0,6.93889390390723e-18,0.0376529109503774,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206539306241245,0,0
X600028.SH,0.584836368101313,0,0,0,0.110603337689584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363287647190456,0,0,0,0.0314851201244807,0,0,0.107959427634345,0,0,0,0,0,0,0,0,-0.0250686298361017,0,0.122272951072047,0,0,0,0,1.38777878078145e-17,0,-0.0412434347133503,0,-0.0944073844105425,0,0,0,0,0,0,0,0,0,-0.0232976578336202,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735583370434126,0,0.113547863658354,0.00829187501415906,0,0,0.0363197372265836,0.113743372100333,0,0,0,0,0,0,0,0.0799301153777843,-4.33680868994202e-19,0,0,0.297164083664659,0,0,0,0,0,0,0,0.0176769188492929,0.0974488369914311,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.135288350613519,0.160036498868327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160982300387975,0.0459480474313917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434848847140932,0,0,0,0,0,0,0,0,0,-0.050024295219925,0,-0.0349048286379908,0,0
X600019.SH,0.156010787879044,0,0,0,0,0,0,0,0,0.12295086475527,0,0,0,0,0,0,0,0,0,0.0608195641467703,0,0,0,0,0.317956844218908,0,0,0,0.0963947964746577,0,0,0,0,0,0,0,0,0.0421377763855162,0,0,0,0,0.0119184077384157,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860655055833408,0,0,0,0.141212546745498,0,0.27334573197156,0.010198193777023,0,0,0,0,0,-0.0213804794083631,0.26459560030239,0,-0.0864855552059028,0,0,-0.149768096122727,0,0,0,0,0,0,-0.306706346027248,0,0.00438053817963432,0,0,0,0,0,0,0,-0.0430177833118709,4.33680868994202e-19,0,0,0,-0.00687949883103194,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0985238122670703,0,0,0.00941909969100723,0,0,0,0,0.0256511329161371,0,0,0,0,0.312900477898619,0,0,0,0,0,0,0,0,0.115697049112532,0,0,0.260533397484974,0,0,0,0,0,0.0616484269629975,-2.77555756156289e-17,0,0.271441330908381,0,0,0,0,0,0,0,0,0,-0.0602061698406159,0,0
X600585.SH,0,0,0,0,0.179234867524966,0,0,0.185180701361414,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0213842536130093,0.0275876542041597,0,0,0.0185463589830696,0,0,0,0,0.285638597051787,0,0,0,0,0,0,0,0,0,0.0371508662832326,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0350816077828027,0,0
X601600.SH,0,0,0,0,0,0.205262502120085,0.0528308454619835,0,0,0,0,0,0,0,-0.102090709669443,-0.0824944327276239,0,0,1.17763367261606,0,0,0,0,0,0,0,0,0,-0.284435292812349,0.200690540638238,0.209608077817161,0,-1.73472347597681e-18,0,0,0.180599766953415,0,0.0116932343665698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
