,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X002466.SZ,X600362.SH,X000708.SZ,X002460.SZ,X600010.SH,X600027.SH,X600111.SH,X000301.SZ,X600160.SH,X000877.SZ,X601699.SH,X600489.SH,X600803.SH,X000983.SZ,X600426.SH,X601991.SH,X000630.SZ,X000786.SZ,X000807.SZ,X000408.SZ,X601168.SH,X000933.SZ,X600985.SH,X600176.SH,X600612.SH,X002271.SZ,X600219.SH,X002128.SZ,X000932.SZ,X600096.SH,X600348.SH,X000883.SZ,X000027.SZ,X002353.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.236334813633505,0.0205886411838963,0,0,0,0.0965946891694097,0,0.0167504439804285,0,0.0339216579943192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114666266671762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017973277221868,0,0,0,0,0,0,0,0,0,0,0,0,0.0537619040703466,0,0,0,0,0
X601088.SH,0.0171616786013151,0,0,0,0.165167629448763,0,0.273537782949618,0,0,0,0,0,0,0,0,0,0,0,-0.0140205800063783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113446535405945,0,0,0,0.16231665964676,-0.0858935878579882,0,0,0,0,0,0,0,0,0,0.0876777500236632,0.0780985945159879,0,0,-0.0235679155861252,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.172715507273723,0,0,0,0,0,0,0,0,0,-0.113403551429169,0,0,0,0,0,0,0,0.0113265562789172,0,0,0,0,0,0,0,0,0,0,0,0.24476674651412,0,0.0209297817562306,0,0,-0.0927073475815593,0,0,0,0,0,0,0,0,0,0,0.00223194221004578,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0510869084531993,0,0,0,0.283098602377256,0,0,0,0,0,0.176801680794129,0,0,0.0367574055446553,0.0597325804688049,0,0,0,0,0.0784687405715711,-0.126011894709009,0,0,0,0,0,0,0,0,0.0703111995268788,0,0,-0.0181631164477428,-0.0357465431389837,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.191600703239591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00976352194916978,0,0,0,0.339134811297983,0.0457789426736006,0,0.11915203602068,0,0,1.0842021724855e-19,-2.77555756156289e-17,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0982461934489361,0.0643227021831667,0,0.00642030146770594,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.617272700297444,0,0,0,0,0,0,0,0,0,0,0,-0.226174471724821,0.283605720272267,0,-0.0345496678540565,0,-0.0238509634736977,0,0,0,0,0,0,-0.0692524440291003,0,0,0,0,0,0,0.331458590962305,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328881364370661,0.0443695155855125,0.145138328257074,0,0,0,0,0
X600011.SH,0.0389195538029021,0,0,0,3.46944695195361e-18,0.141084611958211,0,0,0,0,0,0,0,0.161931002354322,0,0,0,0,0,0,0.277980053529866,0,0,0,-0.016412717089921,0,0,0,0,0,0.1267212469514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102740766723186,-0.0368040604060053,0.0957065896397927,0,0,0,0,0
X600019.SH,0,0,0,0,0.0627570516004576,0,0,0,0,0,0,0,0,0.0501303803197814,0,0,0,0,0,-0.0388433992123609,0,0,0,0,0,0,0.0603281358154432,0,0,0,0,0,0,0,0,0.0843943617869938,0,0.0476329600350011,0,-0.0107664133177724,0,0,0,0.13790485444894,0,0,0,0,-0.0708383530741447,0,0,-0.00451530146172576,-0.00970059591882377,0,0,0,0,0,0
X601600.SH,0.240894786448914,0,0,0,0,0,0,0,0,0,0.0939491873203496,0,0,0.00693688437373197,0,0,0,0,0,0,0.0459157192726731,0,0,0,0.0504281148353988,0,0,0.0492097268658171,0,0,0.072373812440167,0.0761669377366658,0,0.107153305122879,0,0.0912678924390598,0,0,0.0915732175408606,0,0,0,0,0.0640872192000329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.142026853880518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592862399874183,0,0,0.132636059446073,0,0,0,0,0,-0.0386712432841138,0,-0.0265192038341838,0,0,0,0,-0.059277173689351,0,0,0.28145214043978,0,0,0,0,0.0120016848055258,0,-0.0550288420689421,0,0,0,0,0,-0.0503473560716385,0.051654631783952,-0.0759246485473128,0,0,0,0,0
