,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X002466.SZ,X600660.SH,X601158.SH,X600352.SH,X000792.SZ,X600309.SH,X600583.SH,X000709.SZ,X600489.SH,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X300072.SZ,X002075.SZ,X000959.SZ,X600021.SH,X000060.SZ,X000983.SZ,X002470.SZ,X600176.SH,X600022.SH,X600578.SH,X600098.SH,X601699.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0866218682333609,0.12676260696565,0,0,0,0,0,0,0,0.0807164608483108,0,0,0,0.0326750933938179,0,0.0101206405990632,0,0,0,0,0.0202160247214803,0.0468612807227655,0,0,0,0.0135703512822735,0,0,0.0731779022320939,0,0,0,0,0,0,0,0,0,0,0.0507928118559727,0,0,0,0,-0.00970771217437492,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0864310562229566,0.240449836988519,0,0,0,0,0.0054655866079713,0,0,0,0,0,0,0.0154505317077452,0,8.67361737988404e-19,0,0,0.00423711024819495,0,0,0.0160545909318198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255003320534642,0.0295952976372985,0,0,0.000564028792562166,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.511322841781034,0,0,0,0,0.00602018570352162,0.134621323539687,0,0,0,0,0.00252234417514337,0,0,0,0,0,0,0.0632947618484783,0,0,0,0,0,0,0,0,0.0910080440688585,0,0,0,0,0.00436486934400096,0,0,0,0,0,0,0,0.0293648780850224,0,0,-0.00685272245798627,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553129060555822,0,0,0.197703151830456,0,0,0,0,0,0,0,0,0,0.0494697065463099,0,0,0.0169151075954912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183897487938506,0,0.0774502770437045,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0652438514399395,0,0,0,0,0,0,0.268462813840781,0,0,0.0616689848938848,0,0,0,-3.46944695195361e-18,0,0,0,1.73472347597681e-18,0,0,0.105197630780928,0,0,0.0515230249657412,0,0,0.124035328052429,0,0,0.0154230887403177,0.0154398222743275,0.0962621431616115,0.124600395500635,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.0176479587054794,0,0,0,0.0721583359613188,0,0.0183493686431995,0,0,0,0,0,0,0,0,0,0.132115153111351,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.534020862425042,0,0,0,0,0,0,0.0660402430194511,0,0,0.0918987678377543,0,0,0,0,0,0,0.0293819712203291,0,0.0474537834074899,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0651994137162326,0,0,0.0690341469735003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152594303466786,0,0,0,0,0,0,0,0,0,0.110419003180766,0,0,0,0.0640913688589384,0,0,0,0,0,0.085745099659072,0,0,0,0.0449969073963379,0,-0.0457912418225181,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444543026439313,0,0,0,0,0,0.0408349335225417,0.127277779035953,0,0,0,0,0,0,0,0,0.0741338332795534,0,0,0.00753175940210363,0,0,0.00278253559169168,0,0,0,0,0,0.419056195750562,0.0182511778114746,0,0,0,0,0.00868076276117793,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995666667469662,0,0.214949679476574,0,0,0,0,0,0.0601856081341567,0,0,0,0,0,0.17520671963291,0,0,0.123471591796946,0,0,0,0,0,0,0,0,0,0.107489546929849,0,0.0557382837870075,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763201284090751,0,0,0,0,0,-0.0126521852634986,0.020116081618117,0,0,0,0,0.120908946738892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105009727454122,0.229279840932648,0,0,0,0.355721928496158,0,0,0,-0.195193971517197,0,-0.0223874303636019,0,0,0,0,0,0,0
