,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X000708.SZ,X002466.SZ,X600803.SH,X600027.SH,X000301.SZ,X600160.SH,X601991.SH,X000786.SZ,X600426.SH,X000807.SZ,X000983.SZ,X600219.SH,X601699.SH,X002128.SZ,X600176.SH,X000630.SZ,X000408.SZ,X600096.SH,X601168.SH,X000877.SZ,X600985.SH,X000933.SZ,X002353.SZ,X600378.SH,X002271.SZ,X600995.SH,X000883.SZ,X600352.SH,X000027.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.179583103791742,0,0.0836352422874489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231774148016673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372627791139828,0,0,0.0404403567510269,-4.33680868994202e-19,0,0,0.26998933286821,0,-0.0642780674190336,0,0,0,0,0,0,0.0360998938030635,0,-0.0790865968511213,0,0,0,0,0
X601088.SH,0.0852955382955355,0,0,0,0.236098709477131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0914084945169459,0,0,0,0,0,0,0,0,0.016778890818509,0,0,0,0,0,0,0,0,0,0,0,0.154759095414208,0.0126285968712963,0,0,0,0,0,0,0,0.0366871496397865,0,0,-0.0297808188792747,-0.00402280871147821,0,0,-0.0920438808961193,0,0
X600028.SH,0.599257425930292,0,0,0,0.0671819633623862,0,0,0,0,0,0.0432544356533914,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.0578287243394082,0,0,0,0,0.0464401063469206,0,0,0,0,0,0,-0.0304581607612869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134320973524533,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0359608610356146,0,0,0,0,0,0,0,0,0,0,0.136115966683964,0,0,0.121280468780458,0,0,0,0,0.0634940359350855,0.37436690609654,0,0,0,0,0.112701258103641,0,0,0,0,0,0,0,0,0.0383440789907798,0,0,0,0,0,0,0,0,-0.100631732799073,-0.021071998438985,0,0,0,0,0,0
X601898.SH,0.0862138134704596,0.489650047229994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308176837691079,0,0.183520976653375,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207734635079868,0,3.46944695195361e-18,0,0.00388328521720899,0,0
X600188.SH,0,0,0,0,0.0864831717837177,0,0,0,0,0,0,0,0,-0.211973312631198,0,0,0,0,0,0,0,0,0,0.0506430433738981,0,0,0,0,0,0,0.21585239718362,0,0.471872962201778,0,0,0,0,0,0,0,0,0,0,0.243837487716414,0,0,0,0,0.100476966864405,0,0,0,0.0296175046158029,0.145507865019753,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.148583891535676,0,0,0,0,0,0,0,0,0,0.238756008983832,0,0,-0.129404311277717,0.00224068690444795,0,0,0,0.029109734088458,0,0.354798692050586,0,0,0,0,0,0,0,0,0,0,-0.0752300992467995,-0.173254336917832,0,0,0,0,0.179722382199315,0,0,0,0,-0.114848826013453,0,-0.019621639767035,-3.46944695195361e-18,-0.177342047176722,0,0,0,0,0
X600019.SH,0,0,0.241816727531281,0,0,0,0,0,0,0,0,0.209077131399295,0,0.0171568377337116,0,0,0,0,0,0,0.181840281931475,0,0,0,0,0,0,0,0,0,0,0.0399927031045898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222119760823037,0,-0.0817630547339582,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262872536046641,0,0,0,0.0483058284592896,0,0.0897971202729361,0,0.187882685217046,0,0.443555619529932,0,0.0236109170097461,-0.000706220356222633,0,0,0,0.334348733483445,-0.0141414782608078,0,0.147518810413843,-0.0207387042474147,0,-0.0008248565130369,0,0,0,0,0,0,0,-0.0332300225198444,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.172838125739751,0,0,0,-0.0157694423609954,0,0,0,0,0.0914320552286184,0,0,0,0,0,0,0,0,0.0201296094948516,0,0,0,0.00775817915333466,0.0615253348046892,0,0,0,0,0,0,0,0,0,0,-0.0498065428427811,0.189295769299924,0,0,0,0,0,0,0,0,0,0.320770399523742,0,0.0432072947804914,0,0,0,0,-0.0830980616965639,0,0
X600547.SH,0,0,0.0686812794640179,0,0,0.00568599900122186,0,0,0,0,0,0,0,-0.0167178867873982,0,0,0,0,0.762518639189384,0,0,0,0.0289746384627225,0,0,0,0,0.0283823097638995,0,-0.0188820407929267,0,0,0,0,0,0,0,0,0,0.00817238309308841,0,0,0,0,0,0,0,0,0.0811929474350662,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.140652441599501,0.224082033488613,0,0,0,0,0,0,0.122049446131134,0,0,0,0,-0.0621101072492525,0,0,0,0.120027475341685,0,0,0,0,0,-0.0639071880742863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232004409776892,0,0,-0.0664508944931061,-0.0318564395351139,0,0,0,0,0,0
