,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X000708.SZ,X600010.SH,X601699.SH,X000301.SZ,X600362.SH,X000877.SZ,X600426.SH,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X000807.SZ,X000630.SZ,X600985.SH,X000408.SZ,X600176.SH,X000786.SZ,X000933.SZ,X000932.SZ,X300037.SZ,X600612.SH,X600348.SH,X600219.SH,X601168.SH,X002128.SZ,X600995.SH,X600688.SH,X000629.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.687028230946154,-1.38777878078145e-17,0,0,-0.129291663430536,0,0,0,0,0.101141469297807,0,0,-0.261559527171838,0,0,0,0,0.127363006900795,0,0,0,0,0,0,0,0,0,0,-0.187010340550134,0,0,0,0,-0.0786597047623963,0.184242988606583,0,0.12319358140769,0,0,0,0.203088419942908,0,0,0,0,0,0,0,0,0,0,0.0283021964607184,-0.00514563354347925,0,0,0.0536434771380515,0,0
X600028.SH,0.722696379172008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157264986079879,0,0,0,0,0,0,-0.0196053609970681,0.0213633772679468,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531194433211303,0,0,0,0.110748468590793,0,0,0,0,-0.00530224067795425,-0.00717294510741751,0,0,0,0,0,0
X601088.SH,0.0955378558425121,0.222736606398639,0,0,0.123766851630916,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785562496211041,0,0,0.126282343497537,0,0,0,0,0,0,-0.119881211298641,0,0,0,0,0,0,0.0238221170187307,0,0.0866559618410094,0,0.0694230363511107,0,-0.0223833162612261,0,0,0,0,0,0,0,-0.0317767058472372,0,0,0,0.009255200734997,0,0,0,0.00428377331314932,0,0
X600309.SH,0,0,0,0,0.312306471746214,0,0,0,0,0,0,0,0,0,0,0.0443598191191256,0,0,0,0,0,0,0,0,0.233739179833741,0,0,0.169044957802861,0,0,0,0.100486119377962,0,0,0,0,0,0,0,0.368386327148935,0.282687467264366,0,0,0,0,0,0,0,0,0.2827558539377,0,-0.0128794005363031,0.0202845636634206,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0356088663544819,0.0748760941800259,0,0,0.0510120554110721,0,0,0,0,0,0,0,0,0,0,0.256900983286846,0,0,0,0,0.136545583042509,0,0,0,0.0670997131126353,0,0,0,0,0.119863605290869,0.0916017658358777,0,0,0.116994409816877,0,-0.0612569973480541,0,0,0,0,0,0,0,0,0,0,-0.00315633946147631,-0.000845009180370948,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.270814638969059,0,0,0,0,0.126269728990297,0.0253152191186687,0,0,0,0,0,0.143834294272744,0,0,0,0,0,-0.0819581002662525,0,0,0,0,-0.0350599905226736,0,0,0,0,0,0.453812094461715,0,0,0,0.13924162707733,0,0,0,0,0.157821555888813,0,0,0.268006802230269,0,0,0,0,-0.00737078278343471,0.106280197622703,0,0,0,0,0
X601898.SH,0.126315964402835,0,0.056737086136178,0,0.357621870127323,0,0,0,0,0,0.117463414408239,0,0,0,0,0,0,0,0,0,0.0607282410925876,0,0,0,0,0.0396992232958568,0,0,0,0,0,0,0,0,0,0,0,0.0150968814936314,0,0,0,0.00369074145814962,0,0,0,0,0,0,0,0,0,0.0112239186729031,-0.0271287814313219,0,0,0,0,0,0
X600011.SH,-0.0208172554454321,0,0,0,0,0,0,0,0,0,0.137209656758666,0,0,-0.007676196599405,0,0,0,0,0,0,0,0,0,0,0,0,0.395748988651785,0,0,-0.00545901592831271,0,0,0,0,-0.0238639738127584,0,0.060981112583995,0,0,-0.0414117304041386,0,0,0,0,0,0,0.134577469161358,0,0,0,0.0230580173244551,-0.00310766120356889,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0263525561300575,0,0,0,0,0,0,0,0,0,0,0,0.0396031901262675,0,0,0.00265184531157797,0,0,0,0,0.101773434243285,0,0.0793607369020087,0,0,-0.0571688724266048,0.250172119671757,0,0,0,0,0,0,0.0347789972191163,0.16787611828831,0,0,0,0,0.00785912080754503,0,0,0,0,0,0,0,0,-0.00275019402407927,0.00747252995546385,0,0,0,0,0,0
X600547.SH,0,0.0715672835322841,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016424574435414,0,0,0,0,-0.0348192509764694,0,0,0,0,0.0241610427130734,0,0,0.575028176358905,0,-0.10478140660054,0.0273686174910187,0,0,0,0,0,0,0,0,0,0,0.0347348749971565,0,0,0.107327983605385,0,0,0.109964336633598,0,0,0,0.0262654784066977,0,0,0,0.0178227901104591,0,0
X600886.SH,0.137912638220997,0,0.0423571110180129,0,0,0,0,0.0672877459507764,0,0,0,0.0838328260320476,0,1.35525271560688e-20,0,-0.0213774753645978,0.260884171501313,0,0,0,0.0381965451465567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208722908569066,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.152693287489524,0,0,-0.0155758642002082,0,0,0,0,-0.0596296205966509,0,0
X600660.SH,0,0,0,0,0,0.0616762351505748,0,0,0,0.0333524987909378,0.206375636601551,0,0,0,0,-0.0810312280637315,0,0,0,0,0,0,0,0,0,0.0237703041912215,0.168315119077982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066981784549328,0,0.000459447434871865,0,0,0.120247039307905,0,0,0,0,0,0,0,0,0,0.0181791345886974,0,0
