,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X601600.SH,X600886.SH,X000792.SZ,X600795.SH,X002466.SZ,X002460.SZ,X000708.SZ,X601699.SH,X600362.SH,X600111.SH,X000301.SZ,X600010.SH,X600027.SH,X000983.SZ,X600803.SH,X000877.SZ,X600489.SH,X600426.SH,X600160.SH,X601991.SH,X000408.SZ,X000630.SZ,X000786.SZ,X600985.SH,X000933.SZ,X000807.SZ,X601168.SH,X002271.SZ,X000932.SZ,X600612.SH,X600176.SH,X002128.SZ,X600219.SH,X600348.SH,X600096.SH,X600995.SH,X000027.SZ,X300037.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.307801507550661,0,0.15233148892753,0,0,0,0.0158774812407156,0,0,0,0.117641538725246,0,-0.204298644915543,0,-0.0184734995621428,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211976488904571,0,0.132952037707342,0,0,0,0,0,0,0,0,0,0,0,0,0.039432721282666,0,0,0,0,0,0.0426591679103436,-0.0336746349177802,0.0579148497504398,0.171299784345399,0.171662130279605,0,0,0,0
X601088.SH,0.0255958805291612,0,0,0,0.157381613164999,0.174579317527669,0,0.0535156144355614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244981527744263,0,0,0.0933345243759322,0,0,0,0,-0.0226282637560874,0,0,0,0,0.0949616012605722,0,0,0.0190154974844227,0,0,0,-0.200136329874286,0,0,0.102256217769159,0,0,0,0,0,0,0,0.00917384634929294,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.00833377859807902,0,0,0,-0.192130976963832,0.140943335600318,0,0,0,0,-0.0799108346340106,0,0,0,0,0,0,0,0.108853258397923,0,-0.0698857104456944,0,0,0,0,0.0266189375836459,-0.0190624964330645,0,0,0,0,0,0.0292183868505658,0,0.190505380074655,0,0,0,0,0,0,0,0,0,-0.0124541759059498,0,0,0.0078161748826246,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588303228159308,0.246177165035102,0,0,0,0,0,0,0.105818363089576,0.316883645569242,0,0,0,0.0529647544735001,0,0,0,0,0.00965862541542441,0,0,0.0496098905498676,0,0,0,0,0,0,-0.0526613777299819,0,0,-0.00256005096378734,-0.00426552851964237,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.24281126092767,0,0,0,0,0,0,0,0,0.103499040976694,0,-0.060053382712579,0,0.020883710615633,0,0,0,0,0,0.157665500285402,0,0.0169062566587843,0,0,0.0259873795854553,0.0212790000803328,0,6.93889390390723e-18,0,0,0,0,0.0452649402087503,0,0,0,0,0.0271188425608508,0,0.210747124921222,0,0,0,0,0,0,0.00775749147458512,-8.67361737988404e-19,0,0,0,0,0,0
X601898.SH,0,0.00313488663487773,0,0,0.160239959582868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335123284968916,0.363925361976229,0,0,0,0,-0.0649152004705435,0,0,0,0.0325127908439878,0,0,0,0,0,0,0,0,0,0,0.082166374721872,0,0,0,0,0,0,-0.0189196607535324,0,0.0911442374521949,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.159273039040867,0,0,0,0,0,0,0,-0.083755014436819,0,0.118775410993993,-0.0851961172256087,0.0819227956820052,-0.000379412514000661,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0113733947086808,0,0,-0.008080591247145,0,0,0,0
X600011.SH,0.0902461916107404,0,0,0,0,0.145928329040377,0,0,0,0,0,0,0,0,0.135722014489966,0,0,0,0,0,0,0,0,0.286096859300418,0,0,-0.0657254775494931,0,0,0,0.069882422340314,0.0407962523900898,0,0,0,0,0,0,-0.0229087547391583,0,0,0,0,0,0,0,0,0.0888681967196032,0,0,0,0.0272169957344634,-0.0362684038595401,-4.33680868994202e-19,0.0878705524119662,0,0,0,0
X600585.SH,0,0,0,0.104067593883574,0,0.0656678296185112,0,0,0,0,0,0.00610919521542364,0,0,0,0,0.0244028609434556,0,0,0,0,0,0.122669865563076,0,0,0,0,0,0.0894805674314955,0,0,0,0,0.0743248263307686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774279647809095,0,0.0036718734444599,0,0,0,0,0,0
X600660.SH,0.219774453654191,0,0,0,0,-0.0906333892280325,0,0,0,0,0,0,0.183923219801133,0,0,-0.0460791674605853,0,-0.0194708576233807,-0.112726573941472,0,0,0,0,0.0300176649218316,0,0,0,0,0,0,0,0,0,0,0,0,-0.090100196625894,-0.0550897725587816,0,0,-0.0181115211522221,0,0,0,0,0,0.150719643356911,0,0.0761503456622619,0,0,0,0.0364886550807786,0.0867779118271702,0.0609726277139587,0,0,0,0
