,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X002271.SZ,X600011.SH,X600660.SH,X000708.SZ,X002460.SZ,X600886.SH,X000786.SZ,X600176.SH,X600801.SH,X601898.SH,X600010.SH,X600362.SH,X601600.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600027.SH,X600688.SH,X600299.SH,X601992.SH,X002080.SZ,X600803.SH,X000932.SZ,X002466.SZ,X000301.SZ,X002353.SZ,X600529.SH,X600486.SH,X600219.SH,X000723.SZ,X002409.SZ,X002075.SZ,X000027.SZ,X600315.SH,X600612.SH,X601158.SH,X000898.SZ,X000883.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0415801370440213,0,0,0.0514921909660474,0,0,0,0,0.0373195834615312,0,0.042237771806801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360602036152527,-0.0540936057712023,0,0.076791785480901,0.0159950327634455,0,0,0,0,0,0,0,0,0.022739089847175,0,-0.00713342222919215,0.00866878703137647,0,0,0,0,0,0
X600028.SH,0.0776377158650942,0,0,0,0,0,0,0,0.0470942676204872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178207747355109,0,0,-0.0278526509253771,0,0,0,0,0.0357542426803378,0,0.0916215053685153,-0.00131233700277658,0,0.0839149504484004,0,0,0,0.0128427374576845,0,0,0,0.0160356530642536,0,0.0726226163115948,0,-0.00812660873318111,0.0101090489191687,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.058872809493774,0,0,0,0,0,0,0,0,0,0,0.332707591104772,0.0984826228692979,0,0,0,0,0,0,0,0,0,-0.0193744413806186,0,0,0,0,-0.00830158281409928,0,0.015707578082356,0,0,0,0,0,0,0,0,0,0,0,-0.00482083969466129,0.00408051990386935,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.02411647901479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796486953852265,0,0.110979115319637,0,0,0,0,0.027039236296372,0,0,0,0,0.069519858266367,0,0,0.0174695472047394,0,0,-0.0289181346926636,0,0.0149071441476665,0,0,0,0,0,0,0,0,0,0.0617230062997922,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.134340812955994,0.147231941378834,0,0.18948751109067,0.146385450975481,0,0,0,-0.0603796419529951,0,0,0,0,0,0,0,0,0,0.307068027716594,0,0,0,0,0,0,0,0,0,0.176237638841533,0,0,-0.0147052109655097,0,0.0861026931602059,0,0,0,0,0.00324597809757918,0,0,0,0,0,0,0.00241901892650812,-0.0199017783388952,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0645737236854068,0,0,0,0,0,0,0,0,0,0,0.088701773792468,0,0.0995085272646621,0,0,0,0,-0.00127971567684211,0,0,0,0,0,0.00264879332305809,0.152252477007642,0,0,0,0,0,0,0.0866108024755799,0.0596021640817086,0,0,0,0,0,0,0,1.73472347597681e-18,-0.00785028194717134,-0.00863177879824907,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.00729072324234465,0,0,0.0847651705591997,0,0,0,0.00852658343603976,0,0,0,0,0,0,0,0,0.484130802830638,0,0,0,0.00283173100357089,0,0.00582309602930579,0,0,6.93889390390723e-18,0,0.0372290136166737,0.0216942131915095,0,0,0,0,0,0,0.0885669815139646,0,0,0,0,0.0183225433625942,0.21986855834391,0,0,0,0,0,0,-0.0249432703744769,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0.0653124188059463,0,0,0,0,0.29949878169887,-6.93889390390723e-18,0,0,0,0,0,0,0.0889949547355906,0,0.184504544289564,0,0.0538344836233761,0,0,0,0,0,0.00906597742865866,0,-3.46944695195361e-18,0,0.0649476507742469,0,0,0,-0.0581446573408953,0.0552310711268663,0,0,0.335366733549078,-0.182885624333402,0,0,0,0.0783385167515448,0,0.0530535200933707,-0.0014761604294875,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0966915909961129,0,0.191258167727931,0,0,0,0,0,0,0,0,0,0,-0.174686892822471,0,0.107647643164613,0.976800879632724,0,0,0,0,0,0,0,-0.213280862734005,0,0,0,0,0.0919728178976931,0,0.0205907112078217,0,0,0,0,0,0,1.73472347597681e-18,0,0.0195770512033763,0.0239273545575689,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.268588432543565,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.0593530390096711,0,0,0,-6.93889390390723e-18,0,0,-0.0783108363618532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05232784479352,0.0369263825332943,0,0,0,0,0,0,0.0818655338005032,0,0,0.00915656141481614,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636836213729501,0,0,0,-0.0838991894324603,0,0.147237266632546,0,0,0.122854525785709,0,0,0,0.0636913876442977,0,0,0.0233154035003833,0,0,0,0.267030262888774,0,0,0,0,0,0,0,0,-0.0176041626981801,0,4.33680868994202e-19,0.0367417284196597,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.179257428188073,0,0,0,0,0,0,0,0,0,0,0,0.0144739744390692,0,0,0.108299451999477,0,0.0153215590913135,0,0,0,0,0,0,0,0,0,0.487169719688233,0,0,0,0,0,0,0.247920613958834,0,0.124546888110999,0.0328991963149276,0,0,0,0,0,0,-0.06991467880488,0.0118979898403476,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,-0.0235570378803678,0.000697975205323474,0,0,0,0,0.116196321326362,0,0,0,0,0,0,0.101093814011626,0,0.224310939325374,0,0.126605234631911,0.0113418249706991,0,0,0,0,-0.0184516187096156,0,0,0,0,0,0,0,0,0,0,0,0.055206501785825,0,0.0410981923565969,0,0,0,0,0,0.0167339660937688,0,0,0,0,0,0,0
