,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X002460.SZ,X600362.SH,X600188.SH,X002466.SZ,X600801.SH,X600795.SH,X000786.SZ,X600352.SH,X601991.SH,X600688.SH,X002271.SZ,X002353.SZ,X600111.SH,X601992.SH,X600176.SH,X600027.SH,X000723.SZ,X600583.SH,X600426.SH,X600516.SH,X600299.SH,X600489.SH,X000898.SZ,X601158.SH,X600219.SH,X600612.SH,X000709.SZ,X000792.SZ,X000883.SZ,X000027.SZ,X000553.SZ,X000630.SZ,X600808.SH,X000629.SZ,X000825.SZ,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0109907715223217,0,0.0554158143899946,0,0,0,0.133513745257705,0,0,0,0,0,0,0,0,0.3702813711123,0,0,0,0,0,0,0,0.0111733091484143,0,0,0.00570934969291217,0,0,0,0,0.0970618329990609,0,0,0,0,0.00504929703318008,0,0,0,0,0.0728979480973923,0,0,-0.00922206746447382,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0167557522806191,0,0.00352494281717564,0,0,0,0.0311022323865886,0,0,0.0319553430109922,0,0,0.0477040772910182,0,0,0.393183486247415,0,0,0,0,0,0,0,0,0,0,0.0189984701713844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010396319789888,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506530497452488,0,0.294494315824965,0,0.031237442639212,0,0,0.0269410605508,0,0,0,0,0,0,0,0,0.0866323671281354,0.0455092723579387,0,0,0,0,0,0,0,0,0,0,0,0,0.0658269906482714,0,0,0.0383800977851494,0,0.00257041431816114,0,0,0,0,0,0,0.000811040132910987,0,0
X600585.SH,0,0,0,0,0.0879212661941991,0,0,0,0,0,0,0.0264295995262309,0,0,0,0,0,-0.0404690579001747,0.369915764534043,0,0.08231225704257,0,0,-0.00225702551117016,0.04869470102251,0,0,0,0,0,0,0,0.0850187693941847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969551740710362,0,0.0182052336814736,0,0,0,0,0.0606470834506076,0,0
X600309.SH,0,0,0.149026375994193,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.010811926444797,-0.0273489938380265,0.235428908524326,0,0.0952128017987928,0,0,0,0,0,0,0,0,0,-0.235261202436329,8.67361737988404e-19,0,0.173495070987023,0,0.00736612758523036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937272655831448,0.0340548893441167,0,-0.0319920763719275,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0908827594508647,0,0,0.0895885065373277,0.0454013226022608,0,0,0,0,0.225207505173306,0,0,0,0,0.0806666734284004,0.00825153939104589,0,0,0,0,0,0,0,0,0.194897712987277,0,0,0,0.194582912733748,0,0,0,0,0,0,0,0,0,0,0.00423489919930865,0.00429619198432383,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000803223217459562,0,-0.119181663860815,0,0,0,0,0,0,0,0,0.0103809397483095,0,0,0,-0.116715297118266,0,0,0.033928512920047,0,0.00762676937212294,1.0774757782471,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484823521634772,0,-0.0199924897104657,0.040282837432744,0,0,0,0.0466135816906554,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.150424355320376,0,0,0,0.0817854542988507,0,0.0205893944585521,0,0,0,0,0,0,0.307797043522046,0,0,0,0,0,0,0,0.0140469329064366,0,0,0,0,0,0,0,0,0,0,0,0,0.106452427008781,0,0,0,0,0.092267737056646,0,0,-0.00623778956391335,0,0,0,0.0353820662948336,0,0
X000708.SZ,0,0,0,0.189250828942205,0,0,0,0,0,0,0,0,0.505112267431275,0,-0.168618056359798,0,0,0,0.0547441086332692,0,0.349964523906619,0,0,0,0,0.021402067154218,0,0,0,0,0.315810540106607,0,0,0,0.156548855099296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174673528567853,0,0,0,-0.0322085485453482,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222887672517383,0,0.0022513400844901,0,0,0,0,0,0,0,0,0,-0.0696949155167945,0,0.00659596163925109,0,0,0.109715232096162,0,0,0,0,0,0.189187690201093,0,0,0,0,0,0,0,0,0,0,0.163633199567507,0,0,0,0,0,0,0,0,0,0,0
