,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X002271.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X601991.SH,X600803.SH,X600027.SH,X000983.SZ,X000408.SZ,X600348.SH,X600096.SH,X000723.SZ,X600160.SH,X000786.SZ,X601699.SH,X300073.SZ,X600141.SH,X600219.SH,X002080.SZ,X002353.SZ,X600157.SH,X000933.SZ,X600549.SH,X600378.SH,X600295.SH,X000807.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0398858551569042,0.0106329494208048,0,0,0,0,0,0,-0.0248215272531118,0,0,-0.0389944643105628,-0.0319400481062354,0,0,0,0,0,0.135373782183053,0,0,0,0,0,4.33680868994202e-19,0.0108005780885964,0,0.20535019775729,0,0,0,0,0,-0.139647194663259,0.133256577156477,0,0,0,-0.0273417527911964,0,0,0,-0.0949260635098436,0,0,0.0807983743098641,0,-0.0549403117752934,0,0,0,0,0,-0.00836554966337563,0,0
X601088.SH,0,0,0,0.0419912656643497,0.236446528036497,0.124605990533866,0,0,0.145469328831617,0,0,0.0759624639426707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0789621477168096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323525009604164,0,0,0,0,0,0,0,-0.00798327987240712,0,0,0,0,0,0
X600028.SH,0,0,0,0.0580233584347853,0,0,0,0,0,0,0,0.0257820572632819,0,0,0,0,0,0,0,0,0,0.01431788488096,0,0,0,0,0.00215050577469983,0,0,0,0.0623327725304807,0,-0.0159151361869374,0,0,0,0.00228115040570138,0,0,0,0.0147960481136411,0,0,0,0,0,0,0,0,0,0,0.00106002184914217,-0.00016495334917958,0,0,0,-0.0368779184853319,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0266797200626317,0,0.0426530844406021,0,0,0,0,0.0361915588068454,0,0.00292583611887896,0,0,0,0,0.0761592093113676,0,0,0,0,0,0,0,0,0,0,0,0,0.0233375820887668,0.0754065412085753,0,0,0,0,0.104491840409158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.000298023998409729,0,0,0,0,0,0,0,0,0.39626509084558,0,0,-0.0467965066649811,0,0,0,0,-0.0217701918090446,0,0,0,0,0,0,0,0.0366519871149689,0,0,0,0.0799219534621206,0,0,0,0,0,0,0.373994869951676,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986479521128676,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.52938849873917,0,0.123467827168523,0.0334949002680462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331656991098394,0,0,-0.142766504796965,-0.0535351105211836,0,-0.036962655677554,0,0.146296704784587,-0.0338121226777535,0,0,0,-0.00349069904102224,0,0,0.317556385090878,0,0.0769692602500857,0,0,0,0,0,0,0,0,0,0.0544004217888043,0.00769562837896588,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.15135378541036,0,0,0.125451138518512,0,0,0,0,0,0,0,0,0,0.0961548380227363,0,0,0,0,0.058926570900499,0,0,0,0,0,-0.00908385437580291,0,0,0.00186936868862526,0,0,0,0,0,0,0.123313777199528,0,0,0,0,0.257337008375756,0,0,0,0,0.214652684832481,0,-0.0464407400157725,-0.0476605670910556,0,0,0,0.0428164333336624,0,0
X600585.SH,0,0,0,0,0.0672394897448516,0,-0.130713368501084,0,0,0,0.0579850079099006,0,0,0,0,0,0.0102324005937276,0,0,0,0,0,0.0276121319207906,0,0,0,0.0280598620035564,0.25518541933049,0,0,0,0,0.0446158167308906,0,0,0,0.171976913366652,0,0,0,-0.0603963807180368,0,0,0,0,0,0,0,0,0,0,0.0175383277406027,0.00275316036122509,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.254048703264469,0,0,0,0,0,0.0935017552381641,0,0,0.0209394739590791,0.0996618565239423,0,0,0,0,0,0.0940301353173675,0,0,0,0,0,0,0.0773225442622682,0,0,0,0.0801451944648197,0,0,0,0,0,-0.018477382483395,0,0.234361747034747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369633677763132,0,0
X000301.SZ,0,0,0,-0.150300083732625,0,0,0,0,0,0,0,0,0,-0.122349158937626,0,0.210654930452977,0.0502712645297411,0,0,0,0,0,0,0,0,0,0,-0.0421513773524692,0,0,-0.0897898841356612,0.316663855589543,0.0803278601720387,0,0,0,-0.059301116145277,0,0,0,0.119756436781062,0.276994530514394,0,0,0,0,0,0,0,0,0,0,-0.0431062761291991,0,0,0,0.128242166150956,0,0
