,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X600660.SH,X600362.SH,X601992.SH,X300072.SZ,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X000786.SZ,X000553.SZ,X600176.SH,X600027.SH,X000792.SZ,X000408.SZ,X600808.SH,X600352.SH,X600219.SH,X000959.SZ,X600489.SH,X002271.SZ,X600339.SH,X601699.SH,X601158.SH,X002092.SZ,X000883.SZ,X000983.SZ,X000723.SZ,X600299.SH,X000825.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.607605880219066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850960552737498,0.0179906467503822,0,0,0,-0.00150616877540472,0,0,0,0,0,0,0.0259983982506389,3.46944695195361e-18,0,0.0651533324289972,0,0,0,0.0750138334575951,0,0,0,0,0,0,0.0287262056882747,0,0,0,0,-0.00319675192795005,0,0,0,0,0,0,0
X600028.SH,0.533371183472314,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0266500644511969,0,0.0281982169584495,0,0,0.0131385226051133,0,0,0,0,0,0,0,0,0.00628117916501742,0,0,-0.00254162615603556,0,-0.0830057711939623,0,0,-0.0296482002495386,0,0,0,0,-0.153284159719494,0,0,0,0,0,0,0.0335223775634971,0,0,-0.0247151274255762,0,-0.0786483152045032,0.0254598403020972,-0.00936249979854124,0,0,0,0,0,0
X601088.SH,0,0,0,0.0177744858769707,0.115612196323848,0,0,0,0,0,0,0.202547443172763,0.638429913051634,0,-0.0536128900264816,0,0,0,0,0,-0.0288207966340647,0,0,0,0,0,0,0.0640461522464644,0,0,0,-0.0661139070082388,0,0,0.122481692023986,0,0,0,0.0470749524140253,0,0.0776413971902172,0,0,0,0,0,0,0.117789279629377,0,0,0.0396786665754793,-0.0274705135456907,0,0,0,0,0,0
X600019.SH,0,0,0.198808394306353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14262072254767,0.0292272699045599,0,0,0,0,0,0,-0.0402443400183329,0,0.273705720605774,0,0,0.102518572080986,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887575505394739,0.0163472617128298,-0.00953903765123065,0,0,0,0,0,0
X600585.SH,0,0,0.0591839349722295,0,0,0,0,0,0,0,0,0,0.0139187617150808,0,0,0,0,0,0,0,0.11358855274838,0,0,0,0.0575609012225464,0,0,0,0,0,0,-0.136266222653838,0,0.285577380829183,0,0,0,0,0,0,0,0,0,0,0,-0.169379224273179,0,-0.2529204479288,-0.0248635250104669,-0.133097138539386,0,0.0308519071549825,-0.0965839007505268,0,0,0,0,0
X601600.SH,0,0,0.047858513142783,0.0330670961394884,-0.0119372595145945,0,0,-0.0685894133376241,0,0,0,0,0,-0.0659159487517451,0,0,-0.0607214544633408,0,0,0,-0.069284544409999,0,0,0,-0.0205251208509327,0,0,0,0,0,0,0,0,0,0.0821629188484451,0,0,0,0,0,0,0,0.0481591368457524,0,0,0,0,0.153924297242601,-0.0255248971131989,0,0,-0.0110914763454478,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0844247635285701,0,0,0,0.0052081571663976,0,0,0,0.00614482079110735,0.0118216914329075,0,0,0,0.012765055267847,0,0,0,0,0,0,0,0.0361185672276823,0.0263672615467015,0,0,0.0155526926351936,0.268578722909075,0,0,0,0,0,0,0,0,0,0,0.0754760120791927,0.0369309826491775,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376733511986469,0,-0.24077546558949,0,0.162447051358788,0.0137899201964283,-0.0328235983254893,0,0,0,0,0,0,-0.0336972986365644,-0.0777848580071966,0.0647808536759275,0,-0.0440371686876741,0,0,0,0,0,0,0,0,-0.0444918646418358,0,0.802111124400541,0,0,0,0,0,0,0,0,0.0145854724467528,0,0,0,0,0,0
X600011.SH,0,0.0659685353146589,0.0357855370004842,-0.00192215225210754,-0.0317404587069535,0,0,-0.0106520525421049,0,0.115761308427577,0,0.0276924021190747,0,0,0,0.0840352244087309,0,0,0,0,0,-0.0664014799034965,0,0,0,0,0,0.0112716232698869,0,-0.00494070304599726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0959059678341987,0.0326178993299893,0.0289730272647173,0,0,0,0.00815111726218535,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0524520554951911,0,0,0,0,0.244735766905899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400239359387575,0,0,0.0204421265385901,0,0.0562013146916157,0,0,0,0,0,0,0.0673626299529246,0,0,0,0.141773693686281,0,0,0,0,0,-0.000979664810749069,-0.00280809598121299,0,0,0,0,0,0
