,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X000723.SZ,X600352.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600801.SH,X600111.SH,X601992.SH,X600027.SH,X000898.SZ,X600176.SH,X600516.SH,X000786.SZ,X002466.SZ,X002460.SZ,X000709.SZ,X002271.SZ,X600299.SH,X002110.SZ,X000629.SZ,X600489.SH,X600219.SH,X000553.SZ,X601158.SH,X000990.SZ,X600808.SH,X000883.SZ,X000630.SZ,X600985.SH,X600157.SH,X000027.SZ,X600583.SH,X000825.SZ,X600426.SH,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0448176540617741,0,0,0.0564589848825056,0,0,0,0,0,0,-0.00737083863190685,0,0,0,0,0,0.0746023507129283,0,0.0153229014007287,0.0178422125211989,0,0,0,0,0,0,0,0.0478633143204822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922816297925559,0,0,0,0,0,0.0373631046148326,0,-0.000542946924335203,-0.00535005258478458,0,0,0,0,0,0
X600028.SH,0,0,0.122679511787555,0,0,0,0,0,0,0.105371926089791,0,0,0,0,0,0.0490049032781347,0,0,0,0,0.00146479087620792,0,0,0,0,0,0,0,0,0,0,0.00478944661625546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123896161708224,0.0643749785901314,0,-4.33680868994202e-19,-0.00507853009949066,0,0,0,0,0,0
X601088.SH,0,0,0,0.135165655303527,0,0.0482808977892722,0,0,0,0,0,0,-0.184563007087528,0,0,0,0.1618441376026,0,0,0,0.188523496642473,0.00968115358045299,0,0,0,0,0,0.0150462164892335,0,0.000991443743929196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624819126991367,0.0101995579194156,0,0,0,0,0,0.0202254917533266,-0.0307849995366659,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.107068888454467,0,0,0,0,0,1.0842021724855e-19,-0.0118141303070607,0,0,0,0,0,0,0,0.481971295238506,0,0,0,0,0,0,0,0,0,0,0,-0.0274215903080733,0.0685753511733082,0,0,0,0,0,-0.00174537495168223,0,0,0,0,0,0,0,0,0,0,0,-0.0135445199030677,0.00564690694519875,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0415534152849918,0,0,0,0,0.0961978810794115,0,0,0,0.14948074115975,-1.0842021724855e-19,0,0,0,0,0,0.0672059134575286,0,0,0,0,0.00183650754181362,0,0,0,0,0,0,0,0,0,0,0.0970534598405463,0.120066434252558,0,0,0,0,0,0,0.00479189548350896,0,0,0,0,0.00520080244349508,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.122607467449405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332039796473223,0.0257791011356126,0,0,0,0,0,0.401607185847459,0,0,-0.0927903823771607,0,0,0.0612888245704825,0,0,-0.0610982638259328,0,0,0,0,0,0.177359277739753,0,0,0.0365618175385815,0,0,0,0,-0.0504442327016196,0,0
X600011.SH,0,0,0,0,0,0.0457201130509593,0,0,0,0,0,0,0.170820386164887,0,0,0,0,0,0,0,0,0,0,0.0932221537943478,0,0,0,0,0,-0.0318161070030895,0,0,0,0,0,0,0,0,0,-0.0578318869519975,-3.46944695195361e-18,0,0.14200546763219,0.0247910551182558,0,0,0,0,0,0,0,0.00246379458343375,0,0,0,0,0.00597201255236137,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.030323488360682,0,0,0,0,0,0,0,0,0,0,0,0.36898670524364,0,0,0,0,0,0,0,0,0,0,0,0,0.186390302976275,0,0.201681978508012,0,0,-0.0252118957066879,0,0,0,0,0.0871462984787137,0,0,0,0,0,0,0,-0.006384057316619,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0380835623850848,0.0143114733219612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337913500557304,0,0,0,0,0,0.120851777898656,0,0,0.6877766321919,0,0,0,0.011780165236619,0,0,0,-0.0169553886892685,0.0294969765421276,-0.0716893569464537,0,0,0,0,0,-0.00689738411813476,0,0.0332635078482037,0,0,0.0380616383127351,0,0
X601600.SH,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0222317180567978,0,0,0,0,0,0,0.0287546965425918,0,0,0.265432809002221,0,0,0,0,0,0,0,0.0279135745855563,0,0,0,0,0,0,0.290984547021503,0.0847415831467536,0,0,0,0,0,0,0.0404201211753456,0,0,0,0.0924019938309071,0,0,-0.019653448445384,-0.0119254222449476,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0849161554951562,0,0.0116730554801156,0,0,0,0,0,0,0.156521997438939,0,0.0740837362725404,0,0,0,0,0,0,0,0,0.0529352625455515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240105356199038,0.0856218471064995,0,0,0,0,0,0,-0.0142048653661739,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0.360419578165149,0,0,0,0,0,0,0,0.446184549079988,0,0,0,0,0,0,0,0,-0.0151532494031074,0,0,0,-0.223435074766568,0.206808626656557,0,0,0,0,0.553024934888884,0,0.162150151320219,0,0,0,0,0,0.0504490249971618,0,0,0,0,0.103698192107993,0,0,0,0,0,0,0,0,0,0,0,-0.125367686665459,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.159627230204543,0,-0.200549472162742,0.146997267714881,0,0,0,0,0,0,0,0,0.185526762487869,0,0.083232286141156,0,0,0,-0.20516856597041,0.398116221344968,0,0,0,0,-0.0582490047400184,0,0,0,0,0.0991628127292466,0,0.0486413871859439,0,0,0.384653437296437,0,-0.153647586500636,0,0,0,0,0,0,-0.0951297570814326,0.211279450765193,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0443801933056596,0,0,0,0,0,0,0,0,0,0,0,0,0.0973290456055354,0,0,0.0544884254776449,0,0.0643624365694209,0,0.0138649485543008,0,0.178486729279118,0.0655888747274742,0,0,0,0.031574223050596,0,0,0,0,0,0,0.000192547089243337,0,0,0,0,0.00234860107450816,0,0.0147360683882517,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.00618750760774082,0,0,0,0,0,0,0.0868702865756935,0.0403922957439069,0,0.0173763359206745,0.0456084251766421,0,0,0,0,0,0,0,0,0,0,0,0.174411312322228,0,0.0919675258733349,-8.67361737988404e-19,0,0.0267296013195456,0,0,0,0,0.0672737020262581,0,0,0.0199583183316815,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0.084640429845081,0,0,0.0713436803092977,0,0,0,0.106526050015765,0,-0.0160675348602855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108134195717822,0,0.0199849313362704,0,0.0475078661170122,0,0,0,0,0,0,-0.0140184287738592,-0.0465280414265247,0,0,0,-0.0339514502073084,0,0
