,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600688.SH,X600886.SH,X600157.SH,X600362.SH,X600111.SH,X601992.SH,X600188.SH,X600299.SH,X601158.SH,X600160.SH,X000792.SZ,X600623.SH,X000883.SZ,X000539.SZ,X600309.SH,X000709.SZ,X600583.SH,X600660.SH,X000898.SZ,X000027.SZ,X600352.SH,X600547.SH,X000629.SZ,X000630.SZ,X600489.SH,X600098.SH,X600578.SH,X002470.SZ,X002466.SZ,X600021.SH,X000060.SZ,X600022.SH,X000723.SZ,X300072.SZ,X600176.SH,X600808.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.606720394202327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410700980987369,0.011916113528186,0,0,0,0.00984833647010823,0,0.00609927776291804,0,0,0,0,0,0,0.0267530825615655,0,0,0,0,0,0,0.0149359490855506,0,4.33680868994202e-19,0,0,0.104179877856602,0,0,0,0.00216481859210041,0.0104288430274627,0,0,0,0,0
X600028.SH,0.325697734736937,0,0,0,0,0,0.0671833118220303,0,0,0,0,0,0,0,0,0,0,0,0.0657013416393782,0,0,0,0,0,0,0,0,0,0.17498502101343,0,0,0,0,0,0.0168604667563315,0,0,0,0,0,0,0,0.00124418412755724,0,0,0,0,0,0,0,0,0.00711754700368425,0.0401691568033655,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.531750081263785,0,0,0,0,0,0,0,0,0.0773806383152199,0,0,0.0375541648873435,0,0,0,0,0.0113260318771277,0,0,0,0,0,0,0,0,0,0,0,0,0.0441252447958976,0,0,0,0,0.0517615400336167,0,0.0731840157655514,0,0,0,0,0,0,0,0,-0.022543760545572,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.122290156806135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315424798523942,0.0186267296159104,0,0,0.138190089726247,0,0,0,0,0,0,0,0,0,0,0,0.0444651478946255,0,0,0,0.23945953882371,0,0,0.0410560636454008,0,0,0,0,0,0.00533397621332995,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423626941272546,0,0.160710066590768,0.011828748310828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122385035677247,0.0481366389760442,0,0.00749697914749317,0,0,0.0258635017471084,0,0.0660141839736199,0,0,0,0,0,0,0,0,-0.00226037754615118,0,0,0,0,0,0
X600019.SH,0,0,0.00628103354273542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103379754966969,0,0,0,0,0,0,0,0,0,0.021917672692262,0,0,0.175922380388022,0,0.0458148408995275,0,0,0,0,0,0,0,0,0,0.00963141266692225,0.468778789004056,0,0,0,0.0339193824326094,0.0357172726330443,0,0,-0.00821226311190413,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0161299128347762,0,0,0,0,0,0,0,0,0,0.0101311604460616,0,0,0,0.0159342369535245,0,0,0,0,0.091423539428639,0.217521652817243,0.067616414041632,0,0,0,0.016771738273344,0,0,0,0,0,0,0,0.0376334934707459,0,0.0564919690763463,0,0,0,0.0481522196516458,0,0,0,0,-0.0102671895285363,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656128576989791,0.0573977278000227,0,0.0715054082812799,0.172653913539667,0,0,0,0.0462911238610848,0,0,0,0,0.169576299734059,0,0,0,0,0,0,0,0.0200741100601282,0,0.0512766590905961,0,0,0.0420633417480342,0,0,0,0.148489200208819,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104420284003909,0,0,0,0.043234910178983,0,0.0366590556306746,0,0,0,0,0,0,0.0283017649038321,0.0683555474229311,0,0.0556850435562849,0.0292980670696927,0,0.117957136604422,0,0.0734104049809701,0,0.2555637190913,0,0,0,0.00304430235226123,0,0,0,0,0,-0.0085688526983184,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.186872212131659,0,0,0,0,0,0,0,0,0.218196438617996,0.242331758653986,0,0,0,0,0,0,0,0,0,0,0,0.0512384353839423,0,0,0,0,0,0,0,0.0352696728565143,0,0,0,0,-8.67361737988404e-19,0,0.0408227812524411,0,0.0840306552570066,0,0,0,0,0,0,0,0,0,0,0,0,0
