,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X600886.SH,X601991.SH,X600688.SH,X600362.SH,X600188.SH,X600352.SH,X600795.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X000786.SZ,X002460.SZ,X000709.SZ,X002466.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X600808.SH,X000553.SZ,X600985.SH,X002353.SZ,X000630.SZ,X000401.SZ,X601699.SH,X600583.SH,X000027.SZ,X600426.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.00269562028611459,0,0.00879664105813226,0,0,0,0.0393665445998188,0.0306071560021003,0.0407772181026665,0,0,0,0,0,0.0446922535825859,0,0,0,0,0.0242745420334833,0,0.0363534286840938,0,0.0139312515402343,0,0,0,0,0,0,0.000596625272041951,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113274963048511,0,0,0,0,0,0,0,0.0397509251516997,0.0479442449836411,0,0,0,0,0,0,0,0,0,0,0.0780498734598627,0,0.0840586328550512,0,0,0.0465181871077597,0,0,0.0276085746994706,0,0,0,-0.0238243463376029,0,0,0,0,-0.0178432101840234,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646135743237647,0.199999888057612,0.00499292804662189,0,0.0755042006939396,0.00796970479891951,0.0316320095753958,0,0,0,0,0,0,0.019116195316494,0,0,0,0,0.121729610053841,0,0,0,0,0,0,0,-0.0570713681147111,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,-0.0148800918551908,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.113807779300072,0.00137953460735538,0,0,0,0,0,0.153592025187066,0,0,0,0.0383561685125472,0,0,0.373145662106924,0,0.0159805542560627,0,0,0,0.0497512350715464,0,0,0,0,0,0,0,0.00920683837066396,0,0,0,0,0,0,0.00117452954220858,0,0,0.00276634390734144,0,0,0,0,0,0,0,-0.00101381763072475,0,0,0,0,0.0302560124780015,0,0
X600019.SH,0,0,0,0,0,0.0239157601528948,0,0,0,0,0,0,0,0,0,0,0,0.015465504264086,0,0.182997989881344,-0.0364594031596285,0.0576266381943292,0,0,0,0,-0.0242106382409161,0,0.0638072008582526,0,0,0,0,0,0.0874863511428817,0,0,0,0,0,0.0794153249232626,0,0,0,0,0,0,0.0247164015854472,0,0,0,-0.0124677322470514,0,0,0,0,0.0116874182790594,0,0
X600309.SH,0,0,0,0.293697166547238,0,0,0,0.0755137142893918,0,0,0,0,0,0,0,0,0,0.244272091319822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264599050113184,0.19565538864247,0,0.365966064517276,0,-0.0408836167588509,0,0.0707996036393949,0,0,0,0.110328378596781,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837172131705888,0,0.00767095957043211,0,0,0,0,0.783858285704513,0,-0.00573053716642198,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0473879240774284,0,0,0,0,0,0,0,0,0,0,0,-0.0983295278088418,0.0434089308143929,0,0,0,-0.0952287415266387,0,0
X600011.SH,0,0,0,0,0,0,0.0211071374102553,0,0.115970474695214,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.075195180740107,0,0.287433461704407,0,-0.169406134907909,0,0,0,0,0,0,0,0.165895299020789,0,0,0,0,0,-0.0346902536854018,0.108365151360279,0,0,0,0,0,0,0,0,0,0.0122035012682832,0.00378235889579147,-0.00920533672581836,0,-0.42869360342318,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.375341752437168,0,0,0,0,0,0,0,0.352917874001932,0,0,0,0.073117335479985,0.0922633716915507,0.00166868636876537,0,0,0,0,0,0,0,0,0,0,0,0,0.139467696971792,0,0,0,0,-0.0820411811782665,0.13537000441399,0,0,0,0,0,0,0.0160754808298421,0,0,0,0,-0.0714528737514103,0,0,0,-0.00617811631234463,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0815317748481582,0,0,0,0,0,0,0.473009534653178,0,0,0,0.0140632661309488,0,0,0,0,0,0,0,0,0.00758593755088391,0,0,0,0,0,0,0,0,0,0,0,0,0.0933401678831558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
