,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X000708.SZ,X600362.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X601992.SH,X600111.SH,X600027.SH,X000723.SZ,X002271.SZ,X000786.SZ,X600516.SH,X600489.SH,X002353.SZ,X600176.SH,X600299.SH,X000898.SZ,X002466.SZ,X002460.SZ,X601158.SH,X600612.SH,X000709.SZ,X600426.SH,X000883.SZ,X600219.SH,X600583.SH,X000629.SZ,X000027.SZ,X600315.SH,X000792.SZ,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.021005842564951,0,-0.0206534437965224,0,0,0,0,0,0,0.0219749170163048,0,-0.0238452333824783,0,-0.0185788026242364,0,0.0500167077143972,0,0,0.0968968599569632,0,0.0851411909064913,0,0.0215330869344607,0,-0.0135189634628585,0,0,0,0,0.0599723821493291,0,0,0,0,0,-0.00772819304874683,-0.0259498553254756,0,0,0,0,0,-0.0203746653542915,0,0,0,0,0.0099320326419644,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203047089393928,0,0,0,0.128321600493754,0,0,0,-1.73472347597681e-18,0,0.116558473233454,0,0,0,-0.00372625328365887,0,0,0,0,0,0,0,-0.00755548650321042,0,0.0855994371992218,0,0,0.0175840612693098,0,0,-0.0152105205591372,-0.0148640101072735,0,0,0,0,0,-0.012911119135225,0.0318375077161488,0,0,0,0,0,0
X601088.SH,0,0,0,0.266186982223988,0,0.293982460700292,0,0,0,0,0,0,0,0,0.0885239995889007,0,0,0,0,0,0,0,-0.0677657366227885,0,0.0107064543423188,0.00829299740337084,0.164492759218596,0,0,-0.0597739637674937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370429613562613,0,-0.0941676515130075,0,0,0,0,0,-0.00643117566919692,0,0,0,0,0.0151411007605453,0,0
X600585.SH,0,0,0,0,0,0,-0.0646897898766503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636491257210345,0,-0.0198320582650325,0,-0.0217109880337031,0,-0.0569005995192998,0,0,0,0,0,0,0,-0.10427489618304,0,0,0,-0.0580347429266917,0,0,0,0,0,0,-0.0438669380064345,0,0,0,0,0,-0.0140557219423812,-0.00568539445871403,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0551197753541642,0,0.0605893856766117,0,0,0,0.110600697708435,0.0826096542641412,0,0,0,0,0,0,0.0540763298405593,0,0,0,0.00941631275085982,0,0,0.0265108265764495,-0.0180765169921986,0,0,0,0.156709870126989,0.115217154069738,0,0,-0.0236102525170992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872086976923824,0,0,0,0.016078345921455,0,0
X600019.SH,0,0,0.218559986463256,0,0,0,0,0,0,0,0,0,0,0.0123357015559945,0,0,0,0,0,0,0,0,0,0,0.0226403378682253,0,0.0852927290941404,0,0.0238548382670538,0,0,0.00934503212094815,0,0,0,0,0,0,0,0,0,0.0975306991966638,0.0669678896384724,0,0,0,0,0,0.0368509551428273,0,0,-0.00989286266915191,0,0,0,0,-0.020322749503029,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0598502989026891,-0.0374561074000339,0,0.0979050080200597,-0.286682629548693,0,0,0.109719721727649,0,0,0,0,0,0.00404266593926492,0,0,0.00562154714600936,1.0754494812317,0.024846236892363,0,0,0,-0.00370652401861158,0,0,0,0,0,0,0,0,0,0,0,0.126583806246707,0,0,0,0,0,0,0,0,0,0,0.0474281580713043,0,0
X600011.SH,0,0,0,0,0.0445718064128785,0,-0.0731578194604901,0,0,0,0,0,0,0,0.00922060399575406,0,0,0,0,0,0.208128511979584,0,0,0.2292632425998,0,0.000113963896422936,0,0.0237416997414368,0,0.0303256906732524,0,0,0,0.0317359950599703,0,0,-0.123325476313846,0,0,0,0,0.0737081125689582,0,0,0.0724239126345004,0,0,0,0,0,0,0.0170420793683273,0,0.0282360044945239,0,0,0.011063078205341,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911152379841958,0,0,0,0,0.100399487661724,0,0,0.000760729777842173,0,0,0,0.068849142371281,0,0.00917073173547931,0.0389361685571836,0,0,0,0,0,0,0,0,0.106926838399964,0,0.0102691105271,0,0,0.231513445911227,0,0,0.0103204430234322,0,0,0,0,-0.0174507951010215,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218584094412277,-0.0473252664967135,0,0,0,0,0,-0.16700329544528,0.154953703038068,-0.049873056158003,0,0,-0.0126316979405646,0,0,0,-0.0861021085500422,0,0.131938104200472,0,0,0,0,0.0108568236600207,0,0.0601454066958952,0,0,0,0,0,0.0379655403676277,0,0,0,0.137984901205143,0.132654291437787,0,-0.0215474209252136,0,0,0,0,0.0234516188414721,0,0
