,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X600362.SH,X600188.SH,X600795.SH,X600352.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600176.SH,X600489.SH,X000709.SZ,X600516.SH,X002271.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X000553.SZ,X601158.SH,X600808.SH,X000630.SZ,X600985.SH,X601699.SH,X600583.SH,X000027.SZ,X600339.SH,X600426.SH,X600612.SH,X000401.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.00883068229818266,0,0,0,0,0,0,0,0,0,0.115208880443521,0,0,0,0,0,-0.00559142383768446,0,-0.0164367315144093,0.062294910976058,0,0,0,0,0,0,0,0,0,0,0,0.0615356391109534,0,0.00746191640343077,0,0,0.0861608260487956,0,0,0.0907277736701884,0,0.0174071248156324,0,0,0,0,0,0.00410904824577384,0,-1.0842021724855e-19,-0.00133666079051488,0,0,0,0.00216657266586151,0,0
X600028.SH,0,0,0.113335989546025,0,0,0.00440719656859489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461470330497748,0,0,0,0,0,0,-0.030463380229476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959785656667511,0.179306605682704,0,0.0115879080427276,0,0,0,-0.0274997957031588,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.271967813093914,0.0384139251351838,0,0,0,0,0,0,0,0,0,0,0.211166117172179,0,-0.085585699249343,0,0,0.0108381788752436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.217805070795219,0,0,0,0.059814575729127,0,0,0,0,0,0.0970047836313436,0,0,0.0333498246057733,-0.0477556498348083,0,0,0,0.0171042750416374,0,0
X600585.SH,0,0,0,0,0,0.167283004400739,0,0,0,0,0,0,0,0,0.125337893512057,0,0.0690420150057201,0,-0.0250236581725665,0,0.0170022189611931,0.412935748201972,-0.0448215931631246,0,0,0,0,0,0.0131035954470677,0,0,0,0.0515954978675903,0,0,-0.0480791237488246,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0165815810976396,0,0,0,0,0.00919803101487799,0,0
X600019.SH,0,0,0.150284889221813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276331369261712,-0.029643406308384,0.0375143190357556,0.174531405641401,0,0,-0.0164086433368151,0,0,0,0,0,0,0,0,0,0.0805400179918312,0.066453021233935,0,0,0,0,0.111412933305124,0.0295515370228199,0,0,0,0,0,0,0,0,0,-0.00649993121883472,-0.024264659072883,0,0,0,0.00821453208923953,0,0
X600309.SH,0,0,0,0.307999139415741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311045542160145,0,0,0,0,0,0,0.00741266312896233,0,0,0.190612379773933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871038863626975,0.273086369450499,0,0,0,5.42101086242752e-20,0,0,0,0,0.0789695377952075,0,0
X600011.SH,0,0,0,0,0,0.170214397022664,0,0.143176752071692,0.141668542740105,0,0,0,0,0,0,0,0,0,0.107729286586282,0,0.0549280743804668,0,0.0128617505314745,0,0.153948905693673,0,0,0,0,-0.0669518718298482,0,0,0,0,0,0,0,-0.0899034649639116,0,0,0,0,0,0,0,0,-0.0364120200802608,0,0,0,0,0.0202644305306617,-0.050121477060762,0,-0.201924278071021,0,0.0157180098655897,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305588229525446,-0.05636622896206,0,0,0,0,0,0,0.915004595591361,0,0,0,0,0,0,0,0,0,0,0.0781855724225593,0,0,0,-0.0241553115216053,0,0,0,0,0,0,0,0,0,0,0,0.0664066407368552,0,0,0.0228413046640381,0,0
X600010.SH,0,0,0,0,0,0,0.137519007204952,0,0,0,0,0,0,0,0,0.204863618863318,0,0,0.0914419275110711,0.0496272833266151,0,0.0650559297330712,0,0,0,0,0,0,0,0,0,0,0.0571660684332891,0,0,0,0.226870763838037,0,0,0,0,0.0356172367457524,0,0,0,0,0,0.363531643945078,0.00018276493632953,0,0,0.00469650537907598,-0.0471193593503085,0,0,0,-0.0154167823038632,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.169455384787923,0,0,0,0,0,0,0.24052754091265,0,0,0,0,0.0292131514975092,0.0611896041914549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23261258671307,0,0,0,0,-0.0105263719072624,-0.0619575911742045,0,0,0,-0.0340739037900104,0,0
