,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600188.SH,X600019.SH,X600011.SH,X002460.SZ,X000792.SZ,X002466.SZ,X601898.SH,X600547.SH,X601600.SH,X600111.SH,X000708.SZ,X600660.SH,X000301.SZ,X600010.SH,X000877.SZ,X600886.SH,X002271.SZ,X600426.SH,X600795.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X600489.SH,X000786.SZ,X600160.SH,X600995.SH,X000807.SZ,X000629.SZ,X600378.SH,X000408.SZ,X600219.SH,X002080.SZ,X000933.SZ,X600096.SH,X000932.SZ,X000723.SZ,X600688.SH,X600157.SH,X600801.SH,X300037.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.105393285811757,0.106813994124157,0,0,0,0,0,0,0,0.128541679292279,0,0,0,0.0104003893171981,0,0.0784549179432123,0,0,0,0,0,0,0,0,0.0197863295801586,0,0,0,0.0091580871699731,0.0493742458238835,-0.0149598643820674,0,0,0.188877777230513,0,0,0,0,0,0.0104101584382201,-0.0211683763255788,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0330501357177555,0,0.118126359156837,0,0,0,0,0,0,0,0.0768449543410958,0,0,0,0,0,0.0349885382161236,0,0.112641715867505,0,0,0,0,0,0.0175974580468291,0,0,0,0,0,0,0,0.073149727621269,0,0,0,0,-0.00904528459341975,0,0,0.000895626894961789,-0.00290348959568385,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0503622920055205,0,0,0,0,-0.0351266219784841,0.164467115481636,0,0.084864173154595,0,0,0,0,0,0,0,0,-0.0179571592119865,0,0,0,0,0.124562364379282,0,0,0,0,0.0972625521585682,0,0,0,0,-0.000119746754723131,0,0,0,0,0,0.0914461353167956,0,0,0,0,0,0.00972054583009088,0,-0.019344102158484,0.00864726607239749,0,0,0,0,0,0
X600309.SH,0.0776179864439125,0.174483599419832,0,0,0,-0.0406321691487985,0,-0.0656032050549253,0,0,0,0,0,0,0,0,0,0.161971142085222,0,0,0,0,0.315425434743183,0,0,0,0,0,-0.0926972644118784,0,0,0,0,0,-0.0210868340957533,-0.0334188708693168,0,0,-0.0678227382295079,0,0.0252377547586686,0,0,0.493518362824821,0,0,0,0,0,0,0,0.0129750419109426,-1.73472347597681e-18,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011137752737362,0.0620844760299697,0,0,0,0.268267835931083,0,0.0518038504414162,0,0,0,0,0,0,0,0,0.00809413148921392,0,0.108505012000138,0,0,0,0,0.0692074943189802,0,0,0,0,0,0,0,0,0,0.271183972874113,0,0,0,4.33680868994202e-19,0.0103592613767134,0,0,0,0,0,0
X600188.SH,0,0,0,-0.264052174270344,0,0,0,0,0,0,0,0.600011286812874,0,0,0,0,-0.133940255474871,0,0,0,0.137070228528981,0,0,0,0,0,0,0.0693573022571385,0,0,0.248870256483397,0,0.0783977775240291,0,0,0.0970886483772818,0,0,0,0,0,0,0,0,-0.357513874611174,0,0,0,0,-3.46944695195361e-18,0,0,-0.00733432722737382,0,0,0,0,0,0
X600019.SH,0,0.0622798360705008,0,0,0.18794926200994,0,0,0,0,0,0,0.144330424937485,0,0.0262535937276491,0,0,0,0.0183918165341147,0,0.16059887608786,0,0.0893223573478264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0491843894791495,0,0,1.73472347597681e-18,0,0,0,0,0,0.126978301332504,0,0.0116602649126045,-0.0312911046639604,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.129314306567619,0,0,0.0295457000444504,0,0.0497438680242311,0,0,0,0,0,0.0390991973261499,0.0334931641164966,0,0,0,-0.0404512941141172,0,0,0,0,0.548374040160802,0,0.0896082220433179,0,0,0,0.14739840448574,0,0,0,-0.180349564660652,0.113827890398283,0,0,0,-0.162977157965338,0,0,0,0,0,0,0,0,0,0,0.00509822930109143,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.00769578272630027,0,0,0,0,0.622631407258992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325412491716929,0,-0.0298371569298653,-0.0729352997795642,0,0.0169027878803698,0,0,0.171334640653469,0,0.055645742743204,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.00349460361880333,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.0796287518271164,0,0,0.121339951022038,-0.0260893065311467,0,0,0,0,0.0534005964040407,0,0,0,0,0.0738638868962466,0.12916603206969,0,0,0,0,0,0,0,0.00161771339095879,-0.0980669225765092,0,0.0908053441014639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900937055222277,0,0,0,0.0153623440589221,0,0,0,0,0,0
