,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600188.SH,X600111.SH,X600362.SH,X600157.SH,X002466.SZ,X601992.SH,X600547.SH,X600886.SH,X600299.SH,X600660.SH,X000792.SZ,X601158.SH,X600489.SH,X600309.SH,X000709.SZ,X600583.SH,X300072.SZ,X000883.SZ,X000898.SZ,X600352.SH,X000539.SZ,X000027.SZ,X002407.SZ,X000723.SZ,X000630.SZ,X002470.SZ,X002460.SZ,X600549.SH,X000983.SZ,X600176.SH,X000060.SZ,X000629.SZ,X600021.SH,X000012.SZ,X600612.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0898592644210444,0,0,0,0,0,0,0.0571143192592543,0,0,0.0209235692494201,0,0,0,0,0,0,0,0,0.213216521422171,0,0.115571839326506,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.00965817318495476,0,0,0,0,0,0.0200949879488593,0.00538619236602664,0,0,0.00266014756674746,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0758058229461366,0,0,0,0,0,0,0.0190362348371039,0.0895928959135031,0,0,0,0,0,0,0,0,0,0,0,0.0394688378261397,0,0.184054735513658,0,0,0,0.015888992308969,0,0,-0.0178947086228675,-0.044508881198472,0,0,0,0,0,0.048216052947586,0,0.00515509968117293,0,0,0,0,0,0.0056467489006778,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.191648128498736,0,0,0,0,0,0.0165083821316228,0,0,0,0.0255234830176078,0,0,0.0127669092795159,0,0,0,0,0,0,0,0.0976529750882799,0,0,0,0,0,0,0,0,0,0.0776281297937898,0,0,0,0,0.0756288389547679,0,0,0.195393779368501,0,0,0,0,0,-0.0280380419608048,-0.0132239868950728,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.032455226424658,0,0,0,0,0,0.0128938301240067,0.386211848183194,0,0,0,0,0,0,-0.00807207256390801,0,0,0,0.0340470052972277,0,0,0,0,0.134637035718275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00941508646309684,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0209424453881176,0,0,0,0,0,0.00948772201340893,0,0,0.186440737398361,0,0,0,0,0,0,0,0,0.168561133212508,0,0.0560343579113122,0,0.17406114974654,0,0,0,0.170324300489136,0,0,0,0,0.0239348161968748,0,0,0,0,0,0,0,0.0381983284101942,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.022311557945268,0.152804699326788,0.0309966114241885,0,0,2.16840434497101e-19,0,0,0,0,0,-0.0197649977304236,0,0,0,0,0,0.0743267746414303,0.00524870101145336,0,0,0.0549314073006256,0,0,0,0.44415150865152,0,0,0,0,0,-0.114057281579034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.0882172614407714,0,0,0,0,0,0,0,0,0,0.0899276674795441,0,0,0,0,0,0,0.051141865707371,0,0,0,0.294167495823227,0,0,0,0,0.283901002013722,0,0,0,0,0,0,0,0,0,0,0,0,0.0470813970805512,0,0,0,0,0,0,0,0,0,-0.0409674276408958,0.0699294487245941,0.0849952317559917,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174422061039643,0,0,0.000925366423443661,0,0,0.0278148730360543,0,0.0398550596250296,0,0,0.15284833730613,0,0,0,0,0.259847847859373,0,0,0,0,0,0,0,0,0,0,0,0,0.0580333267595101,-4.33680868994202e-19,0.194418363350542,0,0,0,0,0,-0.065762852166836,0.00937579833310083,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0203465334567436,0,0,0,0,0.0794873156979908,0,0,0,0,0.105130663019089,0,0.174671718637004,0,0,0,0,0.103539596224651,0,0,0.198512046307509,0,0,0,0,0.0814114659066331,0,0,0,0.039044966351775,0,0,0,0,0,0,0.0693288416248587,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.131523785592905,0,0.035664260206666,0,0,0,0,0.0950870657297972,0,0.02582650519233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051416989505946,0,0,0,0.159601857690516,0,0,0.0332560188107666,0.234430707656375,0.0348753693467511,0,0.135543421533372,0,0,0,-0.315281255059344,0,0,-0.0327263293820667,0.0401137241495834,0,0,0,0,0,0
