,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X600886.SH,X600660.SH,X601898.SH,X600801.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X002466.SZ,X600688.SH,X600126.SH,X600795.SH,X000786.SZ,X600111.SH,X600027.SH,X601992.SH,X600315.SH,X600299.SH,X600176.SH,X600529.SH,X002353.SZ,X002075.SZ,X600426.SH,X000723.SZ,X002080.SZ,X600486.SH,X600612.SH,X600516.SH,X600219.SH,X000959.SZ,X000898.SZ,X601158.SH,X000932.SZ,X000027.SZ,X000883.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124964060678951,0,0,0,0,0,0.0676061171079587,0,0.00827631154090228,0.236226423058197,0,0,0,0,0,0,0,0,0,0,0.0865770790669097,0,0,-3.46944695195361e-18,0,0.0205288270294949,0,0.00529303131429588,0,0,0,0,0,0,0,0,0.014894107468491,0.00255773858278087,-0.0105008148474789,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0555969557442785,0.0443728770512896,0,0,0,0,0.0199522174709968,0,0,0,0,0,0,0,0,0,0.0317783263139505,0,0,0,0.0717494579518825,0,0,0,0,0,0.0938481505819456,0,0,0.0685557821370521,0,0,0,0.0489371856750264,0,0,0,0,0,0,0,0,0,0.00370647148226491,-0.00559119141712418,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.043111555436172,0,0,0,0,0,-0.0658281881122412,0,0,0,0,0,0,0,0.436138640190309,0,0.089153185974567,0,-0.0390763744586385,0,0,0,0,0,0,0.0540706146004051,0.042538653750082,0.0596584447504384,0.178849967753679,0,0,0,0,0.00924147435717436,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608848362609993,0.011675309756226,-0.0212880916363036,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0573005412967599,0.0590715316924877,0,0.0669921825596215,0,0,0,0.520234877912396,0,0,0,0,0,0,0,0,0,0.0413911164076404,0,0,0,0,0,0.0294061295347935,0,0,0.0199709154602729,0,-0.0105760085476495,0,0,0,0,0.00138771177357645,0,0,0,0,0,0,0,0,0,0,-0.0122789371498056,0.0115767748878099,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.149417043206321,0,0,0,0.0397639425618702,0,0,0,0,0,0,0,0,-0.0861954690694543,0.0159174009111097,0,0,0,0.0928236046155321,0,0,0,0,0,0.0946062077477466,0,0.0155252991687133,0.0434306715372386,0.281982708960454,0,0.0654384295813291,0,0.044300904851185,-0.0301505407326188,0,-0.0394056028568447,0,0,0,0,0,0,0,0,0.00510143921011498,0,0,0,0,0,0
X600547.SH,0,0,0,0.293604203834979,0,0,0,0.0343342371839392,0,0,0,0,0,0,0,0,0,0,0,0,0.724319706410201,0,0.0446669094416563,0,-0.0173816218555395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329752651264376,0,0,0,0,0,0,0,0,0,0,-0.0135251583579519,0.0205279561503052,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.223545939811025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0526745919950367,0,0,0,0,0.093685809752536,0,-0.0303237612191774,0,0.0412037772726157,0,0,0.00869206385787824,0,0.122653784318433,0,0,0,0,0,0,0,0,0,0,0,0,-0.00942505476155572,0.0125531561522266,-0.0114260165974513,0,0,0,0,0,0
X000708.SZ,0,0,0,0.103521776244195,0,0,0,0,-0.026071361144297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506884082705157,0.192460355658292,0,0,0.316739673686662,0,-0.207027313516122,0,-0.0758119796929979,0,0.150724981684895,0,0.0427790482241865,0.000942014143278538,-0.12820933939364,0,0,0.0730908169840867,0,0,0,0,0,0,0,0,0,0,-0.154674636606482,-0.00332427014998804,-0.0137957274532045,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0371621111399377,0,0,0.186419791405302,0,0,0,0,0.257611848944875,0,0,0,0,0,0,0,0,0,0.197620808268519,0,0,0,0,0,0,0,0.135593907216646,0.113246227920902,0.240399452630671,0,0,2.16840434497101e-19,0,0,0.0707836147037373,0,0,0,0,-0.110173478988636,0,0,0,0,0,0,0,-0.0133624651631453,-0.0224864542394232,0,0,0,0,0,0
X600011.SH,0,0,0.131947531214845,0,0,0,0,0,0,0,0,0,0.041607409605389,0,0,0,0,0,0,0,-0.0207563015451481,0,-0.069078653404923,0,-0.0606967352554199,0,0,0,0.123049441036094,0,0.098913465746019,0.157594734086032,0,0,0,0,0,0,0,0.360869798798691,0,0,0,0,0,0,0,0,0,0,0,0.0188762874912432,-0.0118923632012714,0,0,0,-0.0935672080271055,0,0
