,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600623.SH,X600886.SH,X600111.SH,X600157.SH,X601992.SH,X600299.SH,X000792.SZ,X600660.SH,X601158.SH,X000709.SZ,X002466.SZ,X000898.SZ,X600309.SH,X000539.SZ,X600578.SH,X000883.SZ,X600583.SH,X000027.SZ,X600352.SH,X002075.SZ,X000630.SZ,X600547.SH,X600489.SH,X002470.SZ,X000629.SZ,X300072.SZ,X000959.SZ,X600160.SH,X600098.SH,X000983.SZ,X000012.SZ,X000723.SZ,X600176.SH,X601699.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0818100970621702,0,0,0,0.117921569515863,0.068228643651872,-0.0199051989239191,0,0.0238897228541493,0,0.0755534318091325,0,0.0243073305836468,0,0,0,0,0.0306743682422311,0,0,0,0,0,0.0998893837898121,0,0,0,0,0,0,0,0,0,0,0,0.0119422835174422,0,0.0099758998716144,0,0,0,0,0.0309443373805799,0.00663313509397714,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.123307020017886,0,0,0,0.0543689063121519,0.00985891620088624,0,0,0.0581382169957733,0,0.0353650681426338,0,0,0,0,0,0,0,0,0,0,0,0.218942174470645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228341516438207,0.00562716404466179,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.518109542785653,0,0,0,0,0,0.117689691079677,0,0.0181979033836588,0,0,0,0,0,0.018732461875924,0,0,0,0,0.0111366484069437,0,0.0600160334793265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271486263003912,0,0,0.0159711697407211,0.0769843648960263,0,0.0184618058934528,0,0,0,-0.0207082191603513,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0533889051469417,0,0.0393536378118533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365641280793045,0,0,0.0494490738204521,0.0298549162011266,0.16165380294169,0,0,0,0,0,0,0,0,0,0,0,0,0.0956848650857698,0,0,0,0.106059207837114,0,0.0158751498098517,0.0122330084716002,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222992240861807,0,0,0,0.282805363831843,0,0,0,0,0,0,0.0655655055218681,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0417409171070539,0.148174805602984,0,0,0.0278937124420283,0.0593540913384852,0,0,0.00479981577851868,0,0,0,0.141964663616785,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0748925862968185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621814170507859,0,0.536355275309238,0.0526866649183002,0,0,0,0,0,0.0369095841087704,0,0,0,0,0,0,0,0.0775293219038108,0,0,0.108261974817349,0,0.0111947719748257,0,0,0,0,0.00538137102649739,-0.0714792309776412,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0741465684192445,0,0.138187062192475,0,0,0.0430406841665718,0,0,0,0,0,0,0,0.215253986952754,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.046969786151053,0,0,0,0,0,0,0,0,0.0774677864942638,0,0,0,0,0,0,0,0,0,0,-0.00195823194139961,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0258674339519835,0,0,0,0,0,0,0,0,0.0295739310093935,0,0,0,0.16069581931615,0.0709711006031812,0,0.0458140902837989,0,0,1.73472347597681e-18,0,0.0417312417001838,0,0,0,0,0,0,0,0,0,0,0,0,0.0425721480373765,0,0,0,0.0267011842915389,0,0.174870077966661,0.190859103471578,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154346807394637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394486776669921,0.0257832594161315,0,0,0,0,0.0537247399737538,0.0863927993191048,0,0.0180943824340242,0,0.167316664929366,0,0,0,0,0,0.211781216811181,0,0,-0.00579324890571376,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.214576827099397,0,0,0,0,0,0.148093771097594,0.0246769618278899,0,0,0,0,0,0,0,0,0,0,0,0.0774744197665515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742879655911473,0,0.0493194141050172,0.0817270487102554,0,0,0,0,0,0.00139634531654153,-0.0445425950985389,0,0,0,0,0,0
