,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600019.SH,X600111.SH,X601898.SH,X002271.SZ,X600011.SH,X600010.SH,X600660.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600362.SH,X600426.SH,X600096.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000983.SZ,X600803.SH,X601991.SH,X300073.SZ,X600141.SH,X002080.SZ,X601699.SH,X600486.SH,X600219.SH,X600027.SH,X002353.SZ,X002192.SZ,X000959.SZ,X600801.SH,X600157.SH,X600489.SH,X000807.SZ,X000932.SZ,X600295.SH,X002497.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0284945394062873,0,0,0,0,0.0706427281985091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11921363700564,-0.136473947148018,0,0,0.0611569945403244,0,0,0,0,0,0,0.0112127841050907,0,0,0.132985461601165,0,0,0,0,0,0.0192113265703916,0,0.169798912206133,0,0,-0.00875837717178883,0,0,0,0,0.0374968450873189,0,0
X601088.SH,0,0,0,0,0,0,0.20744945986419,0,0.0100575349800271,0,0,0.0911519068873115,0,0,0,-0.183364114810867,0,-0.0402146109374723,0,0,0,0,0,0,0,0,0,0,0,0,0.05960388305402,0,0,0,0,0,0.0894708977421214,0,0,0,0,0,0,0,0,0,0.0191867468645,0,0,0,0,-0.015598959895871,0,0,0,0,0,0,0
X600028.SH,0.0144595356810303,0.0230533590850252,0,0.0150902919779362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433899664831822,0,0.0636606239303968,0,0,0.0106816948054424,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.021377267101911,0,0,0.0699793864426573,0,0,0,0,0,0.0633995850674257,0,0.052707493610053,0,0,-0.0132780582092197,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0244357145733014,0,0,0.0794569872654034,0,0.0231964839089086,0,0,0.195697092573482,-0.0200697827197529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117862575791439,0.0385829847379785,0,0,0,0,0,0.00943243541807883,0.10418920984837,0,0,0.0120864147804242,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.280883840297593,0,0,0.154791034489884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360671863550553,0,0,0,0,0,0,0,0,0,0,0.0473245143843602,0,0,0,0,0.0292231712534343,0.231319076376463,0,0,0,0,0,0,0.0924553005417197,0,0.0331696703514817,-0.0722418810634861,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0130498762034742,-0.0678131626737585,0,0,0,0.101611196200107,0,0,0,0,0,0,0.173183051266374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180235678429893,0,0,0.0181378300470315,0.409792326863133,0,0,0,0,6.93889390390723e-18,-1.0842021724855e-19,0,-0.00404750836930059,0,0,0,0,-0.000947899340718792,0,0
X600188.SH,0,0.375221077980611,0,0,0,0,0,0,0.013568421913377,0,0,0,0,-0.266270757970147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332234988786372,0,0,0,0,0,0,0,0,0,0.0293016986061347,0,0.0524024929977801,0,0,0.0480167198383329,-0.0446041972267752,0,0,0,-6.93889390390723e-18,0,0
X002466.SZ,0,0,0,0,0.7085249749009,0,-0.113880595796292,0,0,0,0,0,0,0.0174764986382188,0.0253348393589,0,0,0,0,0,0.0605293079215448,0,0,0,0,0,0,0,0,0,0.0529265767638715,0,0,0,0.0435681731585515,0,0,0,0,0,0,0.116608768743324,0,0,0,0,0,0,0,0.0296568028870639,0,0.00598515211655393,8.67361737988404e-19,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.138568711151834,0.019899738965988,0,0,0,0,0,0,0,0,0,0,-0.00508975555010082,0,0,0,0,0,0,0,0.142372634102224,0,0,0.50067448655186,-0.104616379472214,0,0,0,0.0561748003841271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532168623621039,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0854203620138045,0,0,0,0,0,0,0,0.0677496154576083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453522994042533,0,0,0,0,0,0,0,0,-0.00608150303231799,0,0,0,0,0.0227271774900259,0,0,0,0.0485110205310601,0.256713111671736,0,0,0,-0.0117509044484299,0,0,0,0,0,0,0
