,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600886.SH,X600547.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X600803.SH,X002460.SZ,X000708.SZ,X600027.SH,X000301.SZ,X002466.SZ,X601991.SH,X600426.SH,X600160.SH,X600219.SH,X000983.SZ,X000807.SZ,X000786.SZ,X601699.SH,X000408.SZ,X000630.SZ,X600176.SH,X600985.SH,X600096.SH,X002128.SZ,X601168.SH,X000877.SZ,X000933.SZ,X600352.SH,X000883.SZ,X600995.SH,X002353.SZ,X600378.SH,X600299.SH,X600688.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.325992365607129,0,0,0.39591253353696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125423057033006,0,0,0,0.0901901528425493,0,0,0,0,0,0.131737559130458,0,0,0,0,0,0.378887418853498,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0.0152112994626579,-0.197750443286186,0,0,0,0,0,-0.0177239942940879,0,0,0,-0.00448875537330557,0,0
X600028.SH,0.434365889374646,0,0,0,0.322861674314581,0,0,0,0.112477892351944,0,0,0,0,0.0444557659679553,0,0,0,0,0,0,0,0,0,0,-0.0557497644283308,0,0,-0.113510320730721,0,0,0,0,0,0,0,0,0,0,0,-0.121817279971757,0.161902796331787,-0.0396319191153661,0,0,0,0,0,0,0,0,0,0.0293098329264371,-0.0151944163083162,-2.16840434497101e-19,0,0,0,0,0
X601088.SH,0.137381689209867,0,0,0,0.191293872137616,0,0,0,0,0,0,0,0,0.150840961349215,0,0,0,0,0,0,0,0,0,0,-0.0171631253709506,0,0,0,0,0,0,0,0,0,0,0,0.143517697475249,0,0,0,0,0.0338536747804917,0,0,0,0,-0.0073176340142667,0,0,0,0,0.0118452268945546,-0.0593724858458862,0,0,0,-0.0247788677689074,0,0
X600309.SH,0,0,0,0,0,-0.0178711310245247,-3.46944695195361e-18,0,0,-0.15125103410562,0.0262883265728127,0,0,0,0,0,0,0,0,0,0,0,-0.213577371306987,0,0,0,0.149585407324163,0.0462409156301278,0,0,0,0.193920804018801,0,0,0,0,0,-0.0104806989998266,0.361553538654177,0,0,0,0,0,0,0.0990416365806459,0.00356078144139932,0,0,0,0,-0.0583098646313784,0,0.0158198440957599,0,0,-0.0118569698385825,0,0
X601898.SH,0,0.332436129502082,0.12102217899388,0,0,0.131852869089896,0,0,0,0,0.103836577761676,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0210119666362194,0,-0.0292949200508554,0,0,0,0.0467599538522983,0,0,0,0.251604471694845,0,0,0,0,0.112167290590667,0,0,0,0,0,0.065038828726693,0,-0.0912005086898182,0,0,0,0,0,0,0,0,0,0,-0.00632231583050179,0,0
X600188.SH,0,0.228094546832502,0,0,0.0552211718502934,0,0,0,0,0.0751367497587529,0,0,0,0,0,0,0,0,0,0,0,0.121769063334575,0.0383602812956652,0,0,0,0,0,0,0,0,0,0.280476258864823,0,0,0,0.499108626114313,0,0,0,0,0,0,0,0,0,0,0,0,0.176926041165729,0,0.029970745489861,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0292529884755871,0,0,-0.0749410110240228,0,0,0,0,0,0,0,0,0,0,-0.0635049222650155,0,-8.67361737988404e-19,-0.03964470980709,0,0,0.279696170181241,0,0.235533455188709,0,0,0,0,0,0,0,0,0,0,0.199894291361017,0,-0.262233218933343,-0.196319458592286,0,0,0,0,0,0,0,0,0,0,-0.0577069970477541,-0.0500745260151043,-0.102301530154093,0,0,-0.0586038411388777,0,0
X600019.SH,0,0.247444134841598,0,0,0,0,0,0,0,0,0,0,0.158269730591281,0,0,0,0,0,0.118810067581776,0,-0.0345439403888066,0.201445032932377,0,0,0,0,0,0,0,-0.00542101536292568,0,0,0,0.0804281531928756,0,0,0,0,-0.0782252649854999,0,-0.112444612230028,0,0,0,0,0,0,0.0530455632896304,0,0,-0.094432674017458,0,0,0,0,0,-0.0559606614435734,0,0
X600886.SH,0.139020254527706,0,0,0,0,0,0,0,0,0.112764405375178,0,0,0,0,0,-0.104065876596801,0,0,0,0.127344979763273,0,0,0,-0.0344371194098704,-0.0877950310115155,0,0,0,0,-0.172776039422022,0,0,0,0,0,-0.304791032338534,0,0,0,0,0,0,0,0.22288728806019,0,0,0,0,0,0,0,-0.0148586427482111,8.67361737988404e-19,0.00886014296590965,0,0,-0.0578890548774933,0,0
X600547.SH,0,0.0394449948104601,0,0,0,0.128367917659625,0,0,0,0,0,0,0,0,-0.0639865278942588,0.0123368697707658,0,0.205851828015247,0.695503229696636,0,0.000401977074813193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.336178417989238,0,0,0,3.46944695195361e-18,0.0264721553535323,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0182243222251037,0,0,0,0,0,0,0,0.0266676994707362,0,0.236857135200592,0,0,0,0,0,0,0.0877622425603928,0,0,0,0,0,0,0,0.390545198355723,-0.117993410055664,0,0.0822023204825571,0,0,0,0,0.293817339204235,0.204944672006797,-0.0148633713103251,0,0,0.0159082849744408,0,0,0,0,0,0.0362603982981755,0,-0.0165471795209037,0,0,0,0,-0.00117590261939338,0,0
