,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600188.SH,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X002271.SZ,X600010.SH,X600660.SH,X601600.SH,X000301.SZ,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000408.SZ,X000786.SZ,X600219.SH,X601991.SH,X600795.SH,X601699.SH,X000807.SZ,X600096.SH,X002080.SZ,X600803.SH,X000983.SZ,X300073.SZ,X002353.SZ,X000825.SZ,X600688.SH,X600801.SH,X600141.SH,X600489.SH,X000630.SZ,X600157.SH,X000932.SZ,X600486.SH,X600160.SH,X002497.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.136762735488923,0,0,0,0,0,0,0.0477625614548751,-0.0369730548861474,0,0,0,0,0.0588692471677519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113473852626472,0,0,0,0,0,0,6.93889390390723e-18,0.168472415651311,0.234403111185835,0.0211459796255696,0,0,0,0,0,0,0,0,0,-0.0122354908382534,0.158212936082882,0,0,0.016673639254432,0,0
X600028.SH,0.150322484119692,0,0,0,0,0,0.071458589312888,0,-0.0465173808238487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108891503393517,0,0,0,-0.0003909676800832,0,0,0,0,0,0,0,0,0,0,0,0,0.014911908963189,0.230650645828464,0,0,0,0.00087715924213792,0,0,0,0.0289531184281546,0,0,-0.00621555284224419,0,0,0,0,0,0,0
X601088.SH,0.229206449221046,0,0,0,0,0,0.134220936178956,0,0,0,0,0.0377741376377616,0,0,0,0,0,-0.102215800364309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845551024413591,0,0,0,0,0.223521721157498,-0.0740546825998971,0,0,0.259091972413743,0,0,0.00752744430900435,-0.190481496419998,0,0,0,0,0,0,-0.0379340384554669,0.0774294313418564,0,0,0,0.0728735729108163,0,0
X600309.SH,0,0,0,0,0,0,0.0135739775054764,0,0,0,0,0,0,1.35525271560688e-20,8.96147509491908e-05,0.046646140834252,0,0.230869553188602,0.0927219264199354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346898517398892,0,0,0.140712183702376,0,0.026608925524494,0,0,0,0,0,0,0,0.062367343331028,0,0,-0.00130035173064854,0,0,0,0,0.00625235740725758,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.128524261541183,0,0,0,0,0,0,0,0,0,-0.00518177275095851,0,0.00448242250443997,0.0249936194101842,0.468558480753731,0,0,0,0,0,0,0,-0.00691339771157747,0,0,0,0,0,0,0.00377743475461196,0,0
X002460.SZ,0,0,0,0,0,0,0.130441209815537,0,0,0,0.437959103584507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188762205629779,0,0,0,0,0,0,0,0,0,0,0,0.267580942751193,0,0,0,0,0.145849778664648,0,0,0,0,0,0,0.119463986329673,0,-0.0103982342894071,-0.0269437452369041,0,0,0,0,0,0
X600188.SH,0,0,0.116261558534464,0,0,0.159857549606371,0,-0.0545742083725373,0,0,0,0.217404869398487,0,0.0444443680730498,0,0,0,0,0,0,0,0.0209803773780769,0,0,0,0,0,0,0,0,0,0.222569368128653,0,-0.018792522112253,0,0,0.347515795791127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079250332006054,0.11736347913103,0,0,0,-0.0150379649105799,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.35842265478555,0,0.237693603886422,0,0,0,0,0,0,0,0,0,0,0,-0.0474447852032002,0,0,0.310180465313163,0,0,0.0197528839011866,0,0,0,0,0.0465975924323444,0,0,0,0,0,-0.157723153243164,0,0,0,0,0,0,0,0,0.107658272620796,0.0539714344654659,0,0.0247671198147838,0,0,0,0,0,0,0
X600111.SH,0,0,0.0361506508253607,0,0,0.0790695033629647,0,0,0,0,0.0759812790486081,0,0,0,0.154958156588744,0,0,0.0862226581728372,0,0,0,0,0,0,0,0.012296458237915,0,0.0160271501894823,0,0,0,0,0.0749329503200568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505551947677227,0.172265721046236,0,0.01073783965597,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0130483057920273,-0.0400978358621296,0,0,0,0.157634469818431,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015645680763499,0.044681080975811,0,0,0,0,0,0,0.206192328742328,0,0,0,0,0.361690642595691,0,0,0,0,-0.00591246514850358,0,0,0,0,-0.00919773858728721,0,0
