,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600795.SH,X600660.SH,X002466.SZ,X600188.SH,X601992.SH,X300072.SZ,X600362.SH,X600547.SH,X601991.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600352.SH,X600219.SH,X600489.SH,X600808.SH,X000959.SZ,X600299.SH,X600339.SH,X002271.SZ,X601158.SH,X000723.SZ,X000883.SZ,X000983.SZ,X601699.SH,X002092.SZ,X000630.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.602139499847292,0,0,0,0,0,0.00112596940841937,0,0,0,0,0,0,0,0,0.0150103820582869,0,-0.0336392348182442,0,0.0179273139388169,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0159376145095884,0,0,0.0427265286175529,5.42101086242752e-20,0,-0.0420545678150719,0,0,0,0.0875138202236332,0,0,0,0.033854834652523,0,0,0,0,0,-0.00523194611315129,0,0,0,0,0,0,0
X600028.SH,0.346346853323996,0,0,0,0.12896744647372,0.000473125032362173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444742908746189,0,0,0,0,-0.0667351843348439,0,0.0175608665485936,0,-6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142094831958341,0,0,0,-0.000765821335789394,0.00664770918531705,0,0,0,0,0,0
X601088.SH,0,0,0,0.047173204039176,0,0,0,0,0,0,0,0.75524991918106,0,0,0.0701350901955946,0,0,0,0,0,-0.0178594495903653,0,0,0,0,0,0,0,0,0.0838555091678138,-0.069933954892828,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0389925316324094,0.200315620287327,0,0,0,0.0793954278730444,-0.0528929731730615,0,0,0,0,0,0
X600019.SH,0,0,0.080361834234557,0,0,0,0,0,0,0,0,0,0.137813252426684,0,0,0,0,0,0,0,0,0,0.0533898123620186,0.159564855758571,0,0,0,0,0,0,-0.0168236883264166,0,0,0,0,0,0.232156920816275,0.0984595799381495,0,0,0,0,0,0,0,0.0641943868965881,0,0,0,-0.13571900188895,0.0166122601480886,-0.0263443706062517,0.137733635283388,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.175217283229678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0796653056597349,0,0,0,0,0,0.219761201581792,0,0,0,0,0,-0.184350577360012,0,0,0,0,0,0,0,-0.100818734496964,0.0880695951249865,-0.0623630818091185,0,0,0,0,0
X601600.SH,0,0,0.0180936499895024,0,0,0,0,0,0,0,0,0,0,0,0.00736876337381422,0,-0.0656091015368133,0,0,0.0213102084915602,0,0,0,0.0210099115588031,0,0,0,0,0,0,0,0,0,0.030939361822015,0.173748837680136,0,0,0,0,0.114915939747157,0,0,0,0,0.00122648061754768,0,0.00328977395135555,0,0,0,-0.0214537926082416,-0.0321226279058655,0,0,0,0,0,0
X600010.SH,0,0,0,0,-0.0698536807167839,0,0,0.0603036123351358,0,0,0,0,0,0.0190270888311201,0,0.0744224350932188,0,0.0423178570509624,0,0,0,0,0,0,0,0.0538648047371724,0,0,0.0586045348694374,0.00137872332516836,1.0842021724855e-19,0.0347972260065946,0.0293777598302242,0,0,0,0.218493116149953,0,0,0,0,0,0.0551293248518943,0,0.0400564293881336,0,0.0238660620755004,0,0,0,0,0.00029481278701379,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280849093286872,0.166715008799104,-0.111532812633231,0,0,0,0,0,0,0,0.0614300835192176,-0.112128757947714,0,-0.0795944945150871,0,0,0,0,0,0,0,0,-0.299358271499313,0,0,0,0,-0.224589895349319,0.36460202827324,0,0,0,0.00253292520856655,0.032521171714164,0,0,0,0.0424863008788433,0,0
X600011.SH,0,0,0.0450320490437248,0,0,0,0,0,0,0,0,0,0,0.0147161152216208,0.180283859181955,0.0796967734013742,0,0,0,0.0146959608227246,0,0,-0.0392078210097157,0,0,0,0,0,-0.0198847085818859,0.0198225642611615,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0310327460948928,0,0,0,0.0331399484576137,0,0,0,0,0,0,0,-0.0110010093799755,0.014467480268589,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0515016431893204,0,0,0,0,0,0,0,0.248016237256827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208218619740952,0.03635748939706,0,0,0,0,0.0593864585444374,0,0,0,0,0,0,0,0.139094483378319,0.0638341253535477,0.00204450044197185,0,0,0,0,-0.00343243115397399,0,0,0,0,0,0
X600688.SH,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.098522433261764,0,0.165978018160709,0,0,0,-0.250434638292588,0.0464847990054126,0,0,0,0,0,0,0,0,0,0.00567164394648686,-0.012802491108742,0.0970195806705115,0,-0.146726829377591,0,0,0,0.291854169166167,0,0.0696026439239855,0,0.185290403870603,0,0,0,0,0.0412847301944716,0,0,0,0,0,-0.0107699459717886,0,0,0,0,0,0
