,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600309.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X600489.SH,X000959.SZ,X600299.SH,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X600339.SH,X002466.SZ,X600583.SH,X000723.SZ,X000408.SZ,X000630.SZ,X600098.SH,X000883.SZ,X600352.SH,X600219.SH,X600021.SH,X000539.SZ,X000027.SZ,X600623.SH,X000983.SZ,X002092.SZ,X000060.SZ,X000825.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.353774249104381,0.050918128294006,0,0,0,0,0,0,0.010165848516868,0.0464385057529525,0,0,-0.0190599682466797,0,0,0,0,0,0.0262505260282136,0,0.0572942205280736,0,0,0,0,0.0374442325299724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997179194693528,0,0,0,0.0131970418000357,0,0,0.00802066506490641,-0.00990068702276664,0,0,0,0,0,0
X600028.SH,0.677264422120954,0,0,0,0,0.252517495255877,0,-0.00413979107868014,0,0,0,0.0144567842462423,0,0,-0.0530349317731366,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122844882720938,0,0,0,0,-0.0333625284629604,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0440619900815267,0,0,0,0,0,0,0.0208887784958398,0,0.00285768937526092,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0904593156392566,0.101436681829879,0,0.0282110201944977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103787753289578,0,0,0,0,0,0,0.0270506467556673,0,0.0206631989553488,0,0,0,0,0,0,0,-0.154383048463413,0.0842886226939568,0,0,0.21885178586355,0,0,0,0.00231005595579452,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.345746070368703,0,0,0,0,0,0,0.122194735485997,0,0,0,0,0,0,0.121995108751098,0,0,0,0,0,0,0.0973781285140047,0,0.0418287061370875,0,0,0,0,0,0,0,0,0,0,0,0.147854141376182,0,0,0,0,-0.151026302438007,0,0,0,0,-0.0161200638006581,0.0243991624877871,-0.340064314403997,0,0,0,0,0
X600011.SH,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0323409525975161,0,0.382779386674257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764037367071389,0,0,-0.0034797558063915,0,0,0.0544058211186155,0,0,-0.0395114529409582,-0.0422952301906653,0,0,0,0,0,0,0,0,0.0644805965526698,0,0.00153469463373684,0,0.0958367002005395,-0.0386873409197394,0.0437049912226209,4.33680868994202e-19,0,0,0,0,0
X600585.SH,0,0.0692515742542293,0,0.242224150256848,0,0,0,0,0,0.00803402557030672,0,0,0,-0.0802459882635663,0,0,0,0,0,0,0.101923833229519,0,0,0,0,0,0.226444378878617,0,0.0814022040300043,0.0164514235116309,0,-0.0348630510675272,0,0,0,0.231991149987678,0,0,0,0,0,0,0,0,0,0,-0.249076785360029,0,0,-0.239035765711073,-0.0082593750991875,0.00737938516916503,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0749426670071677,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.00961174202571709,0,0.187157739921998,0,0,0,0,0,0,0,0,-0.00921435731752546,0.0371101071563958,0,0,0,0,0,0.0714900614965187,0.0813145125133218,0.0829217588334507,0,0,0,0,0,-0.0191665411270598,0,0,0,0,0,0,0
X601898.SH,0,0,0.310046134927171,0,0,0,0,0,0.0658782064044927,0,0,0,0,0,0.0259013229846654,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0308637872663907,0.121514846690082,0,0,0,0,0,-0.171908463231007,0,0,0,0.0817806334743271,0,0,0,0,0,0.256257365719993,0,-0.0137002319030563,0.210216328616517,0,-0.0123724051768809,-0.0210875963315959,0,0,0,0,0,0,0
X600688.SH,0,0.157148908949752,0,0.0548474241523851,0,0,0,0,0,0,0,0,0,0,0,0,0.140391466503897,0,0,0,0,0,0.124043748920505,0,-0.00532928302903862,0,0,0,0.0198607361777002,0,0.0583523690627507,0,0.290635979299611,0,0,0.0357929020833259,0,0,0,0,0.0574333120789267,0,0.0103669932483898,0,0,0.0631936187774792,0,0,-0.00949089805377517,0,0.000176894631120223,5.42101086242752e-20,0,0,0,0,0,0
X600547.SH,0,0,-0.0245308470869501,0,0,0,0,0,0,0,0,0,0,0,-0.0941697324616148,0,-0.0815744037937409,0,0,0,0,0,0,1.0456845625485,0,0,0,0,0,0,0,0,0,0,0,0.00561099228701502,0.0652966663018243,0,0,0,0,0,0,0,0,0.194403989239712,0.00479067741930068,0,0,-0.00239587922952828,-0.0241390611716517,0.00574881147582591,0,0,0,0,0,0
