,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X000792.SZ,X600583.SH,X601158.SH,X000898.SZ,X600352.SH,X000709.SZ,X000831.SZ,X000883.SZ,X600547.SH,X002353.SZ,X600489.SH,X000539.SZ,X000630.SZ,X000027.SZ,X000825.SZ,X002470.SZ,X600660.SH,X600008.SH,X600549.SH,X600021.SH,X000629.SZ,X600315.SH,X600808.SH,X600578.SH,X600098.SH,X600307.SH,X000983.SZ,X601699.SH,X600863.SH,X000960.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.513743863782301,0,-0.0129770705147136,0,0,0,0,0,0,0,0.0890505191909468,0.0800382497314319,0,0,0,0,0,0.0720484006886827,0,0,0,0,0,0,0.0145250575742235,0,0,0,0.0195455035541743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168161481961053,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.443771227506571,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0756328530185608,0,0,0,0,0,0,0,0.501427050554998,0,0,0,0,0,-0.0646947075558983,0,0,0,0.033453778352855,0,0.0404000953238645,0,0,0,0,0,0,0,0,-0.0209954015779551,0,0,0,0,0,0,0,0,-0.0502876541680248,0,0,0,-0.0189217985261222,-0.0048265858077202,0,0,0,0,0,0
X601088.SH,0,0.0732643594346417,0,0.0417036193524875,0,0,0.103447682957497,0,0,0,0,0.104921008146896,0.117056723430206,0.00600500687561883,0,0,0.0515791023143626,0,0,0,0,-0.015644571876281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115146631842635,0,0,0,0,0,0.0353593830546716,0,0,0,0.383232227446697,0,0,0,0,0,0,0.00319872461296289,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0807038744859745,0,0,0,0,0,0,0,0,0,0.0359498928174741,0,0,0,0,0.373124854097101,-0.00890186087930859,0.296023858047671,0,0,0,0,0,0,0,0,0,-0.00288713320508128,0,0,0,0,0,0,0,0,0,0.0935206897765236,0,0,0,0,0.0365958769808719,0,-0.051034700154733,-0.0126254877081692,0,0,0,0,0,0
X600011.SH,0.196227740673371,0,0,0.0760218516492298,0,0,0,0.131910791331049,0,0,0.0938743647897608,0,0.0683311079910254,0,0,0.135219804630855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160645291267746,0,0,0,0,0,0,0,0,0,-0.0134314960393767,0,0,0,0,0,0
X600585.SH,0,0.0786739609446105,0.104761994493049,0,0,0,-1.38777878078145e-17,0.0280697668548206,0,0,0,0,0.006304256288265,0,0,0,0.00968941376406143,0,0,0,0.0561830392270224,0,0,0,0,0,0,0,0,0,0,0,0.0545279607290289,0,0,0.082832885504221,0,0,0,0,0,0,0,0.212137243035752,0,0,0.150592957524253,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.116874660792731,0.0701728481506714,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180317020093884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165026015337139,0,0,0,0,0.0157599494857126,0.245147750564806,0.299042373477901,0,0.0198016892112266,0,0,-0.00215931178243973,-0.00281622152507914,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.107122396824723,0,0,0,0,0,0,0,0.0126473980619777,0,0,0,0,0,0,0.0442354883907686,0,0,0.512836971504779,0,0,-8.67361737988404e-19,-0.236491662668186,0,0,0,0,0,0,0,0,0,0,0.113468158152827,0,0,0.287221008609337,0,0,0,0,0,0,0,0,0.229211962287686,0,0,-0.00546437687847099,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.00559747321190373,0,0,0.374386154592388,0,0.135277263279877,0,0,0,0,0.0265581088092243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954372527918788,0,0,0,0.0177739915112037,0,0.0433611775369898,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272424380558625,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.173487358776356,-1.0842021724855e-19,0.188830015486013,0,0,0.0602684772920238,0,0,0.0823757061120663,0.0729572349964045,0,0,0,0,0,0,0.0916185332592448,0,0.0952519663103653,0,0,0,0,0.0443486048771727,0,0,0,0.0268960331766816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268454788457583,0,0,0,0,0,0
