,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X000825.SZ,X000539.SZ,X600489.SH,X600315.SH,X600808.SH,X000831.SZ,X600352.SH,X600660.SH,X000027.SZ,X601699.SH,X600578.SH,X600307.SH,X600490.SH,X600549.SH,X000630.SZ,X000983.SZ,X000937.SZ,X600863.SH,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0239184361885389,0,0,0,0,0,0,0,0,0.0671374766267111,0,0,0,0,-0.0263382640156294,0,-0.0114406942190223,0,0,0.0411015123661917,-0.0674744650540963,0,0,0,0,0.0918554221774613,0,0,0.0814620624835372,0,0,0,0,0.246428848377753,0,0,0.0517529846984565,0.0584516505407683,0,-0.0272046341613944,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318367025325499,0,0,0,0,0,0.0921524038147224,0,0,0,0,0,0,0.154455788737679,0,0,-0.0414926537249743,0.218936660423365,0,0.0511926884086706,0,0,0,0,0.0518031302110951,0,0,0,0,0,0,0,0.0250934504554628,0.0653498620319554,0,0,0.0233965145077352,-0.00639547399305674,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0794934384535738,0,0,0,0,0.0886336285598778,0,0,0,0,0,0,0.0368022635722204,0,0.0919594353499149,0,0.0290242489102986,0,0,0,0,0,0.0276654465602403,0,0,0,0,0,0,0,0,0,0.0458848964674406,0,0,0.0598905004612772,0,0.0106809090142754,0,0,0,-0.0022771687066309,0.0364894196417508,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0.364069248043694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181629702524253,0.105626522179539,0,0,0,0.0267369411177103,0,0.0783850557132932,0,0,0,0,0.191207002975055,0.115551020052581,0.174079912556505,0,0,0,-0.0463141715069918,0,0.144741441449709,0.119996084357852,0,0,0,-0.0287908839348461,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0.1770207537336,0.0429528423292985,0,0.143354658473294,0,0,0.105371163077579,0,0.184076260898003,0,0,0.222200945710309,0,0,0,0,0,0,0.287955879863903,0,0.333443116624371,0,0,0,0,0,0,0,0.028866026437271,0,0,0,-0.0212454944283928,0,0,0,0,0.154013216134217,0.123061514193,0,0.0655667032518106,0,0,0.0312476728613042,0,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138541901311458,0.226926460802769,0,0,0,0,-0.0513493609346651,0,0,0,0,0.0133924241808334,0,0,-0.000580736794770909,0.0177269504035757,0,0,0,0,0.233356313463875,0,-0.0148265737343041,0,0,0.0721499987523473,-0.0571679752202401,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0.0709764406591743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710235316038232,0,0,0,0,0,0,0,0,0,0,0,0.0727441170552969,0.0525532994415309,0,0.0216779900458262,0,0,0,0.179728879766846,0,0,0.0112667742242035,0,0,-0.00157298616043809,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0989595544767593,0.0854219099976004,0,0,0,0.0400178339855125,0,0,0,0,0,0,0,0,0,0,0,0,0.0584828129244719,0.0560583664549316,0,0,0,0.0555040172826935,0.00499227989288827,0,0,0,0,0,-8.67361737988404e-19,0,0,0.11891510460551,0,0,0,0,0.0160677487734851,0,0,0,0.00192696548403412,0.00420362868533251,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,-0.0844342551542453,0,0,0,0,0,0.0209662617315949,0,-0.00816315810241692,0,0.195437783923388,0,0,0,0,0,0,0.00886739865178895,0.0279959935780483,-0.153236290624305,0,0,0,-0.0699218711769716,0,1.73472347597681e-18,0,0,0,0.192273429716635,0.0933510542611222,0,0,0.0153123737528239,0,0,0,0,0,-0.00919808343181654,4.33680868994202e-19,-0.5736406459958,0.0378325047989739,-0.0392135216575005,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0.0463446080426531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292936265910264,0,0,0.0820504332525281,0.0635474742178218,0,0,0,0,0,0,0,0,0,0,0.0652898307650777,0,0,0,0,0,0,0,0.16309114726935,0,0,0,-0.00729548761869874,0.033714265659072,0,0.0668039558978285,0,0,0,0
X000831.SZ,0,0,0,0.266990966272435,0,0.105671833331252,0.0425288735587619,0,0,0,0,0.0162496758763725,0,0.00752281149579606,0.102156389772984,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.104211673282151,0,0.0737503663529457,0,0,0,0,0,0,0,0,0,0,0.0761308075510207,-0.111332769385862,0,0,0,0,0,-0.0144425109846498,0,0,0,0,0,0
X600352.SH,0,-0.437276998358714,0,0,0,0,0,0,0,0,0,0,0,0,-0.0396339520082971,0,0,0,0.240602371535097,0,0,0,0,0.300925710495047,0,0,0,0.0728846272233255,0,0,0.363096959330048,0,0,0,0,0,0,0.374314484661091,0,0.102073396443611,0,0,0,0,0,0.107877170261346,0,0,0,0,0.0697662168830362,-0.0632189642019929,0,0,0,0.102992993672896,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0297989928082102,0,0,0.105929603439557,0,0.0474697718566431,0.0508364079417185,0,0,0,0,0,0.170317217752058,0.0273855612743565,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0377777651762384,0,0,0,0,1.73472347597681e-18,0,0,0.105909610333,0.12022375311612,0,0,0,0,0.0347494811428944,0.055303927757332,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0647565708222164,0,0,0.0267966073199869,0,0,0.146872748098422,0,0,0,0,0,0,0,0,0,0.101111034177758,0,0,0,0.144123344271741,0,-0.0465518215869512,-0.0144778122973991,0,0,0,0,0,0,0.0765841687131187,0,0.115009522818384,0,0,0,-8.67361737988404e-19,0,0.0281509042841608,0.0903655240048997,0.0565600692472155,0,0,-0.00772224481153701,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0.0399720570301142,0,0,0,0,0,0.117818464252557,0,0,0.00332533196720255,0,0.109029538506636,0,0.0608946581237627,0,0,0,0,0.0945226241969579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549440217048798,0.0488162385182532,0,0,0.0197416303598583,0,0,-0.00211669355954737,0,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0,0.0312322270283677,0,0,0,0,0,0,0,0,0,0,0.0534686324434761,0,0.0750752637229444,0,0.0133141944876638,0,0,0,0.0754385530989185,0.212272472026313,0,0,0,0,0.125260574825748,0,0.00867143664089162,0,0,0.0663425160945466,0,0,0.0696182966420544,0,0,0,0,0.0838888123851706,-0.0312634954531587,0.160955251458327,0,-0.00166713379444344,0,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116338952579236,0,0,0,0,0,0,0.0633329055152122,0,0.56278111017512,0,0,0,0,0,0.0089065036944225,0,0,-0.1357110784896,0.314733955061466,0,0.132908128440681,0,-0.0556731056124812,0,0,0,0,0,0.00132803628997677,0,-0.0613135761443883,0,0,0.0270315943987901,-0.0438799683159246,0,0,0,0.068187631458306,0,0
X600490.SH,0,0,0,0,0.106047516268395,0,0,0,0,0,0.455723087592015,0,0,0,0,-0.093476265375162,0,0,0,0,0,0,0.430112541840268,0,0,0,0,0,0,0,0.171575245269568,0,0,0,0,0,0,-0.0592402083885825,-0.145042164289981,0,0,0,0,0,-0.0220318756665975,0,0,0.102457192240537,0,0,0.0633595833331284,-0.230072043091756,0,0,0,-0.426974034302137,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.413610435581609,0,0,0,-0.0766583251712045,0,-0.0824260242923544,0,0,0.0212431504090555,0,0.135016216796712,0,0,0,0,0,0,0.0237245083593167,0,0,0,0,0.206801291239941,0,0,0,0,0,0,0.0549716813928341,0,0.0778091499028745,0,0,-4.33680868994202e-19,0,0,-0.0224832841201127,0.0675911545606397,0,0,0,0,0,0,0,0,0
