,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X600489.SH,X002466.SZ,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X002128.SZ,X000877.SZ,X600176.SH,X601699.SH,X000408.SZ,X000630.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X000831.SZ,X600378.SH,X600995.SH,X002271.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0,-0.135410666767368,0,0,0,0,0.261478699270059,0,0,0,0,0,0,0,0,0,0,0.1491361358025,-0.0790822454397568,0,0,0,0,0,0,0,0,0,0,0,0.0922516227295561,0,0,0,0,0.0345931684624432,0,0,0.162913957358684,1.38777878078145e-17,-0.0101502284643248,0,0,0,0,0,0,0,-0.0778910679160603,0,-0.0790213918010786,0,0,-0.0158727990783486,0,0
X000807.SZ,0,0,0,0,0,0,-0.0679533154481022,0,-0.028122539946764,0.269362336892248,0,0,0,0,0,0.0813335477813006,0,0,0,0.0210385488416225,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049634012638899,0,0,0,0,0,0,0,0.550892405619376,-0.012831300304754,0,0,0,0,1.38777878078145e-17,0,0,0,6.93889390390723e-18,-0.0265934766458547,0,0,0,0,0,0
X600426.SH,0,0,-0.375995082809318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701368141315967,0,0.107933968004506,0,0,0.107264012771143,0,0,0.390533764032733,0,0,0,0,0.181756270759237,0,0.128328624801116,0,0,0,0,0,0,0.262039733139265,0,0.0457343800291344,0,0,0,0.0464745784032794,0,0,0,-0.0146191724259591,0,0,0,0,-0.066012309861749,0,0
X600219.SH,0,0.030353102452355,0,0,0,0,0,0.0334601693150241,0,0.386880184334289,0.0789870705652114,0,0,-0.164688190721126,0,0.124332896393386,0,0,0,0,0,0,0,0,0,0.0980162563639206,0,0,0,0,0,0,0,0.175561001894805,0,0,0,0,0.13805412637785,0,0,0,0,0,0.00946693385160559,0,0,0,0,0,0,-0.0403111000635509,0,0,0,0,-0.00486465750988153,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186441336959951,0,0,0,0.0518160547539323,0.107747593948526,0,0,0.0783781304533419,0,0,0,0,0,0.0337252551726901,0,0.214275641990223,0.0499257031915101,0.179133038235688,0,0,0,0.187745440677586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00967433990755362,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627421359599654,0,0,0,0,0.0949285613370208,0,0,0,0,0,0,0,0,0,0,0,0,0.177923435647455,0,0,0,0.237560350443705,0,0.226700039724103,0,0.067778787849469,0,0.0321913262759876,0.0681104003022891,0,0,0,0,0.0146496777646008,0,0,0,0,0.0315302479962024,0,0
X000877.SZ,0,0,0,-0.299413498370128,0,0,0.028385621021006,0,0.0567870535423522,0,0,0,0,0,0,0,0,0,0,0,0.185309827083884,-0.0507610288152386,0.220455293464412,0,-0.0255788996156806,0,0,0,0,0,0,0,0,0,0.160479240555219,0,0,0,0,0,0,0,0,0,0.0529423567964091,0,0,0.470201223104548,0,0.169607202472371,0,0,3.46944695195361e-18,0,0,0,-0.0310652819834987,0,0
X600176.SH,0.0521039516236391,0,0,0.101552530816842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103998344003095,0,0,0,0,0,0,0,0,0,0.189058700486899,0,0,0,0,0,0.0817793296887878,0,0.0481033209535855,0,0,0,0.116986310354982,0.0574342448230226,0,0,0.039633273768087,0,0,0,-0.0158602905473815,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0.0761912791603282,0,0,0,0,0,0,0,0,0,0,0,0.176259916920092,0.0835690742082107,0,0.0980697320933061,0,0,-0.095644764913159,0,0,0,0,0,0.431203139945557,0.103839034179505,0,0,0,0.0765104461713887,0,0,0,0,0,0,0.0194784084639579,-2.77555756156289e-17,0,0,0,0,0,0,-0.0256236320673185,0,0,0,0,0.057164541393331,0,0
X000408.SZ,0,0,0,0.120902074923761,0,0,0,0,0.145678298175347,0.0372594112001653,0,0,0,0.0179234155408854,0,0,0,0.0623450353626551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115301358367129,0.0211229112781106,0,0.288906328709693,0,0,0.0120219643441798,0,0,0,0,0,0,0,0,0,0,0,0.00258823030467848,0,0
