,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X601992.SH,X600157.SH,X600111.SH,X600299.SH,X600188.SH,X601158.SH,X600623.SH,X600583.SH,X000027.SZ,X600352.SH,X600160.SH,X000539.SZ,X002466.SZ,X600309.SH,X000792.SZ,X600660.SH,X000630.SZ,X000060.SZ,X600098.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600547.SH,X600021.SH,X002470.SZ,X600489.SH,X600578.SH,X002004.SZ,X000629.SZ,X600863.SH,X600315.SH,X300072.SZ,X600022.SH,X601918.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.306347379967699,0,0,0,0,0,0,0,0,0,0,0,0.00630678004383114,0,0,0,0,3.46944695195361e-18,-3.46944695195361e-18,0,0,0.0465819543359681,0.0183096006587579,0,0,0,0,0.0651209203956311,0.0811133984424487,0,0.0389781009565541,0.074831275125336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085737662205029,0,0,0,0,0,0,0
X600028.SH,0.329029350911084,0,0,0,0,0,0,0,0,0,0.057324490576098,0,0,0,0,0,0,0,0,0.127922826066421,0,0,0.060662735430114,0,0,0,0,0.0308266165268011,0,0,0,0,0.0105349169009252,0,0,0,0,0,0,0,0,0,0,0.0249703557876569,0,0,0,0,0,0,0.0163793898392664,-0.00925951040185875,0.0765158743961137,0,0,0,0,0
X601088.SH,0.134276169326591,0,0,0,0,0,0.130706950914143,0.223279313330399,0,0,0,0,0,0,0,0.0013974881409993,0,0,0,0,0,0,0.00253625361436812,0,0,0,0,0,0,0.0279346830299195,0,0,0.0696758334832647,0,0,0.0819733386006913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248615861698729,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0128851584845254,0.0877186080829953,0,0,0,0.0668977786736164,0.0443553472973644,0.0625492510613209,0,0,0,0.0537103677699204,0,0.0353468842905004,0,0,0,0,0,0,0,0,0.18516074191526,0,0,-0.0262569948415628,-6.93889390390723e-18,0.0428419520630069,0,0.0145680963366205,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.00670881992632785,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715836246341099,0,0,0.0954843723655028,0,0.148972073628243,0,0,0,0,0,0,0,0.0710799411610746,0,0,0,0,0.135500787238627,0,0,0,0,0,0,0,0,0,0.0978651327761388,0.259242492007775,0,0,0,0,0,0,0,-0.0132840616665261,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276607722101898,1.73472347597681e-18,0.103083649545903,0,0,0,0.0565680828992245,0,0.0122845733447,0.111833713645368,0,0.0456612739746406,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.263503985070358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202779143168342,0,0,0,0,0,0,0
X600585.SH,0,0.100874472417617,0,0,0,0,0,0,0,0,0,0,0,0.094216605875231,0,0,0,0,-0.0221529572987182,0,0,0,0.115879989253617,0,0,0,0,0,0.10723897184016,0,0,0,0.0287984405119348,0,0,0.174373899333701,0,0,0,0,0,0,0,0,0,0,0,0,0.0406184414853367,0,-0.0223335421504752,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.110313669450057,0,0,0,0,0.189556748158766,0.127294338816795,0.0829059304924316,0.0217725700881784,0,0,0,0,0,0,0,0,0,0,0,0.107612968174192,0,0,0.0256666571734376,0,0,0,0,0,0.123966767559379,0,0,0,0.0409938399194473,0,0,0,0,0,0.0600532584708911,0,0,0.00264922276432448,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675876612423915,0,0,0,0,0,0,0,0,0.0452123491521788,0.00810508815647881,0,0.0113817094468352,0,0,0,0,0.0223566519447713,0,0.0520148769029574,0.0227895693001426,0,0,0.243951813771893,0,0,0,0,0,0.109439029232692,0,0,0,0,0,-0.00501888403013852,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170858481631536,0.0816264631338328,0.128026196137225,0,0,0,0,0,0,0,0,0.00141278586124607,0,0,0,0,0,0,0.1023267083982,0,0,0.183801077291706,0,0.0582044837718274,0,0,0.102018677609234,0,0,0,0,0,0,0,0,0,-0.00187679748890749,0,0,0,0,0,0,0
