,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600886.SH,X600547.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X000301.SZ,X601991.SH,X600426.SH,X000983.SZ,X600219.SH,X002466.SZ,X000786.SZ,X601699.SH,X000807.SZ,X600160.SH,X600985.SH,X000630.SZ,X600176.SH,X600096.SH,X002128.SZ,X000408.SZ,X601168.SH,X000933.SZ,X000883.SZ,X600995.SH,X000877.SZ,X600352.SH,X600378.SH,X002353.SZ,X600863.SH,X600688.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.276579351605646,0,0,0.141840455986053,0,0,0,0.0328088965908416,0.0868005667125024,0,0,0,0.182270830074753,0,0,0,0.167556565552569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171350469347822,0,0,0,0,0,0,0,0.0372263946396894,0.206095912972496,0,0,0,-0.0070873150376048,-0.0749022694136296,0.0202372075209905,0,0,-0.0684863449432161,0,0
X600028.SH,0.472112185747693,0,0.102464108336509,0,0.134772685862266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014655016395637,0,0,0,0,0,0,0,-0.0977899425111563,0,0,0,0,0,0,0,0,0,0,-0.0412019763854422,0,0,0,0.115012730007158,0,-0.0134339478166314,0,0,0,0,0,0.0417890512505032,0,0.062512221441473,0,0,0.0109014846384202,0,0
X601088.SH,0,0.194272903182759,0,0,0.0912694612971707,0.161518054391679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00363278613778518,0,0,0,0,0,0,0,0,0,0,0,0,0.151397891354954,0,-0.0497601934486902,0,-0.0270991617857275,0,0,0,0,0,-0.00738434903117166,0,0,0,0,-0.0156367068693707,0,0
X600309.SH,-0.0139538168763882,0,0,0,0,-0.0410106420547101,0,0,0,0,0,0,0,0,0,0,0,-0.0617985021964854,0,0,-0.028281524158529,0,0,0,0,0.292082163154461,0,0,0,0.00738096875652367,0,0,0,0,0,0,-0.134917301026254,0.354727491497252,0,0,0,0,0,0,0,0.180238391592276,0.0219010068159778,0,0,0,0,-0.040995724414009,-0.0819502999060995,0,0,0,-0.0230484779200177,0,0
X601898.SH,0,0.363595566720147,0.144811920913456,0,0,0.172536851392035,0,0,0.139502180965725,0,0,0,0,0,0,0,0,0.0477735358494258,0,0,0.0591820803609483,0,0,0,0,0,0,0,-0.018700666044676,0,0,0,0,0,0,0,0.0018273982355755,0,0,0.0620319887763837,0,0,0,0,0,0,-0.020120430906885,0,0,0,0,0,0,0,0,0,0.0137150695708862,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100778696887781,0,0,0,0.45864243557786,0,0,0.267060961880002,0,0,-0.0878151094809776,0,0.113750337810034,0,0.130343296687743,0,0,0,0,-0.0138135404652215,0,0.123911514146832,0,0,0,-0.0146202222877672,0,0,0,0,-0.00510282178614802,0,0
X600019.SH,0,0.37311940565107,0,0,0.0630397902229205,0,0,0,0,0,0,0,0.0521944656418883,0,0,0,0,0,0,0.381859561412197,0.00743108204963306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0961363779728858,0,0,0.0965407121333387,0,0,0,0,0,-0.16178824785925,0,0,0,0,0,0.100251390196414,0,-0.192174668816451,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-0.0376325625443515,0,0,0,0,0,0,0,0,0,0,-0.0770894420641324,0,0,0.0869877254950506,0,0,0,0,0.262208038465812,0,0,0.300147714513653,0.0450571596156673,0.146253600457339,0.04598227484133,0,0,0,0,0.0388181564752636,0,0,-0.212469946253645,0,0,0,-0.131261994648683,0,0,-0.137307674103243,0,0,0,0,0,-0.0943995140044113,-0.132913316828415,0,0,-0.0464143366906751,0,0
X601600.SH,0.0383242274472214,0,0,0,0,0,0,0,0,0,0,0,0,0.174270760220661,0,0,0,0,0,0,0.0683137893462089,0,0,0,0,0,0,0,0,-0.0267407340688167,0,0.484561584855673,0,0,0,0,0,0.117028910530607,0.162038631125395,0.28218961782581,0,0.0722783742275745,0,-0.00954534569806013,0,0,0,0.0294159132523863,0,0,0,0,0,-0.0143630752240329,0,0,-0.00224046712022098,0,0
X600886.SH,0.359772170313047,0,0,0,0,0,0,0,0,0,0.113631994269751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748644833375857,-0.266057734267051,0,0,0,0,0,0,0,0,-0.101952853460361,0,0,0,0,0,0,0,0,0,0,0,-0.02371092838719,0.011980350138557,0.0350565845901925,0.0894492593520324,0,0,0,0,0
