,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X300072.SZ,X601600.SH,X600688.SH,X600547.SH,X601991.SH,X600795.SH,X600309.SH,X600362.SH,X600660.SH,X600188.SH,X600886.SH,X601992.SH,X600027.SH,X600157.SH,X600111.SH,X002466.SZ,X600489.SH,X600339.SH,X000898.SZ,X000709.SZ,X600299.SH,X000959.SZ,X601158.SH,X000792.SZ,X600583.SH,X000630.SZ,X000408.SZ,X000883.SZ,X002460.SZ,X600352.SH,X000983.SZ,X600219.SH,X000539.SZ,X000825.SZ,X000027.SZ,X000723.SZ,X002092.SZ,X600578.SH,X601699.SH,X600021.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.204215604380602,0,0.00994373620161404,0.0232368438186665,0,0,0,0,0.047441447638695,0,0,-0.0325624401196874,0,0,0,0,0,0,0,0,0,-0.00471350159368156,0,0,0,0,0,0,0,0,0,0.0672837877638408,0,0,0,-0.058202431089687,0,0,0,0,0.0225404504480858,0,0,0,0,0,0.0764937155738761,0,0,-0.00825301424119646,-0.00056250569497216,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0420227825567738,0,0,0,0.0728587977913434,0,0.222317610904581,0,0,0,0,0.10693750118898,0,0,0,0.0432436992272446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355554832449288,0,0,0,0,-0.0382196989109825,0,0.0457888901160373,0,0,0,0.0226792973528714,0.000710112112907694,0,-0.00241091843094115,0.0101940069120668,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.179731748947931,0,0.119433807473023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226950656871304,0.108234105708535,0.0761659352495998,0,0,0,0,0,0,0,0,0,0,0.0511601585730313,0,0,0,0,0,0,0,0.0663804754783094,0.00435933952339102,0,0,-0.00790386763522177,0.000535281226136972,0,0,0,0,0,0
X600019.SH,0,0,0.110361125832318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322475300161738,0,0,0,-0.0345452082414674,0,0,0,0,0,-0.0357996889995616,0,0,0,0,0,0,-0.0109145937224414,-0.022609230629396,0,0,0,-0.321895522588848,0.248298616334213,0,-0.0122239736478725,0.312470107403789,0,0,0,0,0
X600585.SH,0,0,0.0218115450770418,0,0,0,0,0,0,0.355449638843043,0,0,-0.0626959762264088,0,0.0793108890881595,0,0,0.103451138839504,0,0.222505079507512,0,0,0,0.0781127117242719,0,0,0,0,0,-0.158263901707358,0,0,0,0,-0.143634173638531,0,0,0,0,0,0,0,0,-0.138155971951423,0,0,0,0,0,0,0,-0.00152065130727373,0,0,0,0,0,0
X600011.SH,0,0,0.118814309619678,0.0251005299728238,0,0,0,0,0,0,0,-0.239011312912609,0,0,0.0792480707836215,0,0,0,0.0929880191198368,0,0.268591841190127,0,0,0,-0.106219283920203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483922687426764,0,0.0266080514910576,0,0,0,-0.0284124964623754,0,0,0.04144100500924,-0.018155411084062,0,0,0,0,0,0
X600010.SH,0,0,0,0.0762747754826801,0,0,0,0,-0.0469465406948037,0.133314804059109,0,0,0,0,0,0.0111127117754649,0.143604409640824,0,0,0,0,0,0,0,0,0.0216722002143995,0.197181399004048,0,0.0803536685466184,0,0,0,0,0,0,0,0,0,0.0159106835227356,0,0,0,0,0.0428684608984419,0.0979506264252958,0,0,0,0,0,0,-0.00387579086406571,0,0,0,0,0,0
X601898.SH,0,0,0.06134764507182,0,0,0,0,0,0,0,0,0,0,0,0,0.0252149713680426,0,0,0,0,0,0,0,0,0,0.0718776893816312,0,0,0,0,0,0,0.306750323733591,0.00875242799225072,0,0,0,0,0.244204050262632,0,0,0,0,5.42101086242752e-20,0,0,0.0288996563574407,0,0.0879169213179221,0,0,-0.000710311804100675,0,0,0,0,0,0
X300072.SZ,0,0.134658832888629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101122828953697,0,0,0,0,-0.182851727073765,0,0,0,0,0.259844140708382,0,0,0,0,0.170541457256722,0,0,0,0,0,0,-0.103293167458229,0,0,0,0,0,0.0186532550881626,0,0,0.067314290700947,-0.0171027182518289,0,0,0,0,0,0
X601600.SH,0,-0.084546383857265,0,0,0.0782035921436935,0,0,0,0,0,0,0,0,0,0,0.167150662995647,0,0.0567032286225681,0,0,0,0,0,0,0,-0.0175792712938214,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0216177661978711,0,0,0.535141223900266,0,-0.0819289750618385,0,0,0,0,0,0,0.0490364481935987,0,0.00819743101609095,-0.0091285235083856,0,0,0,0,0,0
X600688.SH,0,0.430781251471357,0,0,0,0,0,0,0,0,0,0,0,0,0.114105865743818,0,0,0,0.0889220408441894,0,0,0,0,0,0,0,-0.0601726851135111,0,0,0,0,0,0,0,0,0.0995369823021586,-0.0994259375815919,0,0,0,0,-0.0097841298939673,0,0,0,0,0.0645029488509204,0,0,0,0,0.000690710165802469,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0303019277620464,0,0,0,0,0,0,0,-0.00234505945408977,0,0,-0.00239651477377127,0,0,0,0,0,0,0,0,0.674234251979358,0,0,0,0,-0.0762307813183909,0,0,0,-0.0189576185847528,0,0,-0.0556597632602295,0,0,0,0,-0.00626580055513862,0,0.135134929915913,0,0,0,0,0,0,0,-0.00297827546270877,0,0,0,0,0,0
X601991.SH,0,0,0,0,-0.0334283273100419,0,0,0,0,0,0,0,0,0,0,-0.0492723314701498,-0.201204174977587,0.600376697695591,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.34985058842517,-0.0177010467168174,-0.0831053037075794,0.046706816045812,0,0,0,0,0,0,0,0,0,0.393446800376538,0,0.132566701163388,0,0,0,0,0,0,0,0,0.104328962281652,-0.0453554325074459,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0488759364772048,0.0220294249878166,0,0,0.00075347560049093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307277741432903,0,0,0.0441651222725636,0,0,0,0,0,0,0,0,0,0,-0.00046272052090717,0.0154245433042204,0,0.0547706451312572,0.0115182308758924,0,0,-0.000320963524113579,0,0,0,0,0,0,0
