,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600309.SH,X601898.SH,X600010.SH,X601991.SH,X600547.SH,X600688.SH,X601600.SH,X600660.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X600111.SH,X600516.SH,X600299.SH,X000709.SZ,X600176.SH,X600808.SH,X002466.SZ,X000629.SZ,X002460.SZ,X600489.SH,X600352.SH,X000825.SZ,X002110.SZ,X600801.SH,X300072.SZ,X600339.SH,X601158.SH,X600219.SH,X600583.SH,X000553.SZ,X601699.SH,X000883.SZ,X000932.SZ,X000786.SZ,X000959.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.147405188017305,0,0,0,0,0,0.146889021480215,0.0583192232477095,0,0.0503075008923265,0.0364209084954403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770472665347877,-0.0414446645537346,0.0149921320836086,0,0,0,0,-0.0125680651162456,0.217632698779595,0,0,0.00603842641468128,0,0,0,0,0,0,0,0.340446728479266,0,0.00755923136216139,0.0373971075892143,0,0,0,0,0,0
X600028.SH,0,0,0,0.202451511999077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193110276699943,0,0.385850168578248,0,0,0.0049461045108249,0,0,0,0,0,0,0,0.0212887931038843,0.0806717466175801,0,0,0,0.122083854375219,0,0,0,4.33680868994202e-19,0,0,0,-0.0604095504671267,-0.000393832559211475,0.0485491657932557,0,0,0,0,0,0
X601088.SH,0.219210587245983,0,0,0,0.0514490576562321,0,0,0.132136040228786,0,0,0,0,0,0,0.0987241921590108,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56763649093811e-05,0,0,0,0,0,0.0109906473825016,0,0.0140058635851026,0,0,0,0,0.212739366635783,0,0.0453053276800222,0,0,0.00504742719969757,0,0,0,0.0127432792209429,0,0,0,0,0,0
X600019.SH,0,0.119788016692011,0,0,0.121764131332892,-0.0100640331010191,0,0,0,0,0.0119968975553262,0,0,0,0,0,0,0,0.537603297734809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557006152751444,0,0,0,0,-0.0443058337152799,0,0,0,0.147989926123632,0,0,0,0,0,-8.67361737988404e-19,-0.00239077156472597,0,0,0,0,0.0586905947878366,0
X600585.SH,0,0,0,0,0,0.00715450737792184,0.0535842867012531,0,0,0,0,0,0,0,0,0,0,0,0.186871698494823,0,0,0,0,0,0,0,0.009842925544658,0,0.0612950901194055,0,0,0,0,0,0.506759888653809,0,0.055411115949245,0,0,0.146376708469901,0,0,0,0,0.0124803983817071,0,0,0,0,0.0173603571420988,0.00354289494040398,0,0,0,-0.0279722263545208,0,0
X600011.SH,0,0,0,0,0.127829668123249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77111518997575,0,0,0,0,0,0,0,0,0,0.0490310905168733,-0.0870731055146828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277064179624646,0.0344822244802469,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0620848923505705,0,0,0,0,0,0,0,0,0.0510451736915498,0,0,0,0,0,0,0,0,0.244755338653639,0,0,0,-0.0281104758845266,0,-0.352545142731577,0,-0.344746970936069,0,0.133198327438034,0,0,-0.0398252330134861,0,0,0,0,-0.0145126685624306,0,0,0,0.338141307106548,0,0,0,-0.240584184986174,0.0813600066094214,-8.67361737988404e-19,0,0.350243103890953,0,0,-0.538114248049668,0
X601898.SH,0,0.0951582242748431,0.229907432375953,0,-0.0838361750688459,0,0,0,0,0.13597834148189,0.067298737706641,0,0.130011958974308,0,0.187249955246957,0,0,0,0,0,0,0,0,0,0,0,0.0271904370302429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113569889594518,0,0.0757028159474558,0,0,0,0,0.189308691611689,0,0,-0.0315802701465481,0,0,0,0,0,0
X600010.SH,0.0270855715256305,0,0,0,0,0.0404340119951064,0.11330655396561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311693749311008,0,0,0,0,0.0973176572086205,0,0,0,0,0.00812970265137686,0,0,0,0,0,0,0,0,0,0,0.27875141007123,0,0,0,0,0,0.00366563955938784,-0.0581405567978641,0,0,0,0,0,0
X601991.SH,0,0.0513411570152802,0.012308971502607,0,0,0,0.0102834651857691,0.148849204537458,0,0,0,0,0,0.049254702243945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461754660336167,0,0,0,0,0,0.0555374633996511,0,0,0,0,0,0,0.0523347424252486,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0227504290151363,-0.0165018660636158,0,0,0,0,0,0
