,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600352.SH,X600660.SH,X000723.SZ,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X002466.SZ,X000709.SZ,X002460.SZ,X002271.SZ,X600299.SH,X000629.SZ,X601158.SH,X600219.SH,X600489.SH,X000553.SZ,X600808.SH,X000883.SZ,X000630.SZ,X000990.SZ,X600583.SH,X600985.SH,X600426.SH,X002110.SZ,X000027.SZ,X000825.SZ,X600157.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0567892740134324,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0422940895240203,0,-1.73472347597681e-18,0.0724659277310502,0,0,0,0,0,0,0.0562377844248955,0,0.0102125305287155,0,0,0,0,0,0,0,0,0,0,0,0.0196070665421556,0.08643419820651,0,0,0.0353847296396028,0,0,0,0,-0.00239952901024145,-0.0118857000512582,0,0,0,0,0,0
X600028.SH,0,0,0.0558566273323619,0,0,0.0277406935972972,0,0,0.0741352886041597,0,0,0,0,0,0,0.117938188330289,0,0,0,0,-8.67361737988404e-19,0.0590559561803378,0.0345186292728479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262057718425561,0,0,0.0862014861019244,0,0,0,0,0,0,0,-0.0274026416559925,0,0,0,-1.73472347597681e-18,0,0
X601088.SH,0,0,0,0.109322757867369,0,0.0557082394776027,0,0,0,0,0,0,-0.180260024299055,0,0,0,0.155805515219655,0,0,0,0.0208575652223818,0.194778836268192,0,0,0,0,0.02152689075594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609312340279023,0,0,0.02506518619155,-0.0330673197210673,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.08604838566219,0,0,0,0,0,0,0,0,-0.00236210811560043,0,0,0,0,0,0,0.488169274473984,0,0,0,0,0,0,0,0,0,0,-0.0153498872973497,0,0,0,0,0,0,0,0,-0.00713813810182932,0,0,0,0,0,0,0,0,0,-0.00548305455726767,0,0,0,0,-0.0188138919116739,0,0
X600019.SH,0,0,0.0211334650757429,0,0,0,0,0,0.0204175893936878,0,0,0,0,0,0.0474015591649164,0,0.0208696974451708,0,0,0,-5.42101086242752e-20,0.202633516048962,0,0,0,0,0,0.00574056768709334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758313729651314,0,0,0,0,0.135765144786762,0,0,8.67361737988404e-19,-0.0280025907638754,0,0,0,-0.00548106535112863,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.148113434531101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.10891548205653,0,0,0,0,-0.0383186573152598,0.0721221284015788,0,0,0.171229547844343,0.445229105620623,0,0,0,0,0,0.049147128365326,0,0,0,0,-0.0317453015588209,0,0
X600011.SH,0,0,0,0,0,0,0,0.0420250570733051,0,0,0,0,0.205195483048184,0,0,0,0,0,0,0,0,0,0,0.525997928377048,0,0,0,-0.12596488675421,0,0,-0.00177712860356352,0,0,0,0,0,0,0,0,0,0.0268638806264567,-0.0270729320470316,0,0.0337319056046812,0,0,0,0,0.0426569740318472,0,0,0.0393298236444886,0,0,0,0,0.00187017916810508,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0723230521912851,0,0.016658709256986,0,0,0,0.191693185667954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339019220833846,0.267021718321058,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.109849178420559,0,0,0.0648938973826276,0,0.171373561978874,0,0,0.0262038015030486,-0.0482733298081516,0,0,0,-0.0557302558959487,0,0
X601600.SH,0,0,0,0,0,0,0,0.373178774766285,0,0,0,0,0,0,0,0,0,0,0.23526673019826,0,0,0,0,0,0,0,0,0,0,0,0.0296513249851782,0,0,0,0,0.0409439684438808,0,0,0,0,0,0,0,0.0866202509868547,0.0200879452347212,0.0791296616447437,0,0,0,0,0,0,0,0,0,0,0.00877387594479662,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0413642140499995,0,0,0,0,0,0,0,-0.0587075606976737,0,0,0,0,0,0,0,0,0,0,0,0.0143343640035192,0,0,0,0.691860977279522,0.0670282105281492,0,0,0,0,0,-0.0423473867696041,0,0,0,0,0.0674166876957551,0,0,0.00907759052930768,0,0.0809600588033573,0,0,0.0200970664065953,0,0
