,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X600886.SH,X600660.SH,X601898.SH,X600801.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600489.SH,X600352.SH,X601991.SH,X600688.SH,X600795.SH,X000786.SZ,X600126.SH,X600529.SH,X002466.SZ,X600111.SH,X600027.SH,X600299.SH,X601992.SH,X600315.SH,X600176.SH,X002353.SZ,X600426.SH,X002075.SZ,X002080.SZ,X000723.SZ,X600486.SH,X600612.SH,X600219.SH,X002409.SZ,X601158.SH,X600516.SH,X000932.SZ,X000898.SZ,X000883.SZ,X000959.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169219351302705,0,0,0,0,0.067372216495213,0,0,0.228121923201579,0,0,0,0,0.00591801859909004,0,0,0,0,0,0,0.0903264549609855,0,0,0,0.0100354993404383,0.0266496845578948,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0174269463713836,0.00240885974088001,-0.0104843902174726,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0548877297420722,0,0,0,0,0,0.0407965833877033,0,0,0,0,0,0,0,0,0,0,0.0341600125009903,0,0,0,0.123759420453893,0,0,0,0,0.0912459951750575,0,0,0,0.0571569063678664,0,0,0,0,0,0.0432388687788719,0,0,0,0,0,-0.00232072729953407,0.00662418958215188,-0.0090887017930504,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,-0.0281921000985083,0,0,0,0,0,0,0,0,0.0356245380852927,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0556822918803827,0.383797465083409,0.000228368914142483,0.0668536432948071,0,0,0.116203643790855,0,0,0,0.0177726757188295,0,0,0,0,0,0,0.0381079648353805,-0.04143298552963,0.00431520652196639,-0.0133597219020534,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.142423710452182,0,0,0.0940148527838157,0,0,0,0.508886529720489,0,0,0,0,0,0,0,0,0,0,0.0339130648543522,0,0,0,0.0949664489972169,0,0,0,0,0,0,-0.00602907508798859,0.0122966884886848,0,0,0.0704551740398046,0,-0.010300620721763,0,0,0,0,0,0,0,0,-0.00740579450836323,0.00718669138319657,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.117441662529354,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343964774314996,0,0,0.099183115941303,0,0,0.00636333407816061,0,0,0,0,0.0305214787170043,0.00696858752911167,0.0144721015213981,0.327484832672173,0,0,0,0,0,0,0.0869742622335495,0,0,0,0,0,0,0,0,-0.00330432742315756,0,0,0,0,0,0,0
X600547.SH,0,0,0,0.150308415313014,-1.38777878078145e-17,0,0,0.0292962728834037,0,0,0,0,0,0,0,0,0,0,0,0.582415942460418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212863532630096,0,0,0,-0.00945521010156124,0,-0.00578764130484973,0,0,0,0,0,-0.0344017721371792,-0.0220879324637539,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0411588243824674,0,0,0,0.000370598794636366,0,0,0,0,0,0,0,0,0,0,0,0.0608431317625315,0,0,0,0,-0.00345746241240965,0,-0.0434538119662664,0,0.0899195471616688,0,0,0,0.146514484062581,0,0,0.0159033728574136,0,0.0941779251917439,0,0,0,0,0,0,0,0,0,0,0,-0.0364399605955386,0.00250431326713748,-0.00465122178493635,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136660217670478,0,0,0,0,0.23020032067356,0,0.264058723682009,0,0,0.0144487598141017,0,-0.217134078517796,0,0,-0.0521461643453565,0.203082412854639,0,-0.295976088511799,0.0873359552074006,0,0,0,0,0,-0.0241579955275201,0,0,0,0,0,0,-0.00513367539645509,-0.136364489494699,0,-0.0108696602947014,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.102873587715082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657988511053086,-1.73472347597681e-18,0,0.0848970588449816,0.144992368650596,0,0.187330411143266,0,0.0711857750376184,0,0,0,0.0515386282331733,0.0397822819093304,0,0,0.0569775182912103,0,0.0870996617528092,0,0,0,0,0,0,0.221006024709001,0,0.00812086546604036,-0.0270257463246612,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681943488355828,0,0.119262224973056,0,0.0416615509213713,-0.100707011614375,0,0.257098546679407,0.14615679063539,0,0,0,0,0.00325846713528808,0,0,0,0.0078749814702788,0,0,0,0,-0.0123941055150395,0,0,0,0,0.194754261145936,0,0.0426199281404853,-0.0392025642834057,0,0,0,0,0,0
X002271.SZ,0,0,0,0.402926011749464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573456155096658,0.177825375426038,0.0133568878788008,-1.73472347597681e-18,-0.158491814130913,0,0,0.0637602940704505,0,-0.0246850839482295,0,0,0,0,0.178518936737354,0,0,-0.0233489876928437,0,0,0,0,0,0,0,0,-0.00243385713987182,-0.00683388000149118,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0.0341662732778957,0,0,0,0.0441382642608887,0,0,0,0,0,0,0,0,0,0,0,0,-0.00375822063873511,-0.00720100910734816,-0.0595736328668945,0,0.076196151794697,0,0,0,0,0,0,0.0130608513486381,0,0,0,0,0,-0.0315828573513116,0,0,0,0,0,0,0.0364705682025687,0.0504632798922643,-0.0035043905368618,0,0,0,0,0,0,0
