,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600886.SH,X600660.SH,X600362.SH,X600111.SH,X600352.SH,X600188.SH,X600795.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600176.SH,X000786.SZ,X002460.SZ,X000709.SZ,X600516.SH,X002271.SZ,X600489.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600299.SH,X600219.SH,X000553.SZ,X601158.SH,X600808.SH,X000630.SZ,X600583.SH,X600985.SH,X601699.SH,X000027.SZ,X600339.SH,X000301.SZ,X000401.SZ,X000825.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0692373129277306,0,0.0484977224083363,0,0,0,0,0,0,0,0.10677856572616,0,0,0,0,-0.011561216249356,0,0,-0.0101054859029042,0.0518775236414947,0,0,0,0,0,0,0,0,0,0,0.061678414223336,0,0,0,0,0,0,0,0,0.0492918859100228,0.0687844496901428,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000494839573549296,0,0
X600028.SH,0,0,0.0987850926961228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501280492496697,0,0,0,0,0.0430992003100598,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498420875737301,0,0,0,0.174707155510661,0,0,-0.0253560379952184,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.269998541940448,0.0665098604877412,0,0,0,0,0,0,0,0,0,0,0,-0.143020067670174,0.0537216428402063,0,-4.33680868994202e-19,0.00330472759501774,0,0,0,0,0.0919729721075853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212925284737036,0,0,0,0.134379828932834,0,0,0,0.0251478338287184,-0.00056706821356254,0,0,0,0.0195762063416043,0,0
X600585.SH,0,0,0,0,0,0.120622591289578,0,0,0.0441292924330531,0,0,0,0,0.0436984154958599,0,0,0,1.73472347597681e-18,0,0,0.030539341400973,0.353536450910678,0,0,0,0,0,0,0,0.0583880183354909,0,0,0,0,0,-0.0404575789913394,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0666688813511944,0,0,0,-0.00963582849309836,0,0,0,0,0.0272099730898385,0,0
X600019.SH,0,0,0.067137348101841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161291901854182,0,0.0566812256363556,0.228345801112362,0,0,0,0,0,0,0,0,0,0,0,0.100754321330533,0,0.0548316880312906,0,0,0,0,0.00397422745630744,0,0,0,0,0,0,0.00424175738477491,0,0,0,-0.00470430990940099,-0.0461880933317695,0,0,0,0.000741405235669937,0,0
X600309.SH,0,0,0,0.528568023177004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188846506370383,0,0,0,0,0,0,0,0,0,0,0,0.256389467572425,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326418852826394,0,0,-0.160381973688812,0,0,0,-0.0252932582407041,0,0,0,0,0.0154194478666663,0,0
X600011.SH,0,0,0,0,0,0.0539795022796706,0,0.0559924767656742,0,0,0,0,0,0,0,0,0,0.168882149229663,0,0.408872589805031,0,-0.00798676981434509,0,0,0.262689817274125,0,0,-0.0145745078824499,0,-0.0106695777374636,0,0.0660290938738566,0,0,0,0,0,-0.0711643438609709,0,0,0,0,0.0419330462116716,0,0,0.0736258760752575,0,-0.0314620982520554,0,-0.039869691571725,0,0.0441051123909177,-0.0112058660706905,0,-0.158980418838376,0,0.0302316099267901,0,0
X600010.SH,0,0,0,0,0,0,0.351179797299827,0,0,0,0,0,0,0,0,0.166639523001863,0.0511244636521886,0.0228642340560245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452786567841638,0,0,0,0,0,0,0,0,0,0.106818308166836,0,0,0.0203558323715465,0,0,0,0,-0.0539822255264771,0,0,0,-0.0429862942827058,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00510110469755264,-0.0331176173265263,0.0249993355551048,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.943255057024728,0,0,0,0,0,0.0631534082598277,0,0,0,0,0,0,0,-0.00428632825672862,0,0,0,-0.0288780843175325,-0.0638918993409883,0.00793238297207533,0,0.0843640598922905,0,0,0.0184119270277476,0,0
X601600.SH,0,0,0,0,0,0,0,0.225546296946331,0,0,0,0,0,0,0,0.201523207440822,0,0,0,0,0.0208801898583138,0.0495245559943084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210527600716791,0,0.207785483609059,0,-0.00807552266624031,-0.0444130698538882,0,0,0,-0.0318499936922756,0,0
