,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X600803.SH,X600489.SH,X600027.SH,X000983.SZ,X601991.SH,X000807.SZ,X600176.SH,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X000933.SZ,X600985.SH,X000408.SZ,X600688.SH,X000629.SZ,X300037.SZ,X600612.SH,X600096.SH,X000723.SZ,X002353.SZ,X002128.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.1022999942986,0,0,0,0,-0.105409353811276,0,0,0,-0.00660662553685486,0,0,0,0,0.139663824659454,0,0,0,0,0,0,0,0,-0.144066245888152,0,-0.000578708631981503,0,0,0,0,0,0,-0.0151591580770809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939513655591412,0,0.062152570345717,0.0161601568073774,-4.33680868994202e-19,0.00904201940928523,0,0,0,0,0,0
X600028.SH,0.531481878952802,0,0,0,0,0.119380333225469,0,0,0,0,0,0,0,0,-0.0548172941998891,0,0,0,0.041759179951334,0,0,0,0,0.0113799727796107,0.0360928995507475,0,0.00576943374203192,0.110155384093258,0,-6.93889390390723e-18,0.0699783497321793,0,0,0.0508399131370892,0.0269759200037228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00744348650880385,0,0,0,0,0,0,0
X601088.SH,0.0883528816322721,0.0137883132719953,0,0,0.0807393903729039,0,0,0,0.242945682457635,0,0,0,0.0119204203876247,0,0,-0.0136617897944096,0,0,0,0,0,0,0,0,0,0,0,0.0266146694469127,0,0,0,0,0.164972511297656,0,0,0,0,0,-0.0184771327922777,0.0446827818639871,0,0,0,0,0,0,0,0.0600144503621733,0,0,0,0.00710591166507937,4.33680868994202e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0464359389073327,0,0,0,0,0,0.217005473723043,0,0.0150303478238296,0,0.115359631047835,0,0,0,0,0,0,0,0.0278281404496483,0,0.110165765853974,0,0,0.0289255935508907,0.00155454483988416,0,0,0,0,0,0,0.0399442536723808,0,0,0,0,-0.126458595673667,0,0,0,0,0,0,-0.0106413487204869,0,0,-0.0318161417881832,0.0358224820141727,-0.0303023698286501,0,0,0,-0.207410780698577,0,0
X600188.SH,0,0,0,0,0,0.149106636186008,0,0,0.108325238280267,0,0,0,0,0,0,0,0,0,0,0,0,0.0395722175249899,0,0,0,0,0,0,0,0.428225204246108,0,0,-0.14908658957869,0,0,0,0,0,0.050952606740113,0,0,0,0,-0.0427151644090884,-0.0743563210893111,0,0,0.043206713847005,0,0,0,0.0490383828592296,-0.088918048928551,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.141742437080427,0,0.0606557614111574,0,0,0,0,0,0.233871162299933,0,0,0,0,0,0.224530713584243,0,0,0,0,0.152016066656822,0,0,0,0,0,0,0,0,0,0.25503951013592,0,0.179022187799374,0,0.0327304488604533,0,0,0.244510474985237,0,0,-0.159092502884343,-0.190968189177039,0,0,0,0,0,-0.0218103797947122,0.0219794282594903,0.00740236998431779,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0906397780794789,0,0,0,0,0.132952902650289,0,0,0,0,-0.101296781297706,0,0,0,0,0,0.0650362906374295,0,0.168057674069987,0.203780301873311,0,0,0,-0.247615460099926,0,0,0.135995702368537,0,0,-0.0697029832223225,0,0,0,0,0,0,0,0,0,0,0,0,0.00929996290380878,0,0,0,0,0.00922856114473185,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.171363845108487,0,0,0,0,0,0,0,0.187457816786013,0,0,0,-0.0171063293627955,0,0,0,0,-0.0288005800993259,0,0,0,0,0,0,0.247126404325272,0,0,0,0.0317967371823307,0,0.0847817826361348,0,0,0,0,0,0,0,0,0.202887198308864,0,-0.120940599975206,0,0,0,0,0,0,-0.0225106943654501,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.144501873017892,0,0,0,0,0,0,0,0,0,0.07717636199631,0,0,0,0,0,0,0,0,0.0239804724785663,0,0.334655386550672,0.160459974993526,0.0468660936654369,0,0.0360613566348451,0,0,0.0127918219377864,0,0,0,0,0,0,0.112950084755715,0.0773194128575157,0,0,-0.155119425848075,0,0,0,0,0,0,0,0.00157528409755198,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.228080160337829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00798280854436171,0.402236759529947,0,0,0,0,0,0.0622553174560625,-1.73472347597681e-18,0,0,0,0.0646279430219792,0,-0.00684484970839552,0,0,0,-0.045922841703608,0,0,0.126813488955599,0.27642416607462,0,0,0.000822344511581134,-0.0129965702439535,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0113149827529525,0.100506270357721,0,0.0192466686305784,0,0,0,0,0,0.0452474496164548,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.299670256720086,0,0,0,0,0.0991065593112868,0.0784272901549313,0.211786733303112,0,0,0.0694081232540824,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00577675448526538,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0855817830016752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0644448872376016,0,0,0,-0.0462458402966227,0,0,-0.0589964159246773,0,0.1375220102615,0,0.0303993280032581,0,0,0,0,0.0144514021679148,0,0,0.0921474189188858,0,0,0,0.0522892488876988,0,0,-0.136036926295727,0,0.0130228787884456,0,0,0,0,0,0
X600886.SH,0.21780880060551,0,0,0,0,0.131130560419383,-0.180617684504211,0.290861259189875,0,0,-0.0186072899051928,0,0,0,0,-0.0781103040926716,0,0,0,0,0,0,0,0,0,0,0.259829433460209,0.187777209521014,0,0,0,0,0,0,0.0484135810931467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579406340963519,0.0933861495090792,0.0617288807890226,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.113316989785602,0,0.0924442368312271,0,0,0,0,0,0,0.140777438493785,0.208468043867649,0,0,-1.73472347597681e-18,0.129630265808578,0,0,0,0,0,0,2.16840434497101e-19,0,0.0198279024693708,0,0,0,0,0,0.00981720627653424,0,0,0,0,0.0271786743521178,0.0384370619561566,0,0,0,0,0,0,0,0,0,-0.060928210671348,8.67361737988404e-19,-0.0149421322659778,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0187978685058967,0,0,0,0,0,0,0,0,0,0,0.742766601278235,0,0,0,0,-0.070526466695615,0,0,0,0.10557045621446,0,0.00208689703916409,0,0,0,0,-0.0118089535974595,0,0,0,0,0,0,-0.0193903440839638,0,0,0,0.0746415008292299,0,0.0169962031176043,0,0.166170677941792,0.0423878418082545,0,0.0196750109848998,0,-0.00478019127145933,0.0131877942697809,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.175788957086335,0,0,0,0,0,0,0.845792650984583,0,0,0,0.147608810728694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00750436976750963,0,0,0,0,-0.0698093521490365,0,0,0,0,0.0968138231194086,-0.00982959416815558,0,0,0,0,0,0.131519690773986,0.0341445045880009,-0.0599088127316781,-0.17729262209579,0,0,0,0,0
