,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X600010.SH,X000301.SZ,X600188.SH,X002466.SZ,X601600.SH,X600011.SH,X600660.SH,X601898.SH,X000708.SZ,X002271.SZ,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X002080.SZ,X601991.SH,X000825.SZ,X300037.SZ,X600795.SH,X600803.SH,X000786.SZ,X000408.SZ,X600219.SH,X600141.SH,X600295.SH,X000807.SZ,X000959.SZ,X000932.SZ,X002326.SZ,X000983.SZ,X600096.SH,X002353.SZ,X600027.SH,X000898.SZ,X600688.SH,X000723.SZ,X601699.SH,X000027.SZ,X600352.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.00298752439155235,0,0.0213533035691269,-0.03481601170151,0,0,0,-0.0205068523015899,0,0,0,0,0,0,0,0.0234994054322084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736932348140442,0.0515844494590738,0.0911850564300186,0,0,0,-0.0258456148380564,0,0,0,0,0,0,0
X600028.SH,0.068479581650403,0,0,0,0,0,0,0,0,0,0.0248083163583612,0,-0.0664298247898979,0,0,0,0,0,0,0,0.0873649824000038,0,0,0,0,0,0.0440839343508586,0,0,0,0,0,0,0,0.0730166483535373,0,0,0,0,0,0,0.00612436662511642,0,0.0154898173722093,0.104936661074171,0,0,0.0933223414570954,0,0.0486575655970993,0,-0.0054415236800462,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.038921163134348,0,0,0,0,0.090564431416264,0,0,0,0,0,0,0,0,0,0,-0.0875852402264394,0,0.0512340525596576,0,-0.0457369299561119,0,0,0.112828034321669,0,0,0.164665210333685,-0.00982407065115811,0.150290685515664,-0.0208486021878563,0,0,0,0.0202759477184907,0.100568816716281,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.00546187940382749,0,-0.0561891129433449,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00143869006396552,0,0.25370791540302,0.00991458147264485,0,0,0.0947614803972966,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0288283641656004,-0.00752085901867906,0,0,0,0,0,0,0.0382333672777313,0,0,0,0,-0.00957562483022522,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0210270138918442,0,0.305281061660991,0,-1.38777878078145e-17,0,0.561432105748569,0,0,0,0,-0.0799953143277056,0,0,0,0,0,0,0,0,0,0.0308905419205612,0,0,0,0,0,0.00611867661539156,0.165809818537663,0,0,0,0,-0.0217304141842816,0,0,0,0,0,0,0,0,0,0,0,0.131883704071097,-0.18886698021766,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0230156979130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237631562290486,0,0,0,0,0,-0.0364596019876619,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0893388096113573,0,0,0,0,0,0,0,0,-0.0830500056653128,0,0.037029539625737,0,0.644872570939467,0,0.0192000629813773,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115452728451542,0,0,0,0,0,0,0,0,0,-0.0391657928954557,0,0,0,0,0.0384338715855983,0,0,0,0,0,0,0.0577448421838262,0,0,0,0.556866101172122,0,0,0,0,0,0.00578975239986232,0,-4.33680868994202e-19,0,0,0,0,-0.0486176510090022,0,0
X000792.SZ,0,0,0,-0.0471341589444253,0.0575089314157521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00927172618408731,0,0,-0.202473509446827,0.0161423598793704,0,0,0,0.209675008271605,0,0,0.165890693361543,0,0,0,0.0216618150881562,0.171028216571445,0,0,0,0,0,-0.318379080952469,0,0,0,0.0158916884558119,0,0,0.115305688237797,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.344195019449333,0,0,0,0,0.138881561279133,0.211848816066988,0,0.0847260003797672,0,0,0,0,0,0,0,0,0,0,0,0.0131033305001237,0,0,0.274570818042324,0,0,0,0.189344178523403,0,0,0,0,0,0,0,0.0844579251100806,0,0,0,0,0,0,0,0,-0.212462385698039,0,0,0,0.106124282113229,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.297176485436675,0,0.428324523597102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119121598204469,0,-0.0330407426573253,0,0.00326186810753412,0,0,-0.0790548302209621,0,0,0.0760060668245469,0,0.285896740681916,0,-0.0114370457984852,0.0125450083834677,0,0,0,0,0,0,0,0,0,0,0,-0.00160234063243733,0,0,0,0,0,0,0
