,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X601600.SH,X000301.SZ,X600111.SH,X600426.SH,X002466.SZ,X600010.SH,X601898.SH,X600011.SH,X600886.SH,X600352.SH,X600219.SH,X600188.SH,X600489.SH,X600801.SH,X600803.SH,X601991.SH,X600795.SH,X600486.SH,X002353.SZ,X600688.SH,X600299.SH,X601168.SH,X002080.SZ,X000932.SZ,X000830.SZ,X000807.SZ,X000630.SZ,X600315.SH,X600027.SH,X300037.SZ,X000898.SZ,X600516.SH,X000723.SZ,X601992.SH,X600157.SH,X600399.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0605112794142045,0,0,0,0,0.000820607360985783,0,0,-0.0608060824818144,0,0.0689459783519815,0,0,0,0,0,0.0137377280787015,-0.00926363371385765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952664316546942,0,0,0,0,0,0,0.00377451524986958,0.0462291685563906,0,0,0,0,0,0,0,0,0,0,-0.00422649999747345,0,0,0,0,-0.0018910607139588,0,0
X600028.SH,0,0,0,0,0,0.0214866852606008,0.0935738549531076,-0.00515240675292658,-0.0258362964584737,-0.00979314473658618,0,0,0,0.0235931565983769,0.0203729292914828,0,0,0.0530282812566499,0,0.00474928233981413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238419955375828,0,0,0,0,0,0,0,0.0598405054340481,0,0,0,0,0,0,0,-0.0240173917343201,0,0,0,0.0297018370043547,0,0
X600309.SH,0,0,0,0,0,0,0,0.0218581522754816,0,0.23614752411325,0,0,0,0,0,0,0.11779179271944,0.0354556064213612,0,0,0,0,0,0,-0.117503342295163,0,0,0,0,0,0,0.279048723024692,0.0163590884852934,0,0,0,0,0,0,0,0,0.0461767982863796,0,0,0,0,0.0279799246998494,0,0,0,0,0,0.012579102841346,0,0,0,0.0230877032435812,0,0
X601088.SH,0,0,0,0,0,0,0.0598046568928686,0,0.0123987792942415,0,0,0.0476149133979518,0,0,0,0,0,0,0,0,0.0489841900484436,0,0,0,0.04226785772035,0.451072521992317,0,0,0,0,0,0,0,0,0,0,0.05781063464127,0.148967534775436,0,0,0,0,0,-0.205746767426463,0,0,0,0,0,-0.0242884574909049,0,0.0241290019431414,0,0,0,0,-0.0497218804217617,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.142506157033674,0,0,0,0,0,0,0,0,0,-0.0294564295110549,-0.0730456981840099,0.0959612992023826,0,0,0,-0.0151839222189926,0,0,0.273768705256399,0,0,0,0,0,0,0,0.107337219073186,0,0,0,0,0,0,0,-0.162674313589643,0,0,0,0,0,0,-0.0548259690172501,0.00299210838695121,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.11842115469244,0,0,0,0,-0.0146718296096336,0,0,0.0945553677730689,0.178477613985749,0,0,0,0,0,0,-0.00336127258888775,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.259768623419387,0,0,0,0,0,0,0.486863525380361,0,0,0,0,0.152949587540067,-0.0869493636736957,-0.00727736615561847,0,0,0,0,0.0219153204626058,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.712406039112168,0,0,0,0.101722499149765,0,0,-0.156236597770394,0,0,0,-0.108131058482731,0,0,0,0,0,0,0,0.140461408331625,0,0,0,0,0,0,0,0,0,0,0,-0.00762880671307801,0,0,0,0,0,0.187512382085464,0,-0.0403610940678586,0,0,0,0,-0.0185878547007445,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.435523225875777,0,0,0,0,0,0,0.0915142951351977,0.128078137960956,0,0.153635674254739,0,0,0,0,0,0,0,0,-0.313977313911327,0,0,0,0,0,0,0,0.401366188907613,0,0,0.173767839822603,0,0,0,0,0,-0.0396411472883071,0,0,0,0,0.0284949467596228,-0.20726880753286,-0.0427139542774197,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.0795585058131177,0,0.275813955187534,0,0.0348855696527429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138713079152147,0,0.0423983097323881,0,0,0,0,0,0,0,0.107230556420967,0,0.0430193161348077,0,0,0,0,0.0430911415376692,0,0,0,0,0,0.0414725561711188,0,-0.0130086222697299,-0.0123409377121101,0,0,0,0,0,0
X002271.SZ,0,0,0.059129077807962,0,0,-0.149351572325387,0,0,0.182023170607455,0,0,0,0.00158759377820186,0.120760952519769,0,0,0,0,0,0,0,0,0,0,0.102484855731844,0,0,0,0,0,0,0.0428761661755101,0,0,0,0,0,0,0.0429055306707418,0,0,0,0,0,-0.0726948487700862,0,0,0,0,0,0,-1.73472347597681e-18,-0.0631127187119322,0,0,0,0.0397318406069566,0,0
