,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X601991.SH,X300072.SZ,X601600.SH,X600309.SH,X600660.SH,X600547.SH,X600886.SH,X600188.SH,X600362.SH,X600027.SH,X000709.SZ,X600157.SH,X002466.SZ,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600299.SH,X600008.SH,X000883.SZ,X600352.SH,X002460.SZ,X600219.SH,X600578.SH,X600176.SH,X000723.SZ,X002271.SZ,X600583.SH,X000630.SZ,X600021.SH,X000408.SZ,X000539.SZ,X000792.SZ,X000027.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.330807020369495,0.00398112438313025,0,0,0,0,0.0575557997605876,0,0,0,0,0,0.126611218756431,0.0217671519979269,0,0,0,0,0,0,0,0,0,-0.00804708732816894,0,0,-0.0134607379041264,0,0,0,0.00467533446848326,0,0,-0.025171936323607,0,0,0,0,0,0,0,0.0461276149028627,0,0,0,0,0,0,0,-0.00664193640410872,0,0,0,0,0,0,0
X600028.SH,0,0,0.0185613883158216,0,0,0,0,-0.0279366972407696,0,0,0.10292333504737,0,0,0,0,0,-0.135802192664007,0,0.038444182957206,0,0,0,0,0,-0.0522834014954416,0,0.0996129264530196,0,0,-0.0763633695798953,0,0,0,0,-0.0438478968909906,0,0,0.00112133766930194,0,0.0692863071329908,0,0,0,0,0,0,0,0,0,-0.0412205644401134,-0.00887418544515383,0.00728999460878449,0,0,0,0,0,0
X601088.SH,0,0,0,0.0728130270592091,0,0,0,-0.0292046469314108,0,0,0,-0.0455821461279646,0,0,0,0,0,0.0181882913724283,0,0,0,0,0,0,-0.0237219169528215,0,0.198655289706449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562418260097005,-0.0776433532148292,0,0,0,0,0,0,0,-0.0142930708285519,0,0,0,0,0,0
X600019.SH,0,0,0.0836745383174177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118512233700754,0.0678379655214101,0,0,0,0,0.110048771771826,0,0.260010013923698,-0.0439473440019845,0,0,0,0,0,0,-0.020546407697548,0,0,0,0,0,0,0,0,0,0,0,0,0.0156071796248149,0,0,-0.0119389652579545,-4.33680868994202e-19,0,0,0,0,0,0
X600011.SH,0,0,0.184880648904731,0,0,0,0,0,0,0,0,0.0660888822196234,0,0,0,0,0.01416182735552,0,0,0,0.392238659585261,0.0370228286717451,0,0,0.0412238745681258,0,0,0,0,0,0,0.0754461575686266,0,0,0,0,0.175581761481053,0,0,-0.095495692909161,0,0,0,-0.0529029855253998,0,0,0,0,0,0,0.0724250894771035,-0.0503614893878174,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0527310817314642,0,0,-0.00489182054714197,0,0,0,-0.0736418128046371,0,0,-0.0825375944950345,0,0,0,0,0,0,0,0,0.105956790903096,-0.133066235176378,0,0.0421830192545556,0.0183718297868257,0,0,0,-0.0488029823670209,0,0,0.038204327491632,0,0,0,0,0,0,0,0,0.126568658560576,0,0,0,0,0,0,-0.0154756776462738,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0155625279274363,0.0191656448965168,0.0930435332379714,0,0,0,0,0,0,0,0.021796613588993,0,0,0,0.128741458012519,0.110814211476531,0,0,0,0,0.112095470921061,0,0,-0.0226380283503014,0,-0.0631866696879096,0,0,0,0,0,0,0,0,0,0.0907319820634106,0,0,0,0,0.0149439711179433,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235922398617377,0,0,0,-0.121379339700146,0,0,0.652284969795957,0,-0.167838903978218,0,0,0,0.028740074225316,0,0.484994272726642,0,0.295254081602195,0,0,0,0,0,0.166899182951948,0,0.0134350243719348,0,0,0,0,0,0,0,0,0,0,-0.0217177436015281,0.0495713975286625,0,0,0,-0.206284987550038,0,0
X601898.SH,0,0,0.187155027781317,0,0,0,0,0,0,0,0,0,0,0,0.0532345327223679,0,0,0,0.0376092874968832,0.302252541905317,0,-0.00278731576697847,0,0.0477494466437812,0,0,0,0,0,0,0,0.00221482991747231,0,0,0,0,0.126724680669617,0,0,0,0.151298962401036,0,0,0.00494428930786967,0,0,0,0,0,0,-0.00100033433705456,-0.00301514039689396,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,-0.0196511059027924,0,0,0,0,0,0,0.0103419988986864,0,0.0753447697274916,0,0.0235353949201025,0.0477915746075647,0,0,0.142361512647668,0.0537165828609626,0,0,-0.00205847333691466,0,0,0,0,0,0,0,0,0,0,0,0.037107000825394,0,0,0,-0.065549207340212,0,0,-0.0439031062286774,0.106392318269762,0,0,0,0,0,0,0.00170499838907113,0,0,0,0,0,0
