,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X601992.SH,X000898.SZ,X600176.SH,X002466.SZ,X600111.SH,X000709.SZ,X600516.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600157.SH,X600219.SH,X600801.SH,X000825.SZ,X000883.SZ,X000786.SZ,X000553.SZ,X002470.SZ,X000408.SZ,X600583.SH,X600612.SH,X002110.SZ,X002271.SZ,X000539.SZ,X600021.SH,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.228387582443298,0,0,0,0,0,0,0,0,0,0,0,0,0.0619681261771272,0,0,0,0,0,0,0,0,0.130743360627964,0,0,0,0,0,0,0,0,0,0,-0.00245410233197031,0,0,0,0.019484213812826,0,0,0,0.116986687502065,0.0516516215604828,0,0,0.0328422643629238,0,0.075276000009885,0.0301580824889446,0.0224038455245802,-0.0131627434436858,0.0084257911504689,0,0,0,-0.0100444386358287,0,0
X600028.SH,0,0,0,0,0,0.0511378440571938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104253921130444,0,0.119075415407733,0,0,-0.0723201114638572,0,0,0,0,0,0,0.0312047230527649,0,0,0,0,0.19109477190891,0,0,0.384415371799143,0,0,0.00111654325380081,0.127387106720891,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,-0.0422704501804778,0,0,0,0,0,0,0,0,0,0,0,-0.141379945844624,0,0,0,0.358946120523366,0,0,0,-0.0895148135000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508188640136739,0,0,0,0,0,0,0,0.0110644259551171,0.0115049129755278,-0.118202698140954,0,0,0.103426807292224,0,0
X600585.SH,0,0,0,0,0,0.164335032129544,0,0,0,0,0,0,0,0,0,0,0,-0.0309718383457608,0,-0.0337735216374553,0,0,0,-0.0521926498270389,0,0,0,0,0,0,0,0.23311776570061,0,0,0,0.431850965531707,0,0,0,-6.93889390390723e-18,0,0.00989897378159335,0,0,0,0,-0.0597646931119621,0,0,0,0,-0.0303367937358775,0.0394838846484434,0,0,0,0.00397015478061413,0,0
X600019.SH,0,0,0.0610839382004883,0,0,-3.46944695195361e-18,0.123720006971056,0,0,0,0,0,0,0,0,0,0,0,0.133386855672854,0,0.333627685191843,0,0,0,0,0,0,0,0,-0.0895619430979788,0,0,0,0.0191371635385605,0,0,0,0,0,0,0,0,0.0817548822160328,0,0.0860200613033505,0,0,0.00997440404119519,0,0,0,0.0105780152476418,0.00368281120260599,0,0,0,0.0136118403426349,0,0
X600011.SH,0,0,0,0.145490541528887,0,0,0.168310476003288,0,0,0,0,0,0,0,0,0,0,0.653494880799065,0,0,0,0,0,0,0,0,0,0,0,-0.0998246936143333,0.0928638873696737,0,0,0.0504203831084358,0,0,0,0,0,0,0,0,0,0.0292488476282055,0,-0.11507399657932,0,0,-0.12342253279259,0,0,4.33680868994202e-19,0,0,0,0,-0.0372327116146186,0,0
X600309.SH,0,0,0,0,0,0.304861276141085,0,0,0,0,0,0,0,0,0,0,0,0,0.253498474232405,0,0,0,0,0,0,0,0,0,0,-0.184384095021905,-0.31460557984392,-0.33789118204648,0,0,0,0,0,0,0.242187568999018,0,0.340012429909048,0,0,-0.0251832681625265,0.326411513011057,-3.46944695195361e-18,0.0560961655937644,0,0,0,-0.387845809036382,-0.0431321039883706,8.67361737988404e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.18610393888321,0,0,0,0,0,0,0,0,0,0,0.117705915789731,0,0,-0.0505395450315156,0,0.0429853245309215,0,0,0,0,0,0,0,0,0,0.0111047825619495,0,0,0,0,0,7.38972631597191e-05,0.0357248355892981,0,0,0,0.0731276987265128,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385136800872532,0.0361323800931605,0,0.248781663602129,0,0,0,0.77706884308494,0.0381214256231134,0,0,0,0,-0.1531454194256,0,0,0,0,0,0,0,0,0.0487611116901665,0,0,0,0,0,0,-0.00103307870498549,-0.00958877567650662,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284305453655569,0,0.120528310219914,0,0,0,0.103035402152,0,0.0805500478065357,0,0,0.0290056659545822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344244915071664,-0.031414056249805,0,0.131414643624749,0.0772179451413303,0,-0.0115818044278588,0.0195705715876698,0,0,0,0.00826254216252281,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511242844388383,0,0,0,0.0248550485061153,0.132027155323248,0,0,0,0,0.0351632874192199,0,0,0,0,0,-0.0271913933838923,0,0,0,0,0.0416478506048268,0,0,0,0,0,0,0.076734141194508,0,0,0,0,0,-0.0114411619737786,0,0,0,0,0,0,0
