,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X002460.SZ,X600660.SH,X600019.SH,X000708.SZ,X002271.SZ,X002466.SZ,X600547.SH,X600176.SH,X000786.SZ,X600362.SH,X000301.SZ,X600426.SH,X600011.SH,X600111.SH,X601600.SH,X600886.SH,X601898.SH,X600010.SH,X600486.SH,X600352.SH,X002080.SZ,X601991.SH,X600188.SH,X002353.SZ,X600219.SH,X600803.SH,X600801.SH,X600795.SH,X600489.SH,X300037.SZ,X600688.SH,X600299.SH,X601168.SH,X600516.SH,X600027.SH,X002497.SZ,X002409.SZ,X600399.SH,X600157.SH,X601992.SH,X000932.SZ,X300073.SZ,X000027.SZ,X000898.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0172117257612381,0.0221647989003779,0,-0.00944102885315054,0,0,0,0,0.0588743300286233,0.0260056357401528,0,0,0,0,0,0,0,0,0,0,0,0.0697412824521218,0,0,0,0,0,0,0,0,0,0.0443496210056391,0,0,-0.00121105218258402,0,0,0,0,0,0,0,0,0,0,-0.00103731912162882,0,0,0,0,5.42101086242752e-20,0,0
X600028.SH,0,0,0,0,0,0,-0.029726860435555,0,0,0,-0.0226563007277151,0,0,0,0,0,0.0633310362068176,0,0,0,0.157722573466486,0.0505245454512313,0,0,0,0.00181166949346611,0,0,-0.0352547322611198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16099642843775,0,0,-0.002699836714853,-0.00395990490358893,0,0,0,-0.00458901730027445,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297087311076055,0,0,0,0,0,0,0,0.237280625722915,0,0.0261858266530484,0,0,0,0,0,0,0,0,0,0,0,0,0.0941478450475286,0,-4.33680868994202e-19,0.0402792599202839,0.0936441986549456,0,0,0,0,0,0.0495401552591771,0.229985900133091,0,-0.0421416318262901,0.0940340346845446,0,0,0,0.0282370291467801,0,0
X601088.SH,0,0,0,0,0,0,0.0841420597665035,0.0589402491842657,0,0,0,0,-0.034963646627062,0,0,0,0,0,0,0,0,0.178584832061869,0,0,0,0,0,0.453578112480606,0,0,0,0,0,0,-0.0442258651057379,0,0,0.077218131002188,0,0,-0.00677706200534425,0,-0.0993522129779979,0,0,0,-0.0729657872968792,0,0,0,0,0.0157193034088761,0,0,0,0,-0.0135880220329298,0,0
X600585.SH,0,0,0,0,0,0.0674900879051273,1.04211535019113e-05,0,0,0,0,0,-0.0390045941053118,-0.0563186073944825,0,0,4.33680868994202e-19,0,0,0,0,0.0568691237969846,0,0,0,0,0,0,0,0,0,0.162806621266486,0,0,-0.0930563396600246,0,0,0.0871483192783132,0,0,0,-0.0767862160950988,0,0,0,0,-4.33680868994202e-19,0,0.041895535323238,0,0,0.00809518582721571,0,0,0,0,-0.00752792095139116,0,0
X002460.SZ,0,0,0,0,0,0,0.36498039144098,0,0,0.158441699207573,0.314670750548683,0,0,0.0556150264295774,0,0.0559671836652145,0,0,0,0,0,-0.128203563842286,0,0,0,0,0,0,0,0,0,0,0,0,0.177056260112671,0,0,0.195394691815534,0,0,0.253235926041237,0,0,-0.113110642226281,0,0,0.126599385271578,0,0,0,0,0,-0.0696805038620669,0,0,0,0.016768906487437,0,0
X600660.SH,0,0,0,0,0,0.0533018404836005,0,0,8.67361737988404e-19,0.0618256214478657,-0.0232292510480741,0,0,0,0,0.0303590540528343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380527159921296,-0.0902888252318598,0,0,0.0354129713165649,0,0,-0.0298746765772681,0,0,0,-0.0603039775864455,0.127782248921033,0,0,0,0,0,0,0.0664762970857098,0,0.0517827408562682,-0.0960563345382045,0,0,0,0.00302608121435988,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.296397839583141,0,-0.0504073819639747,0,0,0,-1.73472347597681e-18,0,0,0,0.270832446310105,0,0,0,0,0,0,0,0,0,0,0.11612011518057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250155083604691,0,0,0,-0.0614802550176659,0,0.000909658866328572,-0.0330900883104614,0,0,0,0.00756026099159281,0,0
X000708.SZ,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.00270242825138528,0,0.116374294987265,0,0,0.0619441066244489,0,0,0,0,0,0,0,-0.107175748656707,0,0,0,0.150792484138363,0,0,0,0,-0.0141465262363936,0,0,0.0579380888115231,0,0,0,0,0.0640198708170878,0.00637250854727743,0,0,0,0,0.239921224439708,0,0,-0.0466745363952081,0.0700524292987159,0,0,0,0.00842998848837303,0,0
X002271.SZ,0,0,0.0485076622689911,0,0,0,0.191297362193575,0,0,0,0.0950172898920899,0,0.191342328021466,0,-0.039558454842325,0,0,0,0,0,0,0,0,0,0,0.0709702304891811,0,0,0,0,-0.051981075978673,0,0,0,0,0,0,0,0,0,-0.0188184685982379,-0.0836591352389807,0.151478052438903,0,0,0,0.0504362597718532,0,0,0,0,-0.0145464618518296,0,0,0,0,0.00582059506314904,0,0
