,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X002271.SZ,X000708.SZ,X002460.SZ,X600660.SH,X600011.SH,X600886.SH,X000786.SZ,X600010.SH,X601898.SH,X600362.SH,X600801.SH,X601600.SH,X600176.SH,X600489.SH,X600188.SH,X600352.SH,X600426.SH,X601991.SH,X600795.SH,X600111.SH,X600688.SH,X002080.SZ,X600027.SH,X600299.SH,X601992.SH,X000932.SZ,X600803.SH,X002466.SZ,X000301.SZ,X002075.SZ,X300037.SZ,X600219.SH,X600529.SH,X600315.SH,X600486.SH,X002353.SZ,X000027.SZ,X000883.SZ,X000898.SZ,X601158.SH,X000723.SZ,X600612.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085292099343665,0.00716190310540427,0,0,0,0.0234806223853868,0,0,0,0,0,0,0,0,0,-0.00244629262097345,0,0,0.0205340241013756,-0.0193734032401616,0.0770093221349535,-0.0245417891602772,-0.021122981192095,0,0.0293844319252892,0.155620052811686,0,0.0948749886196584,0,0,0,0.0339961320047694,0,0,-0.0139537301810606,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.00420653315346747,0,0,0.0547685628893629,0,0,0,0,0,0,0,0,0.0627762247968679,0,0,0,0,-0.000252939862672659,0,0,0,0.0145276005451921,0,0,0,0,0,0,0,0.00857819717202562,0,0.0285197084174374,-0.04908555233126,-0.0142501463499335,0,0,0,0,0,0,0,0,0,0,0,-0.00745335905560675,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.114155709086945,-0.00573702911998201,0,0,0,0,0,0,0,0,0,0,0.293981633399094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028659124811733,0,0,0,0,0,0,0,0,0,0,0,0,0.000201146426023391,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.167814781790077,0,0,0,0,0.00948358698267176,0,-0.0132348939553455,0.171032569266657,0,0,0,0,0,0,0.00548586847784329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084732797613209,0,0.0250447680685401,0,0,0.049299171790025,0,0,0,0,0.0997657426719578,0,0,0,-0.00253288968566678,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.272171229016575,0.0185723933418702,0,0,0,0,0,0,-0.123871272426904,0,0,0,0,-0.121920761792804,0.16910999802852,0,0,0.304076257521029,0,0,0,0,0,0,0,0,0,0,0.138371205209731,0,0,0.137655737458309,0,-0.0819761887259184,0,0.168969354716607,0.00277922567401133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.00887422217216813,0,0,0,0.00301320483565664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812867280617677,0,0,0,0.0381207018587623,0,0,0,0,0.0436153082909598,0.00251784278788083,0,0,0,0,0,0.504793704563703,0,0,0,0,0,0.0475518985066186,-0.00822703922569007,0,0,0,-0.235148202276257,0,0
X600547.SH,0,0,0,0,0.0288660267469124,0,0,0,0.0295805907002143,0,0,0,0,0,0,0,0,0,0,0,0.638717633198688,0,0,0.0143783343809115,0,0,0.160589272018967,0,0.0837410976569824,0,0,0,0,0.0707413633292412,0,0,0,-8.67361737988404e-19,0.00547058939229592,0.000513479674349218,0.0395707594082974,0,0,0,0,0,0,0,0,0,0,-0.0261813614965871,-0.001728406004631,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.00998225149062008,0,0,-0.0954051501515031,0,0,0,0,0,0.19135521300886,0,0,0,0.16487391040112,0,0,0,0,0,0,0,0,0,0.232707600964163,-0.0769153763062937,0.0277933301811088,0,0.367408039724596,0,0,0.0224144356940813,0.163408121127199,0,0,0,0,0,0,0,0,0,0.0290169580580197,0.049562746068826,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.0361079924310885,0,0,0,0.071215534142412,0.0624672428531444,0,0.170615987475794,0,0,0,0,0,0,0,0,0,0,0,0,0.175104377944351,0,0,0,0,0,0.030379272943381,0.0431336314680783,0.0561314373124791,0,-0.144564639292151,0,0,0,0.121471559022689,0,0,0,0,0,0,0,0.0641798032549034,0,0.0478029868945949,-0.0170536838802192,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.138228825215895,0,0,0.177218379115807,0,0,0.0481814317772886,0,0,0.0362764977453453,0,0,0,0,0,0,0,0,0,0.0501978863495212,0,0.0850856665955613,0,0,0,0,0.0228983056814609,0.276725697650667,0,0,0.257209520937209,0,0,0.0346562924736777,0,0,0,0,0,0,0,0,0,0,-0.0227514860831263,-0.0234454699670637,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130322689653363,0,0,0.102977285034867,0,0.0914216112825388,0,-0.0789818823720645,0,0,0,0,0,0,0,0,-0.0281406479348222,0,0,0.0832355465176026,0.254836747030278,0,0,0,0,0,0,0,0,0,0,0.0365331969412558,0,0,0,0.0426479132425527,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0134953685594652,0,0,0,0,0.0692816011838115,0,0,0.39506557204551,0,0,0,0,0,0,0,0,0,0,0,0,0.914605439807264,0.232776895728565,0,0,0,0.00722384956641307,-0.0695711356766143,0,-0.246780567744973,0,0,0.108816275512183,0,-0.0219828801789958,0,0,0,0,0.0474683523465597,0,0,0,-0.00630079736418704,0.0104622156942838,0,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0961072009829675,0,0,0,0,0.118231355804249,0,0,0,0,0,0,0,0,0,0.0142612763720135,0,0.186104511199474,0,0,0.0511323176154017,0.0437818151710384,0,0,0,0,0,0,-0.0358647461056056,0.113014547341723,0.0154672831771647,0,-0.00559002220192598,-0.109874073382602,0,0,0,0,0,0,0.102724974364111,0,0,0,0.0601930434394454,0,0,-8.67361737988404e-19,8.67361737988404e-19,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0.151394804701576,0.04345350817888,0.0527316310840257,0,-0.255766970398828,0,0.423165979627207,0,0,0.151666692332692,0,0,0,0.245523789801205,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0708590021148192,0,0,0,-0.258412938960098,0,0.155324353510824,0.096698911119914,0,0,0,0,0,0,0,0,0,0,0.0221246452759408,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.082424129269789,-0.171669512597489,0,0,0,0,0,0,0,0.0151038475816118,0,0,0,0,0.178087549600889,0.171311969895734,0,0,0,0,0,0,0,0.0394876785018267,0,0,0,0,0,0,0,0,0,0,0,0.649751575978277,0,0.186529011231056,0,0.0948705670950242,0,0.0440544374414152,0,0,0,0,0,0,0
