,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X300072.SZ,X600688.SH,X601898.SH,X600795.SH,X601991.SH,X600309.SH,X601600.SH,X600660.SH,X600547.SH,X600886.SH,X600362.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600008.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X002271.SZ,X000723.SZ,X000408.SZ,X600578.SH,X600583.SH,X000630.SZ,X600021.SH,X000539.SZ,X600176.SH,X000792.SZ,X000027.SZ,X600160.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.215881475180583,0.068934799687676,0,0,0,0,0.0332679963146223,-0.0217947686367226,0,0.0191489519098894,0,0,0,0.158663662348254,0,0,0.117252708126954,0.0101581583670952,0,0,0,-0.0271507058740962,0,0,0,0,0,0,0.04330073105683,0,0,-0.0211408897407827,0,0,0,0,0,0,0,0.00445621991061935,0,0.0141283315304329,0,0,0,0,0,0,0,-0.00975049131184585,0.00127040654647704,0,0,0,0,0,0
X600028.SH,0.0442926556576503,0,0,0,0,0.0139899752360068,0,0.0225041012088451,0.0699524875028543,0,0,0,0,0.0501980729835859,0,0,0,0,0.0785436795264509,0,0,0,-0.0926231252392421,0,0,0,0.0918791143839101,0,0,0,0,0,-0.0765446228308117,0,0,0,0,0,0,0,0.020773761047261,0,0.00147127696563031,0,0,0,0,-0.0357539714090374,0,0,-0.00222796738625259,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0202709744041,0,0,0,-0.0601896668428665,0,0,0,0,-0.028643141211041,0.00729781326175794,0,0,0,0.00388526146214952,0,0,-0.0411419252404896,0,0,0,0,0,0.173222742253445,0,-0.00797680935873547,0,0,0,0,0,0,0,0.012224790936646,0,0,0,0,0,0.25443509028015,0,0,0,0,0,0,-0.0795687264478793,0.00695914974058184,-0.00244049944852313,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0343314354100782,0,0,0,0.0197449503574275,-0.108334086766383,0,0.14371264883787,0,0,0,0.00790491767366853,0,0,0,0,0,0,0.527925954823531,0,-0.0359298229009015,-1.73472347597681e-18,0,0,0.0140577977618957,0,0,0,-0.0580064774381133,0,0,0.045143066236643,0,0,0,-0.0322338286290145,0,0,0,0,0.0856700508026293,0,0,-0.0351176972453704,0,0,0,0,0,0
X600011.SH,0,0,0.121060343175652,0,0,0,0,0,0,0,0,0,0.0825213632520954,0,0,0,-1.73472347597681e-18,0,0,0,0.356815147722159,0.043111020186926,0.00143085848839465,0,0,0,0,0,1.0842021724855e-19,0,0.0815901932322774,0,0,0,0,0,-0.0905190240126131,0,0,0.112666261424667,-0.0143713309463111,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0756624544742034,-0.0492973301510184,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0360228233810437,0,0,0,0,0,0,0,-0.0175388898270584,0,0,0,0,0,0.301534967974315,0,0,0,-0.00705937737294127,0.152533320141487,0,0,0,0,0,-0.0388540062811603,-0.0144439436765996,0,0,0,0,0,0.178888259646529,0,0,0,-0.0425816973302564,0,0,0,0,0,0,0,0,0,-0.0210731839705137,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.15390988149089,0,0,0,0,0.0237286481732247,0,0,0,-0.0550632573117182,-0.00438734105227619,0,0,0,0,0,0,0,0.100786191579129,0,0,0,0,0.106492816314152,0,0,0,0.0488466683103666,0,0,0,0,0,0,0,0,-0.0121844811217483,0,0,0,0,0,0,0.064557089220677,0,0,0,0,0.0259817599329504,0,0,0,0,0,0
X601992.SH,0,0,0,-0.106648990649445,-0.227773974746204,0,0,0,-0.108056445206575,0,0,0,0,0,0.256102469616411,0,0,0,0,-0.144672724313485,0,0.733914270649375,0,-0.18093545466967,0,0,0,0,0.0786110591706459,0,0.365406616856495,0,0,0,0,0,0.0323630151273301,0,0,0,0,0,0,0,0.00112534799588043,0,0,0.230395328643952,0,0,0,0.0357198310671779,0,0,0,-0.170987230787217,0,0
X300072.SZ,0,0,0,0,-0.789284685470882,-0.118119686302371,0,0,0,0,0,0,0.105469146261686,0.576582091152301,0,0,0,0,0,0,0,0,-0.109312431720825,0,0,0,0,0,0,0,0.104972340679461,0,-0.247721088672565,0,0,0,0.301501852081885,0,-0.110523796190768,0,0,0,0,0.387224103099515,0,0,0,0,0,0,0.0852955201575069,0.0112414211028406,0,0,0,0,0,0
X600688.SH,0.324026197209659,0,0,0.00326912499086973,0,0,0,0.00150863998419186,0,0,0.00974744477454702,0,-0.102676398680037,0,0,0,0,0.0842847795645711,0.0519189117291317,0,0,0,0,0,0,0,0,0,0,0.0191927223217075,0,0,-0.0582079986023566,0,0,0,0,0,0,0,0.116002452612324,0,0,0,0,0,0,0,0,0,0,-0.0109775825173635,0,0,0,0,0,0
