,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X601699.SH,X002460.SZ,X000708.SZ,X000301.SZ,X600010.SH,X600362.SH,X600111.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X600160.SH,X600489.SH,X000786.SZ,X600985.SH,X601991.SH,X000408.SZ,X002271.SZ,X000933.SZ,X000630.SZ,X600176.SH,X000807.SZ,X000932.SZ,X601168.SH,X002128.SZ,X600348.SH,X600612.SH,X600219.SH,X600096.SH,X601666.SH,X600995.SH,X000027.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.320391204715371,0,0.299049775056439,0,0,0,0.0228126650811936,0,0,0,0.138435761615982,0,-0.355878979481241,0,0,0,0,0.1145290266444,0,0,0,0,0,0,0,0,0,-0.0842061414917075,0,0,0,0,0.184238838099854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100763981545038,0,0.00606199307391104,0.102017553487569,0.23311529662391,0,0,0,0
X601088.SH,0.0535260445589166,0,0,0,0.0807774295561695,0.110999601122572,0,0.0564393307720862,0,0,0.151597199253269,0,0,0,0,0,0,-0.0563414075726394,0,0.110037460933668,0,0,0,0.0835208382380375,0,0,0,0.0373752065172866,0,-0.299603908453897,0,0.178466105353993,0,0,0,0.106370144906744,0,-0.125526026444928,0,0,0.0855101520831586,0,0,0,0,0,0.0389675083543571,0,0,0,0,-0.00306514538675496,0.00641989977734984,0,0,0,0,0,0
X600028.SH,-1.73472347597681e-18,0,0,0,0,0.108935028677766,0,0,0,-0.197970446105958,0,0,0.187516508310243,0,0,-0.0835827167238753,0,0,0,0,0,0,0,0,0.048152144246407,0,-0.101132386380121,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.12777043752947,0,0,0,0,0,0,0,0,0,0,0,-0.021025814739744,0.0282640904974121,0,0,0,0,0,0
X600309.SH,0.24575181233377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762633653375551,0,0.0227409729648565,0,0.0773472053589984,0,0,0.103818147536835,0,0,0,0,0.226245170771998,0.134920849611321,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0414180220231901,0,0,0,-0.0163912047149026,0,0,-0.0113192074563097,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.25487488605287,0,0,0,0,0,0,0,0,0,0,0,-0.0597041243606266,0,0,0,0,0,0.210666045239767,0,0.0144815229688707,0,0,0.0256867965567115,0,0,0,0,0,0,0,0,0,0,0,0,0.0836807420869686,0.225465504016454,0,0,0,0,0,0,0,0,0.00502868564862383,0,0,0,0,0,0,0
X601898.SH,0,-4.33680868994202e-19,0.245690752498947,0,0.294104842506366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115621596843324,0.307342789544357,0,0,0,-0.0485319759725867,0,0.0929099799646887,0.0643788339924124,0,0,0,0,0,0,0,0,0.0683586671913907,0,0.010811209557268,0,-0.00645934101610516,-0.181413270664986,0,0,0,0,0,0,-0.0150138262059756,0.0726209590606913,0,0,0,0,0
X600019.SH,0,0,0,0,0.0872299636374059,0,0,0.00578198452116208,0,0,9.02438656417287e-06,-4.33680868994202e-19,0,0,0,0,0.109966289192288,0.0347315258364903,0.0568682686477702,0,0,0,0,0,0.112972032108103,0,0,0,0,0,-0.0117178347683042,0,0,0,-0.105005335008628,0,0,0,-1.73472347597681e-18,0,0.171173333198285,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0186550237782747,0,-0.0103941195314684,0,0,0,0
X600011.SH,0.154019625282085,0,0,0,0,0.0734496736379782,0,0,0,0,0,0,0,0,0.0430871088801286,0,0,0,0,0,0,0,0,0,0.3514611801383,-0.0529003863767317,0,0,0,0,0,0,0.137738244937084,0,-0.0247607291235745,0,0,0,0,0,0,0,0,0,0,0,0,0.0688580864809456,0,0,0,-0.00586266069182675,0,0.0652761179807857,0,0,0,0,0
X600585.SH,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.307840639244544,0,0,0,0,-0.0400270179201257,0,0,0,0,0,0,0,0,0,0,0.0759712774086108,0,0,0,0,0,0,0.0609995296649004,0.0303454922226841,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.000360414075269377,0.00574858307610487,-0.0648302691759918,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0874413140475936,0,0,0,0,0,0,0.0986589209596313,0,0,0,0,0,0,0,0,0,0,0,0.0450730298980537,0,0,0,0.0394401341583217,0,0,0,0,0,-0.191573125639804,0,0.0116402250753276,0,0,0,-0.0249952272726804,0,0,0,0,0,0,0.0377636113346598,0,0.111615233773435,0,0.0212077842260176,0,0.128203869959329,0.196422939207838,0,0,0,0
