,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600886.SH,X600547.SH,X600585.SH,X601600.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600426.SH,X002466.SZ,X000983.SZ,X600219.SH,X000786.SZ,X601699.SH,X000807.SZ,X600160.SH,X600985.SH,X600176.SH,X000630.SZ,X600096.SH,X000408.SZ,X002128.SZ,X601168.SH,X000933.SZ,X000883.SZ,X000877.SZ,X600995.SH,X600352.SH,X600378.SH,X002353.SZ,X600863.SH,X600612.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.382133389699965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160348070666151,0,0,0,0,0,0,0,-0.00777674610483505,0,0.341648599709347,0,0,0,0,0,0,0,0,0,0,0.120678541649508,0,0,0,0,0,0,0.0624278960205813,0,-0.0218311979812897,0,0,0.0637917454850019,-0.0742175152466799,0,0,0,-0.0999871467121804,0,0
X600028.SH,0.422028052848963,0,0.18772472167056,0,0.0803428130944077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141868424072399,0,0,0,0,-0.115827895896056,0,0,0,0,0,0,0,0.0112616443559342,0,0,0,0,0,0,0,0.154346213798616,0,0,0,0,0,0,0,0,0.0649097843548005,-0.014160907369118,0.0576346359763185,0,0,0.0073157788281162,0,0
X601088.SH,0,0.0594681046007315,0,0,0.215954796156388,0,0,0,0.0165190721804663,0,0,0,0,0.109466004497391,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725021145928923,0,0,0,0,0,0,0.126023072272831,-0.0741302658633823,0,0,0,0,0,0.0801525845610943,-4.33680868994202e-19,-0.0188049286825666,0,0,0,0,0,0,0,0.0546961540166735,0,-0.00986163409655629,0,0,0,-0.0233635204371541,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0276054695374514,0,0,0,0,0,0,0,0,0,0,0,-0.0589281834033133,0,0,0,0.374096214548397,0,0,0,0.0396076191696908,0,0,0,0,0,0,0,0,0.0755082217607126,0,0,0,-0.0412000075573198,0,0,0.0613085932401813,0.0186847305109776,0,0.185289240674474,0,0,-0.063916702947344,-0.0724879709852872,0,0,0,-0.0269435232333624,0,0
X601898.SH,0,0.352135108028634,0.205719461922637,0,0,0.199054293314751,0,0,0,0.013318215885424,0,0.0732053059872122,0,0,0,0,0,0,0.0287747535552743,0,0,0.0334448111572834,0,0,0,0,-0.0251058307165767,0,0,0,0.000829061858651049,0,0,0,0,0,0,0,0,0.122656318292254,0,0,0,0,0,0,-0.0567564775666717,0,0,0,0,0,0,0,0,0,0.016070205411674,0,0
X600188.SH,0,0,0,0,0.037758780086583,0,0,0,0,0,0,0,0,0,0.07060343564299,0,0,0,0,0,0,0,0,0,0,0,0,0.11242768999545,0,0,0.451550893484221,0,0,0.256304335899,0,0,-0.0974570691368949,0.116501915936457,0,-0.0357580258616453,0.102242805332494,0,0,0.004853325088967,0,-0.00375853019856801,0,0.159386929093962,0,0,0,0,0,0,0,0,-0.00922453623613194,0,0
X600019.SH,0,0.346554736716402,0,0,0,0,0,0,0,0,0,0,0.268750288233653,0,0,0,0,0,0.0936859127733652,0.103777524527573,-0.0139215429660627,0,-1.73472347597681e-18,0,0,0,0,0,0.0784622415708007,0,0,0,0,0,0,0,-0.184543244370603,0,0,0,0,0,-0.0719217647879076,0,0,-0.0205782537892159,-0.0200398604103978,0,0.249060507910727,0,0,0.066844894670235,0,-0.0095059109400551,0,0,-0.0204470134071987,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.0105013354539679,0,0,0,0,0,0,0,-0.0813815878764207,0,0,0.0465034946211438,0,0,0,0.30245991998005,0.289903632327899,0,0,0,0.162134580160591,0.0628392958833465,0,0,0,0,0.0348708497424651,0,0,-0.252023887106132,0,0,-0.130680708477822,0,0,0,-0.12577992353848,0,0,0,0,-0.013703824429404,-0.0811327262998851,-0.160847993611648,0,0,-0.0432693724928806,0,0
X600886.SH,0.298338550358803,0,0,0,0,0,0,0,0,0.111021035808297,0,0,0,0,0,0,0,0,0.00604892772434152,0,0,0,0,0,0,0,0,0,0,-0.252666750093039,0,0,0,0,-0.137434674920651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481439892696503,0,0.0890719455794616,0,0,0.00513476678297713,0,0
X600547.SH,0,0,0,-0.0486880657412858,0,0,0,0,0,0,0.0183190088315513,0,0,0,0,0,0,0.111706129829621,0.665821801013499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489829867269709,0,0,0,0.0537094620492226,0,0,0.0766126178945712,0,0.0175191374921342,0,0,0,0,0,0,0,-0.367411696717043,0,0,0.0365537598102743,0,0,0,0.0131468074381853,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247399819540661,0,0,0,0,0,0,-0.11660241367493,0,0.220098113010402,0,0,0,0.0370350960541281,0,0.0920674576073907,0,0,0,0,0,0,0,-0.018650213902863,0,0,0,0.104001681789052,0.0414497546144757,0,0.1207273818463,-8.67361737988404e-19,0,0,0,-0.0162897954167255,0,0.0978498260825989,0,0,0,0,0.00222951816155471,0,0
