,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X601158.SH,X000898.SZ,X600352.SH,X600157.SH,X000709.SZ,X600547.SH,X600489.SH,X002353.SZ,X000831.SZ,X000539.SZ,X000629.SZ,X000630.SZ,X600219.SH,X000027.SZ,X600660.SH,X600008.SH,X000825.SZ,X600808.SH,X600021.SH,X600549.SH,X002470.SZ,X600578.SH,X600098.SH,X600315.SH,X600307.SH,X000060.SZ,X601699.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.415714739897564,0,0,0,0,0,0,0.054070710068575,0,0,0.227480867569093,0.0182509932550826,0,0.0799896753056464,0,0,0.0126161690723253,0,0,0,0,0,0.00767605216403404,0,0,0.0725275226559177,0,0,0.0367205052564388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153965092689291,0.00411436438550702,0,0,0,0,0,0
X600028.SH,0.452671452473202,0,0,0.0854935869204198,0,0,0,0,0.125013818011441,0,0,0,0,0,0,0,0,0,0,0.00578382069978038,-0.0377316540088104,0,0,0,0,0,0,0.0894372323037068,0,0,0,0,0,-3.46944695195361e-18,0.176432212225783,0,0,0,0,0,0,0,0,0.0948468334945521,0,0,0,0,0,0,0,-0.00864146403690317,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0800045970580738,0,0.214635244430928,0,0,0,0,0.291458427467241,0,0,0,0,0.0415380378358833,0.0314925446543552,0,0.07056452921637,0,0,0,0,0,0,0,0,0,0.0594575183801626,0,0,0,0,0,0,0,0,0,0,0,0.146320987243136,0,0,0,0,0,0,0,0.00392590793104457,-0.000607056952741083,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0960577831016498,0.168233170488821,0,0,0,0.23999146015172,0.0860202874294981,0,0,0,0,0.0620885429753428,0,0,0,0,0,0.137168234885933,0,0,0,0,0,0,0,0,0,0,0.0893592439057808,0,0,0,0,0.033153504220434,-0.0277478069822441,0,0,0.139957664783993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.00579338834201128,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.0904501739455257,0,0,0.156540840598836,0,0,0,0,0,0,0,0,0,0.0207628261022348,0,0,0,0,0,0,0,0,0.0807726883329653,0,0.0170605417384815,0,0,0,0,0,0.00272453048321299,0.161335298000668,0,0.0345836930222031,0,0.195244524793992,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0371172565250259,3.46944695195361e-18,0,0,0.0274897213396705,0.134112340388105,0,0,0,0,0,0.102466182619029,0,0,0.363265293678192,0,0,0,0,0.0287552002058048,0,0,8.67361737988404e-19,0,0,0,0,0,0.056269369512882,0,0,0,0,0,0,0,0,0,0,0,0.0127634285195639,0,0,0,0,0,0
X600010.SH,0,0,0,0.0973109975379185,0,0,0,0,0,0,0,0,0.0563687941127352,0.0552983199279023,0,0,0,0,0,0,0,0,0.524817013291865,-0.0185983705102338,0,0,0,0,0,0.0629763300591538,0,0,0,0,0,0,0,0,0,-0.0261811342210047,0.154043483415849,0,0,0.0264390786107196,0.363094167876257,0,0,0,0,0,0.0303688046685724,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.00588308854607821,0.14498286031436,0,0,0,0,0,0,0,0,0,0.0168427136594349,0,0,0,0,0,0,0,0,0,0,0,0.22107249031325,0.00769268972559307,0,0,0,0,0.0400350279411,0,0,0,0,0.0722644778686411,0,0,0,0,0.40331299123332,0,0,0,7.37608060932403e-06,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.339886056384752,0,0.00338365592812705,0,0.110887151914029,0,0,0.166057958011568,0,0.234405874681073,0,0,0,0,0,0.0574957343228847,0,0,0,0,0,0,0,0,0.10969493935868,0,0.0212155813913303,0,0,0,0,0.0868047110401495,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148786098017828,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,-0.0466581273307427,0,0.0712681542041958,0,0.26080154069433,0,0,0,0,0,0.282364444659062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114743951168569,0,0,0,0,0,0.167169216044922,0,0.0789636124250299,0,0,0,0.11539626785564,0,0,0,0,0.0408939261176535,-0.0013017639600704,0,0,0,0,0,0
