,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X600886.SH,X600157.SH,X601992.SH,X600623.SH,X600299.SH,X000709.SZ,X000792.SZ,X000898.SZ,X600660.SH,X601158.SH,X002075.SZ,X002466.SZ,X600309.SH,X000883.SZ,X000539.SZ,X600578.SH,X600583.SH,X600547.SH,X000027.SZ,X600352.SH,X600489.SH,X000630.SZ,X000629.SZ,X000959.SZ,X300072.SZ,X002470.SZ,X000983.SZ,X600160.SH,X600098.SH,X600176.SH,X600021.SH,X600022.SH,X601699.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.123104146173288,0,0,0.0804209098775279,0.0450865219693513,0,0,0,0.111167398799634,0,0,0.0438726162293656,0,0,0,0,0,0,0,0,0,0,0,0,0.128975478263152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872477878901488,0.00630475290901366,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0720180004813447,0,0,0.0840904927550875,0,0,0.0247727026343709,0,0.0688534972884135,0,0,0.0774064641946891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122543098989532,0,0,0,0,0,0,0,0,0,0.0300853147438369,0,0,0,0,0,0,0,0,0.0218554909819927,0.00778573719034201,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.323297166723231,0,0,0,0,0,0.0907775323454713,0,0,0,0.211214803571754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419394211388761,0.213934063554164,0,0,-0.0225055520517314,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0932772985298835,0,0.0462460068560563,0,0,0,0,0,0.0225720497248096,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.111054317195679,0,0,0,0.0288912139883916,0,0,0,0,0,0,0,0,0,0,0.0894521885900174,0,0,0,0,0,0.125049760225538,-2.16840434497101e-19,0.0701739313132256,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215054856277844,0.306149302207703,0,0,0.00861880539260297,0,0,0,0,0,0,0,0,0.0205044957005496,0,0,0,0,0,0,0,0,0,0,0.0990672136146867,0.0612125144612965,0,0.0742082390640064,0,0,0,0,0,0.162290543292191,0,0,0,0.00797610940915035,-0.000814947781462743,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.115613301806625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024762819822142,0,0.585603137065764,0,0,0.0765957566773044,0,0,0,0,0,0,0,0,0.0203192145042862,0,0,0,0.129484562763188,0,0,0.0916754905673108,0,0,0,0,0,0,0,0,0,-0.0522539641891386,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0465618147875148,0,0.0507252217645398,0,0,0,0,0,0,0,0,0,0.242249795201139,0.0597009581464118,0,0,0,0.00181042957984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470008379568576,0,0,0.0398076020145779,0,0,0,0,0,0,0.10634051362901,0,0,-0.00995574614239156,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.206271855991718,0.0128017263542258,0,0,0.0405172028569173,0,0,0,0.00596593580893625,0.0754733926998289,0,0.0297753839976696,0,0.0406604485934653,0.0484530192099165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897948321927721,0,0,0,0.0677087525887503,0,0.0367029927018791,0,0.0256223271134535,0.0978815854156279,0,0.18069748195529,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.149363466619498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328974528298067,0.0259267713248034,0,0,0.0876393705406238,0.0210947756423167,0,0.0503721649792622,0,0,0.164201621846127,0,0.217517407558686,0,0,0,0,0,-0.00676931942527613,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0379122465608958,0,0,0,0,0,0,0.128180071860257,0,0,0.375271760903611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105842614696073,0.0830580009805687,0,0,0,0,0.0655526054001456,0,0,0,0,0,0.0403935262367353,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.203788753643903,0,0,0,0,0,0.147362677460933,0.0141099377473075,0,0,0,0,0,0,0,0,0.0657799202734212,0,0.0341769680797371,0,0,0,0,0,0,0,0.0959083757567033,0,0,0,0,6.93889390390723e-18,0,0,0,0.0632723583880018,0.0426022084867163,0,0,0.139673012107771,0,0,0,0,0,-0.0434104772657568,0,0,0,0,0,0
