,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600547.SH,X601600.SH,X600795.SH,X002271.SZ,X601991.SH,X600426.SH,X600027.SH,X000983.SZ,X600803.SH,X600176.SH,X600362.SH,X000408.SZ,X601699.SH,X000723.SZ,X600096.SH,X600995.SH,X000786.SZ,X000629.SZ,X600348.SH,X600141.SH,X000933.SZ,X600219.SH,X600160.SH,X600985.SH,X002080.SZ,X600157.SH,X300073.SZ,X002353.SZ,X600378.SH,X600801.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.023835776392233,0.0576530728614037,0,0,-0.0275210256034266,0,0,0.0275864732961165,0,0,0,0,0.090842507702302,0,0,-0.0198315811231268,0,0,0,0,0,0,0,0.22965698720696,0,0,0,0,-0.041759830005686,0.00576011191458803,0,0.00740812059141481,0,0,0,0,0,0,0.031622878092428,0.0113924612937238,0,0,0,0,0.00568848232745087,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.325877430419428,0.133477737983178,0,0,0,0.288738367963294,0.124040622717309,0,-0.0304047340017462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186263586706482,0,0,0,0,0,0,0,-0.112761107382597,0,-0.152638014060078,0,0,0,0,0.0026234751877289,0,0,0,0.0297379834990688,0,0,0,0,0,0,0.0212996909558199,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0351912290183519,0,0,0,0,0.00628495915558657,0,0,0,0,0,0.0250607502530688,0,0,0,0.101608169085586,0,0,0.00862986830747067,0,0,0.0224648081226729,0,0,0,0,0.0637603977303504,0,0,0,0,0.00259554081619733,0,0,0,0,0,0,0,0,0,0.00461696923767233,0,0,0.00194011299494187,0,0.0102658864281971,0.00520423510570584,0,0,0,0,0,0
X600309.SH,0,0.0401061523622499,0,0,0,0,0,0,0,0,0.0229339381129212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752200322820785,0,0,0.113740199194885,0,0,0,0,0,0,0.0413843160628945,0,-0.0277749812081991,0,0,0,0.0131612176859521,0.136224613434603,0,0,0,0.0673216939817682,0,0,0,6.93889390390723e-18,-0.0131081107257889,0,0,0,0,0.0439919200063581,0,0
X600188.SH,0,0.130382449066607,0,0,0,0,0,0,0,0.594614166412375,0,0,0,0,0,-0.108871650838261,0,0,-0.0155030108316573,0,0,0,-0.0590852807259959,0,0,0,0.0540314468124478,0.0782465722375512,0,0,-0.052864110539691,0,0,0,0,0,0,0.0388447048905514,0,0.118595559800214,0,0,0,0,0,0,0,0,0,0,0,-0.151344473203809,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.656575857207764,0,0.140656832118386,0,0,0,0.0708849671780439,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394365678625125,0,0,0,0,0.246325393212238,0,0,0,0,0,-0.119532484709804,-0.0207078548432189,0.128605156995042,-0.0995583137332085,0,0,0,0,0,0,0.261309858064703,0,0,0,0,0.0322819605040963,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.373271501596855,0,-0.161097029558134,0,0,0,0,0.123877344677763,0,0,0,0,0,0.053320847317221,0,0,0,0,0,0,0,0,-0.171142225530348,0,0,0,0.0552356864088817,0,0,0,0,0.0736678673350735,0.0634969408444703,0.098913392279176,0.106935899978152,0,0,0,0,0,0,0,0,0,0,0,0.02876036021034,-0.0793781836742024,0,0,0,8.67361737988404e-19,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0270977534859328,0,0,0,0,0,0,0,0,0,0,0.0993774645087302,0.0445762516511971,0,0,0.0334793545243376,0,0,0,0,0,0,0,0.0262345908320784,0,0.0596670270148237,0,0,0,0,0,0,0,0,0,0,0.0996217446493337,0,0.383131391890951,0,0,0.0152639228696005,0.0322233791423799,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.047809938057327,0.186456155522664,0,0,0,0.148072611419361,0,0,0,0,0,0.0671314147723094,0,0,0,0.081370451585886,0,0,-0.0292124981231549,0,0,0,0,0,0.06964568008287,0.271080740317868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292047687411101,0,0
X601898.SH,0,0.0340968443582877,0,0,0.0466086635791753,0.00701805758517871,0,0,0,0,0.0212127854664586,0,0,0,0,0,0,0,0,0,0.0652097819386815,0,-0.0709988636578243,0,0,0,0.276793520512051,0,0,0,0,0.0731569896529969,0,0.110835941812927,0,0,0,0,0,0,0.05457520206192,0,0.0829386744599272,-0.105796825741365,0.18824170473474,0,0.151560534177552,0,0,0,0,0,-0.0168093960778193,0,0,0,0,0,0
