,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X002271.SZ,X600547.SH,X002466.SZ,X000786.SZ,X600176.SH,X600362.SH,X000301.SZ,X600011.SH,X600426.SH,X600886.SH,X601600.SH,X601898.SH,X600111.SH,X600010.SH,X600352.SH,X600188.SH,X600486.SH,X002080.SZ,X601991.SH,X002353.SZ,X600801.SH,X600219.SH,X600795.SH,X600489.SH,X600688.SH,X600803.SH,X300037.SZ,X600299.SH,X600157.SH,X601168.SH,X002409.SZ,X600027.SH,X601992.SH,X000932.SZ,X002497.SZ,X600399.SH,X600516.SH,X000898.SZ,X000027.SZ,X300073.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.03692403013368,0,0,0,0,0.0159429730226857,-0.0116635550262167,0,0,0,0,0,0,0.0236299363195329,0.0319147384973876,0.0747377200955342,0,0,0,0,0,0,0,0.0730842956675262,0,0,0,0.0211069351902539,0,0,0,0,0,0,0,0,0,0.0565811209456391,0,0,0,0,0,0,0,0.0292295915492061,0,0,-0.014458266054052,0,-0.0021136952692973,0,0,0,0,0.000899861115926487,0,0
X600028.SH,0,0,0,0,0,-0.0720991346704459,0,0,0.00683018285822436,0,0,-0.00334484763259152,0,0,0,0,0,0.0861277752343554,0.137914793559585,0,0.0822906157409428,0,0,0,0,0,0.0117221727300921,0,-0.0286432040333117,0,0,0,0,0,0,0,0,0,0,0,0.109123019861354,0,0,0,0.0155164782333723,0,0.103338383674351,0,0,-0.0426793841979327,0,-0.00712265470432188,0,0,0,0,0.00146599416814254,0,0
X601088.SH,0,0,0,0,0,-0.0301347630615671,0,0.0732464997917817,0,0,0,0,0,0,0,0,0,0,0,0,0.207278652912549,0,0,0,0.426237743744805,0,-0.0361067166361462,0,0,0,0,0,0,0,0,-0.0399456609642242,0,0,0.115587955696523,0,0,0,0.043451661154757,-0.00427620623719005,-0.117454301879578,0,0,0,-0.0584573339367672,0,0,0.0127376128408219,0,0,0,0,-0.00839011914445422,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881004674652681,0.0670639150122877,0,0,0,0,0,0,0,0,0,0.146637716108235,0.125254387001151,-0.305683881577613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100245179519721,0,0.204872798648868,0,0,0.226654713569059,0,-0.0199662264669035,0.0439651765696055,0,0,0,0.0274939838487751,0,0
X600585.SH,0,0,0,0,0,0.0453214200655446,0,0,0,0,0,0,-0.0420372380602505,0,0.0565971220690691,0,0,0,0,0,0.0313470199406589,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0863579081067351,0,0,0.116082761146112,0,0,0,0,0,0,0,0.0038159379474942,0,-0.0438056223055434,-0.0581342233115511,0,0.00452690748530383,0,0,0,0,-0.000272048938014919,0,0
X002460.SZ,0,0,0,0,0,0,0,0.118243372471227,0,0,0,0.419077946385009,0.0946964051452655,0,0,0,0,0,0,-0.185096724092865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179850154434622,0,-0.0356327119419202,0.0529293325630417,0,0,0,0,0.307338660022188,0,0,0,0,0.237751338034877,0,0,-0.0188111445508006,-0.0346481060889689,0,0,0,-0.00593260868553636,0,0
X600019.SH,0,0,0,0,0,0,0,0.00102952692725767,0.262492528405628,0,0,-0.0670614201716266,0,0,0,0,0,0,0,0,0,0.264235744432145,0,0,0,0,0,0,0,0,0.181557606067665,0,0,0,0,0,0,-0.0474267803883557,0,0,0,0,0.273167909681879,-0.0146980199097421,0,0,0,0,0.025979142247709,-0.084999904103749,0,0,-0.0354723807875504,0,0,0,0.0102937400466007,0,0
X600660.SH,0,0,0,0,0,0.0486039607397587,6.93889390390723e-18,0,-0.0237926382450338,0,0,-0.0158925386472819,0.122178798791618,0,0,0.0420210374748842,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554796100507127,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315762507970722,0,0.0953804610797141,0,0,0,0,0.084374746066909,0,0.0273213589729494,-0.0682456370498778,0,0,0,0.0163221824489167,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130209823167204,0.156284637348338,-0.0169935820965609,0,0,0,0,0,0,0,0,0,0,-0.0955556936066384,0,0,0.0978349853755351,0.181429933740879,0,0,0,0,0,0,0.0131887834287402,0,0,0,0,0,0,0.0826404382950642,0,0.178242114676355,0,0,0,0,-0.044050024087384,0.0720030381821749,0,0,0,0.00586500529364957,0,0
X002271.SZ,0,0,0,0.028450509349414,0,0,0,0.203690376463709,-0.013285719955679,0,0,0.101900616798514,0,0.208647410264903,-0.0176859222402615,0,0,0,0,0,0,-0.0070299361747694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0885296890880069,0,0,0,0,0.190916387570557,0,0,0,0.00709094869426531,0,0,-0.0151977018058097,0,0,0,0,0.0111116323094153,0,0
