,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600547.SH,X600688.SH,X600795.SH,X600188.SH,X601600.SH,X601991.SH,X600362.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X600299.SH,X600660.SH,X300072.SZ,X600309.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X600583.SH,X000723.SZ,X600352.SH,X000408.SZ,X000883.SZ,X000709.SZ,X000898.SZ,X600549.SH,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X002460.SZ,X002407.SZ,X000630.SZ,X000060.SZ,X600021.SH,X000012.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0393884137828707,0,0,0,0,0,0,0,0.0465734225746882,0,0,0,3.46944695195361e-18,0,0,0.0744493709609846,0.0544218070958059,0.0389010688769346,0,0,0,0,0,0,-0.0264677743928392,0,0,0,-0.0350977165509132,0,0,0,0.128351507265111,0,0,0,0,0,0,0,0,0,0,0.0372306692028206,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0397886749468883,0.188790887556751,0,0,0,0,0,0,0,0,0,0,0,-0.0109895052345788,0,0,0.0314042905626091,0.119273991231872,0.00841506187660226,0,0,0,0.0855134650067822,0,0,0,0,0,0.0414393426570291,0,0,-0.00352200255736294,0,0,0,-0.0439631575151284,0,0,0,0,0,0,0,0.00470989361569126,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.132027628479475,-0.0149980126372447,0,0,0.00499401482637343,0,0,0,0,0.0332179596202435,0.0260727355609187,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0184572879815862,0,0,0.0505103152342719,0,0,0,0,0,0.080284385792852,0,0,0,0,0.0367041884352234,0,0,0,0,0,0,0,0,0.0477100018807324,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.119338840792398,0.0853954839108521,0,0.202670974636532,0,0.0861536590504979,0,0,0,0,0,0,0,0,-0.0809349048392773,0,0,0,0,0,0,0,0,0.0342353946337086,0,-0.00308355732540945,0,0,0,0.0228600793466038,0,0,0,0,0,-0.0556196977630179,0,0,0,0,0,0,0,0,0,0.117534150570188,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.192438337213846,0,0.0511123424963999,0.043549694588561,0,0,0,0,0,0,0,0,0.437881417190688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658370006705428,0,0,0,-0.0527853234739317,0.0101923007791102,-0.0110753493181375,0,0.014770414561038,0,0,0.0618754379887957,0,0,0,0,0.00895657265981239,0,-0.00209732536635499,-0.0348671174479782,0,-0.0613582356078054,0,0,0,0
X600585.SH,0,0,0,0,0.0425000966513948,0,0,0,0.0185838355501079,0,0,0,0,0,0,0,0.113679099013841,0,0,0,0,0,0.00641325268087981,0,0.0623392172155102,0,-0.142154159353021,0,0,0,0,0.0621679191818106,0.0182568582819192,0,0,0,0,0.0735674057562417,0,0,0,0.215240018131599,0,0.0481283432763617,0,0,0,0,0.0869704642043534,0,0,-0.0186225325096221,0.0704890858158017,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422816595934748,0,0,0,0.00185553874311722,0.140635786084684,0,0.0662164151188384,0,0,0,0.0520546844827081,0.058144939825332,0,0,0.0674849323981352,0.0906610405726045,0,0,0,0.0208303008894339,0.0212938945783961,0,0,0,0,0,0,0,0,0,-0.0748386048571901,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0536571979226593,0,0,0,0,0,0,0,0,-0.000125718527781943,0,0,0.0589026807008299,0,0,0,0.0211643999480797,0,0,0,0,0,0,0.0335612488734581,0.0295686887020191,0,0,0,0.110497620340164,0.174312686859797,0,0,0,0,0.0313687289304312,0,0,0.0628622231129773,0,0.0547585508050772,0,0,-0.0173547209930495,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0651198380190587,0.404356408713226,0,0,0.305310050329354,0,-0.110615829171446,0,0,0.0444378619849122,0,0,-0.0313192843405212,0,0,0,0,0,0,0,0.119672483644972,0,0,0,0,0,0,0.0667579358834753,0,0,0,0,0.131854223829556,0,0.00965485592532511,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,-0.00785731884067936,0,0,0.0678541259775337,0,0,0,0,0.0296945255990651,0,0,0,0,0.0993313831105195,0,0,0.225622040634249,0,0.130976873554448,0,0,0,0,0,0.0898077743204971,0.0615695135533207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155813292813795,0,0,0,0,0.0329871823081611,0,0,0,0,0,0
